[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,272,-85.320000,,,,,,,,,,,,,,,,,,,,,,,
,272,-84.090000,,,,,,,,,,,,,,,,,,,,,,,
,272,-82.310000,,,,,,,,,,,,,,,,,,,,,,,
,272,-82.880000,,,,,,,,,,,,,,,,,,,,,,,
,272,-81.080000,,,,,,,,,,,,,,,,,,,,,,,
,272,-82.120000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.210000,,,,,,,,,,,,,,,,,,,,,,,
,272,-82.820000,,,,,,,,,,,,,,,,,,,,,,,
,272,-83.190000,,,,,,,,,,,,,,,,,,,,,,,
,272,-81.800000,,,,,,,,,,,,,,,,,,,,,,,
,272,-84.010000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,272,-83.310000,,,,,,,,,,,,,,,,,,,,,,,
,272,-84.640000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,,,,,,,,,,,,DL,,100 Trying,,,,,,,,,,,
,,,,,,,,,,,,DL,,180 Ringing,,,,,,,,,,,
,272,-82.860000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP,,,,,
,,,,,,,,,,,,DL,,200 OK,INVITE,,,,,,,,,,
,,,,,,,,,,,,UL,ACK,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP 200Ok,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP ACK,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,272,-82.330000,432,-75.570000,,,,,LTE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP 200Ok,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP ACK,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after First Rx RTP,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after First Tx RTP,,,,,
,,,432,-75.630000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-79.310000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-77.390000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-78.020000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-79.680000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-79.630000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,,,432,-77.690000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,,,432,-76.880000,,,,,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.650000,,,,,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.610000,,,,33.115,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.370000,,,,47.569,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.800000,,,,40.734,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-79.070000,,,,37.788,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.620000,,,,29.408,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.920000,,,,1.635,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.290000,,,,41.573,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.150000,,,,18.903,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.260000,,,,21.070,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.220000,,,,23.930,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.190000,,,,25.923,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.610000,,,,24.467,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.110000,,,,24.738,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.110000,,,,21.398,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.470000,,,,22.381,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.510000,,,,21.006,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.360000,,,,21.551,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.800000,,,,21.333,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.250000,,,,24.009,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.890000,,,,18.343,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.510000,,,,20.580,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.380000,,,,26.811,LTE 3CA,,,,,,,,,,,,,,,,
