[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,,,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.570000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.310000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.700000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.580000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.750000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.740000,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.350000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.560000,,,,,,,,,,,,,,,,,,,,,,,
,209,-95.680000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.840000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,209,-85.380000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,209,-87.830000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,,200 OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,209,-87.220000,432,-78.000000,,,,,LTE,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-75.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-75.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-74.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-77.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-79.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,,,432,-77.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,,,432,-75.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-73.670000,,,,,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.830000,,,,4.626,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,7.428,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.500000,,,,13.456,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.670000,,,,22.530,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,27.233,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,19.988,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-75.500000,,,,19.793,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-76.670000,,,,20.200,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.830000,,,,19.238,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.170000,,,,24.176,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.830000,,,,25.769,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.000000,,,,26.314,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.000000,,,,20.820,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.500000,,,,26.634,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,23.524,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.000000,,,,22.743,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.330000,,,,24.807,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-74.000000,,,,17.417,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.170000,,,,31.487,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.330000,,,,21.173,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.170000,,,,23.610,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.000000,,,,28.259,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,24.422,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,22.552,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.500000,,,,28.131,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.330000,,,,24.818,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.170000,,,,21.579,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.670000,,,,12.783,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,27.323,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.170000,,,,20.370,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.830000,,,,18.351,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,20.521,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,23.661,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.500000,,,,21.675,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-73.500000,,,,19.450,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-74.330000,,,,18.611,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-74.250000,,,,19.375,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.250000,,,,23.834,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-71.250000,,,,21.739,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.250000,,,,25.202,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-71.750000,,,,24.946,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-71.250000,,,,25.651,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.750000,,,,24.508,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.500000,,,,22.039,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-73.250000,,,,24.408,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-74.500000,,,,22.296,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-74.000000,,,,14.397,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.250000,,,,19.604,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-72.750000,,,,27.308,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Complete,[Tool] Voice - Call Result : Complete,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,,,,,,,,,,,,UL,BYE,,,,,,,,,,,,
,,,432,-73.250000,,,,27.453,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,752,-86.830000,,,,,,25.448,NR SA,,,,,,,,,,,,,,,,
,752,-85.640000,,,,,,22.338,NR SA,,,,,,,,,,,,,,,,
,752,-86.690000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-87.140000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-86.900000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-86.520000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-88.000000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,752,-88.310000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,744,-88.950000,,,,,,0.438,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Incomplete,,,,,,
,,,,,,,,,,Download End Request,,,,,,,,,,,,,,,
,,,,,,,,,,Download Ended,,,,,,,,,,,,,,,
,744,-89.340000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,744,-89.810000,,,,,,,,,,,,,,,,,,,,,,,
,744,-88.430000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.200000,,,,,,,,,,,,,,,,,,,,,,,
,744,-87.430000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.650000,,,,,,,,,,,,,,,,,,,,,,,
,744,-90.210000,,,,,,,,,,,,,,,,,,,,,,,
,744,-90.800000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.860000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.910000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HTTP Download,Incomplete,,,,,,,
,744,-89.520000,,,,,,,,,,,,,,,,,,,,,,,
,744,-90.260000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.670000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.550000,,,,,,,,,,,,,,,,,,,,,,,
,744,-92.040000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.710000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.280000,,,,,,,,,,,,,,,,,,,,,,,
,744,-92.390000,,,,,,,,,,,,,,,,,,,,,,,
,744,-92.980000,,,,,,,,,,,,,,,,,,,,,,,
,744,-92.250000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.920000,,,,,,,,,,,,,,,,,,,,,,,
,744,-87.490000,,,,,,,,,,,,,,,,,,,,,,,
,744,-85.820000,,,,,,,,,,,,,,,,,,,,,,,
,744,-85.090000,,,,,,,,,,,,,,,,,,,,,,,
,744,-86.620000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.180000,,,,,,,,,,,,,,,,,,,,,,,
,744,-86.690000,,,,,,,,,,,,,,,,,,,,,,,
,744,-83.890000,,,,,,,,,,,,,,,,,,,,,,,
,744,-84.040000,,,,,,,,,,,,,,,,,,,,,,,
,744,-85.580000,,,,,,,,,,,,,,,,,,,,,,,
,744,-86.670000,,,,,,,,,,,,,,,,,,,,,,,
,744,-86.260000,,,,,,,,,,,,,,,,,,,,,,,
,744,-87.490000,,,,,,,,,,,,,,,,,,,,,,,
,744,-87.570000,,,,,,,,,,,,,,,,,,,,,,,
,744,-88.840000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.660000,,,,,,,,,,,,,,,,,,,,,,,
,744,-88.690000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.400000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.330000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.670000,,,,,,,,,,,,,,,,,,,,,,,
,744,-91.490000,,,,,,,,,,,,,,,,,,,,,,,
,744,-89.190000,,,,,,,,,,,,,,,,,,,,,,,
,744,-88.490000,,,,,,,,,,,,,,,,,,,,,,,
,744,-86.920000,,,,,,,,,,,,,,,,,,,,,,,
,744,-87.410000,,,,,,,,,,,,,,,,,,,,,,,
,744,-88.140000,,,,,,,,,,,,,,,,,,,,,,,
,744,-85.780000,,,,,,,,,,,,,,,,,,,,,,,
