[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,,,,,,,,,,,,,,,,,,,,,,,,,
,209,-89.780000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.210000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.180000,,,,,,,,,,,,,,,,,,,,,,,
,209,-92.950000,,,,,,,,,,,,,,,,,,,,,,,
,209,-93.300000,,,,,,,,,,,,,,,,,,,,,,,
,209,-92.720000,,,,,,,,,,,,,,,,,,,,,,,
,209,-88.850000,,,,,,,,,,,,,,,,,,,,,,,
,209,-88.320000,,,,,,,,,,,,,,,,,,,,,,,
,209,-88.800000,,,,,,,,,,,,,,,,,,,,,,,
,209,-87.610000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,569,-89.310000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,569,-93.960000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,,200 OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,569,-95.700000,432,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,432,-82.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-81.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-80.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-80.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-78.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-82.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-82.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-80.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,,,432,-81.000000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-81.500000,,,,,LTE (20 MHz),,,,,,,,,,,,,,,,
,,,432,-78.750000,,,,10.141,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-79.830000,,,,16.534,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.500000,,,,14.336,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.670000,,,,14.707,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-80.830000,,,,13.980,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.170000,,,,15.829,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.500000,,,,15.305,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.670000,,,,12.516,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.330000,,,,7.311,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-81.170000,,,,15.377,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-80.500000,,,,13.286,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-79.830000,,,,14.429,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-81.750000,,,,15.802,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.500000,,,,15.363,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.830000,,,,19.164,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.830000,,,,16.278,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.830000,,,,18.148,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.670000,,,,16.358,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.330000,,,,12.689,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.830000,,,,12.387,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.330000,,,,11.981,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-78.000000,,,,10.250,LTE 3CA,,,,,,,,,,,,,,,,
,,,432,-77.170000,,,,7.097,LTE 2CA,,,,,,,,,,,,,,,,
,,,432,-77.330000,,,,16.043,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-79.250000,,,,14.664,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-78.250000,,,,16.385,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.000000,,,,16.769,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-79.250000,,,,14.792,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.750000,,,,15.508,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.750000,,,,13.723,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.250000,,,,16.496,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.750000,,,,17.043,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-79.000000,,,,15.546,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-77.500000,,,,16.241,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
,,,432,-78.250000,,,,14.236,LTE 2CA (20 + 15 MHz),,,,,,,,,,,,,,,,
