[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,272,-87.520000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.680000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.700000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.080000,,,,,,,,,,,,,,,,,,,,,,,
,272,-86.260000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.360000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.080000,,,,,,,,,,,,,,,,,,,,,,,
,272,-84.320000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.180000,,,,,,,,,,,,,,,,,,,,,,,
,272,-85.520000,,,,,,,,,,,,,,,,,,,,,,,
,272,-87.500000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,272,-87.320000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,272,-86.590000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,,100 Trying,,,,,,,,,,,
,,,,,,,,,,,,DL,,180 Ringing,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP,,,,,
,,,,,,,,,,,,DL,,200 OK,INVITE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP 200Ok,,,,,
,,,,,,,,,,,,UL,ACK,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after SIP ACK,,,,,
,272,-87.080000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP 200Ok,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after SIP ACK,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Tx RTP after First Rx RTP,,,,,
,,,,,,,,,,,,,,,,,,,,[UE] 1st Rx RTP after First Tx RTP,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,272,-86.740000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-86.510000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-86.850000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-86.270000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-85.500000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-87.530000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-87.930000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,272,-88.020000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,272,-89.390000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-91.190000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-92.090000,,,,,,55.277,NR SA,,,,,,,,,,,,,,,,
,272,-94.300000,,,,,,98.383,NR SA,,,,,,,,,,,,,,,,
,272,-92.940000,,,,,,42.339,NR SA,,,,,,,,,,,,,,,,
,272,-91.500000,,,,,,0.960,NR SA,,,,,,,,,,,,,,,,
,272,-89.950000,,,,,,8.795,NR SA,,,,,,,,,,,,,,,,
,272,-93.020000,,,,,,13.225,NR SA,,,,,,,,,,,,,,,,
,272,-91.560000,,,,,,18.812,NR SA,,,,,,,,,,,,,,,,
,272,-92.210000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,272,-91.740000,,,,,,0.000,NR SA,,,,,,,,,,,,,,,,
,272,-91.590000,,,,,,0.011,NR SA,,,,,,,,,,,,,,,,
,272,-91.520000,,,,,,23.886,NR SA,,,,,,,,,,,,,,,,
,272,-89.730000,,,,,,51.944,NR SA,,,,,,,,,,,,,,,,
,272,-89.950000,,,,,,59.344,NR SA,,,,,,,,,,,,,,,,
,272,-90.020000,,,,,,58.168,NR SA,,,,,,,,,,,,,,,,
,272,-90.760000,,,,,,73.020,NR SA,,,,,,,,,,,,,,,,
,272,-90.470000,,,,,,73.438,NR SA,,,,,,,,,,,,,,,,
,272,-90.290000,,,,,,60.174,NR SA,,,,,,,,,,,,,,,,
,272,-90.400000,,,,,,67.818,NR SA,,,,,,,,,,,,,,,,
,272,-89.650000,,,,,,52.334,NR SA,,,,,,,,,,,,,,,,
,272,-88.600000,,,,,,49.295,NR SA,,,,,,,,,,,,,,,,
,272,-88.380000,,,,,,39.818,NR SA,,,,,,,,,,,,,,,,
,272,-88.620000,,,,,,45.656,NR SA,,,,,,,,,,,,,,,,
,272,-90.550000,,,,,,33.074,NR SA,,,,,,,,,,,,,,,,
,272,-87.460000,,,,,,34.724,NR SA,,,,,,,,,,,,,,,,
