[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,272,-93.220000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.740000,,,,,,,,,,,,,,,,,,,,,,,
,272,-89.510000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.340000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.100000,,,,,,,,,,,,,,,,,,,,,,,
,272,-91.790000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.080000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.840000,,,,,,,,,,,,,,,,,,,,,,,
,272,-93.160000,,,,,,,,,,,,,,,,,,,,,,,
,272,-92.660000,,,,,,,,,,,,,,,,,,,,,,,
,272,-90.510000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,
,272,-91.400000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UL,INVITE,,,,,,,,,,,,
,272,-90.930000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,,200 OK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,272,-92.140000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-91.560000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-91.860000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-92.440000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-91.610000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-90.680000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-90.980000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-90.930000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,272,-90.120000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,272,-91.010000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-91.630000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,272,-92.210000,,,,,,20.125,NR SA,,,,,,,,,,,,,,,,
,272,-92.420000,,,,,,23.352,NR SA,,,,,,,,,,,,,,,,
,272,-91.780000,,,,,,1.689,NR SA,,,,,,,,,,,,,,,,
,272,-91.530000,,,,,,10.998,NR SA,,,,,,,,,,,,,,,,
,272,-92.040000,,,,,,24.248,NR SA,,,,,,,,,,,,,,,,
