[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
,209,-86.880000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.070000,,,,,,,,,,,,,,,,,,,,,,,
,209,-87.260000,,,,,,,,,,,,,,,,,,,,,,,
,209,-87.160000,,,,,,,,,,,,,,,,,,,,,,,
,209,-91.400000,,,,,,,,,,,,,,,,,,,,,,,
,209,-92.120000,,,,,,,,,,,,,,,,,,,,,,,
,209,-88.480000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.240000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.510000,,,,,,,,,,,,,,,,,,,,,,,
,209,-95.400000,,,,,,,,,,,,,,,,,,,,,,,
,209,-96.940000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Term),,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Wait Page,,,,,
,209,-88.240000,,,,,,,,,,,,,,,,,,,,,,,
,209,-89.000000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,INVITE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Answer Request,,,,,
,,,,,,,,,,,,UL,,200 OK,,,,,,,,,,,
,209,-89.110000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,
,209,-88.750000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-88.110000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-88.820000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-91.070000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-87.760000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-83.300000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-83.440000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download Start Request,,,,,,,,,,,,,,,
,209,-83.440000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,Download File Size Retrieved,,,,,,,,,,,,,,,
,,,,,,,,,,Download Started,,,,,,,,,,,,,,,
,209,-83.760000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-83.940000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-85.550000,,,,,,21.384,NR SA,,,,,,,,,,,,,,,,
,209,-85.490000,,,,,,47.914,NR SA,,,,,,,,,,,,,,,,
,209,-85.750000,,,,,,85.900,NR SA,,,,,,,,,,,,,,,,
,209,-86.250000,,,,,,119.353,NR SA,,,,,,,,,,,,,,,,
,209,-87.660000,,,,,,84.500,NR SA,,,,,,,,,,,,,,,,
,209,-86.790000,,,,,,72.484,NR SA,,,,,,,,,,,,,,,,
,209,-86.220000,,,,,,69.194,NR SA,,,,,,,,,,,,,,,,
,209,-85.320000,,,,,,32.385,NR SA,,,,,,,,,,,,,,,,
,209,-85.350000,,,,,,77.467,NR SA,,,,,,,,,,,,,,,,
,209,-85.480000,,,,,,63.818,NR SA,,,,,,,,,,,,,,,,
,209,-85.850000,,,,,,60.362,NR SA,,,,,,,,,,,,,,,,
,209,-85.210000,,,,,,55.118,NR SA,,,,,,,,,,,,,,,,
,209,-88.120000,,,,,,43.960,NR SA,,,,,,,,,,,,,,,,
,209,-87.060000,,,,,,50.063,NR SA,,,,,,,,,,,,,,,,
,209,-87.460000,,,,,,43.393,NR SA,,,,,,,,,,,,,,,,
,209,-89.770000,,,,,,52.927,NR SA,,,,,,,,,,,,,,,,
,209,-87.600000,,,,,,74.656,NR SA,,,,,,,,,,,,,,,,
,209,-89.850000,,,,,,67.591,NR SA,,,,,,,,,,,,,,,,
,209,-86.960000,,,,,,58.228,NR SA,,,,,,,,,,,,,,,,
,209,-88.050000,,,,,,81.267,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DL,BYE,,,,,,,,,,,,
,209,-87.630000,,,,,,70.519,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,,,,,,,,,,,,,,,,,,,Complete,[Tool] Voice - Call Result : Complete,,,,,
,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Release Call Request,,,,,
,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Release Call Success,,,,,
,209,-91.870000,,,,,,82.963,,,,,,,,,,,,,1,,,,
,209,-88.760000,,,,,,70.729,NR SA,,,,,,,,,,,,,,,,
,209,-90.490000,,,,,,92.270,NR SA,,,,,,,,,,,,,,,,
,209,-88.730000,,,,,,97.859,NR SA,,,,,,,,,,,,,,,,
,209,-93.670000,,,,,,94.578,NR SA,,,,,,,,,,,,,,,,
,209,-89.240000,,,,,,90.640,NR SA,,,,,,,,,,,,,,,,
,209,-88.010000,,,,,,58.158,NR SA,,,,,,,,,,,,,,,,
,209,-88.050000,,,,,,56.761,NR SA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Incomplete,,,,,,
,,,,,,,,,,Download End Request,,,,,,,,,,,,,,,
,,,,,,,,,,Download Ended,,,,,,,,,,,,,,,
,209,-88.020000,,,,,,,NR SA,,,,,,,,,,,,,,,,
,209,-86.870000,,,,,,,,,,,,,,,,,,,,,,,
,209,-94.600000,,,,,,,,,,,,,,,,,,,,,,,
,209,-97.840000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.530000,,,,,,,,,,,,,,,,,,,,,,,
,209,-93.060000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.310000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.820000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.980000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HTTP Download,Incomplete,,,,,,,
,209,-89.190000,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.910000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.070000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.290000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.990000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.770000,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.030000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.760000,,,,,,,,,,,,,,,,,,,,,,,
,209,-82.840000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.320000,,,,,,,,,,,,,,,,,,,,,,,
,209,-85.880000,,,,,,,,,,,,,,,,,,,,,,,
,209,-89.310000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.680000,,,,,,,,,,,,,,,,,,,,,,,
,209,-84.650000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.240000,,,,,,,,,,,,,,,,,,,,,,,
,209,-95.740000,,,,,,,,,,,,,,,,,,,,,,,
,209,-90.520000,,,,,,,,,,,,,,,,,,,,,,,
,209,-86.030000,,,,,,,,,,,,,,,,,,,,,,,
,209,-83.980000,,,,,,,,,,,,,,,,,,,,,,,
