[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,902,-68.520000,20.060000,,,,,,,,,,,,,0.028,0.021
,,,N41(x),,902,-69.240000,20.440000,,,,,,,,,,,,,0.017,0.001
,,,N41(x),,902,-68.490000,19.970000,,,,,,,,,,,,,0.000,0.000
,,,N41(x),,902,-68.290000,18.820000,,,,,,,,,,,,,0.006,1.547
,,,N41(x),,902,-75.070000,16.070000,,,,,,,,,,,,,0.029,0.110
,,,N41(x),,902,-76.540000,12.760000,,,,,,,,,,,,,0.149,0.517
,,,N41(x),,902,-76.740000,13.440000,,,,,,,,,,,,,0.156,0.649
,,,N41(x),,902,-76.600000,13.720000,,,,,,,,,,,,,0.172,0.182
,,,N41(x),,902,-76.730000,12.810000,,,,,,,,,,,,,0.024,0.015
,,,N41(x),NR SA,902,-71.340000,15.910000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,902,-67.620000,19.660000,,,,,,,,,,,,,0.000,0.000
,,,N41(x),NR SA,902,-63.070000,24.620000,,,,,,,,,,,,,0.000,0.000
,,,N41(x),NR SA,902,-62.650000,23.950000,,,,,,,,,,,,,0.033,0.237
,,,,NR SA,,,,,,,,,,,,,,,,0.008,0.015
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,902,-67.350000,18.690000,,,,,,,,,,,,,0.001,0.061
,,,N41(40),NR SA,902,-66.180000,16.810000,,,,,,,,,,,,,0.060,0.304
,,,N41(40),NR SA,902,-68.590000,16.750000,,,,,,,,,,,,,0.234,0.282
,,,N41(40),NR SA,902,-70.710000,16.200000,,,,,,,,,,,,,0.153,0.139
,,,N41(40),NR SA,902,-69.850000,16.780000,,,,,,,,,,,,,0.015,0.101
,,,N41(40),NR SA,902,-68.740000,18.470000,,,,,,,,,,,,,0.002,0.002
,,,N41(40),NR SA,902,-64.800000,19.150000,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,902,-65.200000,18.660000,,,,,,,,,,,,,0.005,0.074
,,,N41(40),NR SA,902,-69.560000,17.080000,,,,,,,,,,,,,0.002,0.347
,,,N41(40),NR SA,902,-67.060000,17.590000,,,,,,,,,,,,,0.000,0.001
