[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,670,-112.720000,-9.420000,,,,,,,,,,,,,,
,,,,,670,-112.100000,-6.050000,,,,,,,,,,,,,0.000,
,,,,,670,-112.860000,-8.780000,,,,,,,,,,,,,0.000,
,,,,,670,-113.680000,-10.020000,,,,,,,,,,,,,0.000,
,,,,,670,-113.950000,-9.770000,,,,,,,,,,,,,0.000,
,,,,,670,-112.880000,-9.030000,,,,,,,,,,,,,0.000,
,,,,,670,-113.030000,-7.900000,,,,,,,,,,,,,0.000,
,,,,,670,-135.490000,-30.100000,,,,,,,,,,,,,0.000,
,,,,,670,-116.410000,-10.760000,,,,,,,,,,,,,0.000,
,,,,,670,-111.320000,-7.670000,,,,,,,,,,,,,0.000,
,,,,NR SA,670,-109.550000,-7.800000,,,,,,,,,,,,,0.000,
,,,,NR SA,670,-108.190000,-4.410000,,,,,,,,,,,,,0.000,
,,,,NR SA,670,-112.050000,-2.720000,,,,,,,,,,,,,0.000,
,,,,NR SA,670,-111.730000,-5.450000,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,670,-110.710000,-4.890000,,,,,,,,,,,,,0.007,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,N25(20),NR SA,75,-108.130000,-3.390000,,,,,,,,,,,,,0.001,0.002
,,,N25(20),NR SA,75,-108.260000,-3.640000,,,,,,,,,,,,,0.011,0.036
,,,N25(20),NR SA,75,-108.390000,-1.950000,,,,,,,,,,,,,0.087,0.092
,,,N25(20),NR SA,75,-107.780000,-3.500000,,,,,,,,,,,,,0.093,0.083
,,,N25(20)+N71(20)+N41(90),NR SA,75,-106.020000,-1.930000,,,,,,,,,,,,,0.381,0.357
,,,N25(20)+N71(20)+N41(90),NR SA,75,-108.190000,-3.220000,,,,,,,,,,,,,0.769,0.567
,,,N25(20)+N71(20)+N41(90),NR SA,75,-111.780000,-6.220000,,,,,,,,,,,,,13.060,0.279
,,,N25(20)+N71(20)+N41(90),NR SA,75,-113.010000,-7.990000,,,,,,,,,,,,,13.801,0.216
,,,N25(20)+N71(20)+N41(90),NR SA,75,-118.050000,-6.960000,,,,,,,,,,,,,12.843,0.192
,,,N25(20)+N71(20)+N41(100),NR SA,75,-115.190000,-3.700000,,,,,,,,,,,,,14.446,0.197
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.930000,-3.340000,,,,,,,,,,,,,22.864,0.223
,,,N25(20)+N71(20)+N41(100),NR SA,75,-113.830000,-3.750000,,,,,,,,,,,,,32.071,0.330
,,,N25(20)+N71(20)+N41(100),NR SA,75,-114.470000,-4.640000,,,,,,,,,,,,,63.403,0.502
,,,N25(20)+N71(20)+N41(100),NR SA,75,-112.260000,-5.070000,,,,,,,,,,,,,64.162,0.490
,,,N25(20)+N71(20)+N41(100),NR SA,75,-112.730000,-3.380000,,,,,,,,,,,,,19.452,0.203
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.600000,-1.750000,,,,,,,,,,,,,16.697,0.177
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.390000,-3.400000,,,,,,,,,,,,,14.635,0.165
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.180000,-3.180000,,,,,,,,,,,,,10.201,0.132
,,,N25(20)+N71(20)+N41(100),NR SA,75,-109.680000,-3.390000,,,,,,,,,,,,,10.815,0.138
