[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,902,-69.000000,14.000000,,,,,,,,,,,,,,
,,,N41(x),,902,-69.620000,14.770000,,,,,,,,,,,,,0.000,
,,,N41(x),,902,-71.860000,14.760000,,,,,,,,,,,,,,
,,,N41(x),,902,-68.480000,13.690000,,,,,,,,,,,,,0.000,
,,,N41(x),,902,-67.730000,15.580000,,,,,,,,,,,,,,
,,,N41(x),,902,-66.430000,15.990000,,,,,,,,,,,,,,
,,,N41(x),,902,-65.920000,15.320000,,,,,,,,,,,,,0.000,
,,,N41(x),,902,-65.260000,17.230000,,,,,,,,,,,,,,
,,,N41(x),NR SA,902,-65.540000,15.460000,,,,,,,,,,,,,,
,,,N41(40),NR SA,902,-73.890000,14.100000,,,,,,,,,,,,,0.746,0.684
,,,N41(40),NR SA,902,-71.150000,13.640000,,,,,,,,,,,,,0.762,0.517
,,,N41(40),NR SA,902,-70.380000,14.970000,,,,,,,,,,,,,0.139,0.446
,,,N41(40),NR SA,902,-69.640000,15.200000,,,,,,,,,,,,,0.000,
,,,N41(40),NR SA,902,-70.170000,14.630000,,,,,,,,,,,,,0.000,0.000
,,,N41(40),NR SA,902,-69.250000,14.980000,,,,,,,,,,,,,0.000,
