[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,902,-75.700000,20.970000,,,,,,,,,,,,,0.000,
,,,,,902,-74.350000,23.210000,,,,,,,,,,,,,0.000,
,,,,,902,-74.050000,26.010000,,,,,,,,,,,,,0.000,
,,,,,902,-77.130000,21.030000,,,,,,,,,,,,,0.000,
,,,,,902,-79.160000,20.190000,,,,,,,,,,,,,0.000,
,,,,,902,-78.740000,20.460000,,,,,,,,,,,,,0.000,
,,,,,902,-78.700000,20.950000,,,,,,,,,,,,,0.000,
,,,,,902,-78.730000,18.620000,,,,,,,,,,,,,0.000,
,,,,,902,-79.040000,19.860000,,,,,,,,,,,,,0.000,
,,,,NR SA,902,-77.720000,19.640000,,,,,,,,,,,,,0.000,
,,,,NR SA,902,-75.250000,23.190000,,,,,,,,,,,,,0.000,
,,,,NR SA,902,-74.070000,25.400000,,,,,,,,,,,,,0.000,
,,,,NR SA,902,-74.570000,24.460000,,,,,,,,,,,,,0.002,0.000
,,,,NR SA,902,,,,,,,,,,,,,,,0.302,0.003
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
