[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
,,,,,75,-108.410000,-1.610000,,,,,,,,,,,,,0.000,
,,,,,,,,,,,,,,,,,,,,,
,,,,,75,-107.790000,-1.570000,,,,,,,,,,,,,0.000,
,,,,,75,-106.090000,0.070000,,,,,,,,,,,,,0.000,
,,,,,75,-106.450000,-0.710000,,,,,,,,,,,,,0.000,
,,,,,75,-109.770000,-1.280000,,,,,,,,,,,,,0.000,
,,,,,,,,,,,,,,,,,,,,,
,,,,,75,-109.300000,-1.090000,,,,,,,,,,,,,0.000,
,,,,,75,-107.460000,-3.530000,,,,,,,,,,,,,0.000,
,,,,NR SA,75,-104.840000,1.530000,,,,,,,,,,,,,0.000,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,75,-106.220000,3.260000,,,,,,,,,,,,,0.000,
,,,,NR SA,,,,,,,,,,,,,,,,0.000,
,,,N25(20),NR SA,75,-105.560000,3.120000,,,,,,,,,,,,,0.004,0.001
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,,,,,,,,,,,,,,,
,,,,No Service,,,-6.030000,,,,,,,,,,,,,,
,,,N25(20),NR SA,75,-112.520000,-4.310000,,,,,,,,,,,,,0.000,0.002
,,,N25(20),NR SA,75,-113.570000,-2.100000,,,,,,,,,,,,,0.011,0.039
,,,N25(20),NR SA,75,-105.740000,-1.790000,,,,,,,,,,,,,0.227,0.147
,,,N25(20),NR SA,75,-106.000000,-2.750000,,,,,,,,,,,,,0.045,0.098
,,,N25(20),NR SA,75,-107.640000,-2.350000,,,,,,,,,,,,,0.071,0.049
,,,N25(20),NR SA,75,-108.090000,1.320000,,,,,,,,,,,,,0.081,0.137
,,,N25(20)+N71(20)+N41(100),NR SA,75,-107.850000,1.100000,,,,,,,,,,,,,0.358,0.195
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.430000,-0.880000,,,,,,,,,,,,,11.404,0.367
,,,N25(20)+N71(20)+N41(100),NR SA,75,-109.530000,-2.180000,,,,,,,,,,,,,22.390,0.176
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.230000,-3.150000,,,,,,,,,,,,,33.754,0.253
,,,N25(20)+N71(20)+N41(100),NR SA,75,-107.830000,-1.540000,,,,,,,,,,,,,48.643,0.349
,,,N25(20)+N71(20)+N41(100),NR SA,75,-107.130000,-2.160000,,,,,,,,,,,,,42.384,0.327
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.110000,-2.630000,,,,,,,,,,,,,60.773,0.479
,,,N25(20)+N71(20)+N41(100),NR SA,75,-109.200000,-3.120000,,,,,,,,,,,,,45.358,0.436
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.860000,-2.670000,,,,,,,,,,,,,3.052,0.279
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.040000,-0.770000,,,,,,,,,,,,,24.527,0.252
,,,N25(20)+N71(20)+N41(100),NR SA,75,-107.890000,-1.460000,,,,,,,,,,,,,30.420,0.374
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.340000,-1.960000,,,,,,,,,,,,,0.109,0.159
,,,N25(20)+N71(20)+N41(100),NR SA,75,-109.780000,-2.700000,,,,,,,,,,,,,0.006,0.025
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.960000,-4.180000,,,,,,,,,,,,,0.000,
,,,N25(20)+N71(20)+N41(100),NR SA,75,-107.630000,-1.420000,,,,,,,,,,,,,0.000,
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.880000,-5.870000,,,,,,,,,,,,,0.000,
,,,N25(20)+N71(20)+N41(100),NR SA,75,-109.400000,-4.290000,,,,,,,,,,,,,0.019,0.006
,,,N25(20),NR SA,75,-106.010000,0.140000,,,,,,,,,,,,,0.006,0.024
,,,N25(20),NR SA,75,-105.750000,0.620000,,,,,,,,,,,,,0.002,0.034
,,,N25(20)+N71(20)+N41(100),NR SA,75,-106.310000,0.440000,,,,,,,,,,,,,0.180,0.059
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.630000,-0.940000,,,,,,,,,,,,,0.001,0.005
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.380000,-3.890000,,,,,,,,,,,,,0.004,0.046
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.950000,-4.820000,,,,,,,,,,,,,0.139,0.218
,,,N25(20)+N71(20)+N41(100),NR SA,75,-112.270000,-4.300000,,,,,,,,,,,,,0.079,0.187
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.310000,-4.420000,,,,,,,,,,,,,0.068,0.088
,,,N25(20)+N71(20)+N41(100),NR SA,75,-110.260000,-4.640000,,,,,,,,,,,,,0.001,0.018
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.840000,-4.000000,,,,,,,,,,,,,0.000,0.014
,,,N25(20)+N71(20)+N41(100),NR SA,75,-111.090000,-2.050000,,,,,,,,,,,,,0.001,0.016
,,,N25(20)+N71(20)+N41(100),NR SA,75,-108.520000,-1.030000,,,,,,,,,,,,,0.001,0.017
