[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,N71(x),,80,-95.090000,1.000000,,,,,,,,,,,,,,
,,,N71(x),,80,-95.400000,0.010000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-94.380000,1.010000,,,,,,,,,,,,,0.002,0.018
,,,N71(x),,80,-94.220000,0.440000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-94.970000,-0.370000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-94.770000,0.080000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-94.360000,0.900000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-95.680000,-0.290000,,,,,,,,,,,,,0.000,
,,,N71(x),,80,-96.310000,-0.360000,,,,,,,,,,,,,0.000,
,,,N71(10),NR SA,80,-95.690000,0.600000,,,,,,,,,,,,,0.004,0.128
,,,N71(20),NR SA,80,-94.900000,1.590000,,,,,,,,,,,,,0.035,0.247
,,,N71(20),NR SA,80,-95.010000,1.190000,,,,,,,,,,,,,0.110,0.080
,,,N71(20),NR SA,80,-95.760000,0.700000,,,,,,,,,,,,,0.000,
