[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,67,-99.55,11.56,,,,,,,,,,,,,0,0.001
,,,,,67,-99.71,11.33,,,,,,,,,,,,,0,0.001
,,,,,67,-102.06,12.76,,,,,,,,,,,,,0,0.001
,,,,,67,-103.65,12.95,,,,,,,,,,,,,0,0.001
,,,,,67,-104.26,10.85,,,,,,,,,,,,,0,0.001
,,,,,67,-103,11.29,,,,,,,,,,,,,0,0.001
,,,,,67,-102.74,11.72,,,,,,,,,,,,,0,0.001
,,,,,67,-105.91,11.99,,,,,,,,,,,,,0.001,0
,,,,,67,-107.98,9.47,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-105.04,12.47,,,,,,,,,,,,,0.003,0.007
,,,,NR SA,67,-103.61,11.74,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-101.54,15.68,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-100.09,13.29,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-100.64,15.29,,,,,,,,,,,,,0,
,,,,NR SA,67,-99.47,16.61,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-100.36,12.77,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-101.35,11.03,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-102.02,13.05,,,,,,,,,,,,,0,0.001
,,,,NR SA,67,-101.98,12.29,,,,,,,,,,,,,0,0.001
,,,N41(90),NR SA,67,-101.06,14.69,,,,,,,,,,,,,0.001,0.001
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-98.55,14.47,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(90),NR SA,67,-100.95,12.74,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-97.72,11.91,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-98.91,9.01,,,,,,,,,,,,,0,
,,,N41(90),NR SA,67,-100.18,15.97,,,,,,,,,,,,,0,
,,,,NR SA,,,,,,,,,,,,,,,,0,
