[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,266,-104.140000,10.540000,,,,,,,,,,,,,0.000,
,,,N41(x),,266,-102.190000,8.720000,,,,,,,,,,,,,,
,,,N41(x),,266,-94.460000,16.180000,,,,,,,,,,,,,0.000,
,,,N41(x),,266,-94.390000,12.790000,,,,,,,,,,,,,,
,,,N41(x),,266,-97.110000,7.410000,,,,,,,,,,,,,,
,,,N41(x),,266,-96.540000,9.600000,,,,,,,,,,,,,0.000,
,,,N41(x),,266,-95.570000,10.630000,,,,,,,,,,,,,,
,,,N41(x),,266,-94.340000,10.790000,,,,,,,,,,,,,,
,,,N41(x),,266,-93.550000,13.570000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,266,-92.690000,14.130000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-91.700000,14.080000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,266,-95.450000,10.080000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-94.920000,12.490000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-95.180000,13.290000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,266,-95.460000,10.360000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-95.240000,13.010000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-96.480000,10.660000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,266,-95.740000,11.900000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-95.400000,10.930000,,,,,,,,,,,,,0.000,
,,,N41(x),NR SA,266,-96.500000,10.830000,,,,,,,,,,,,,,
,,,N41(x),NR SA,266,-98.000000,9.600000,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-98.880000,9.900000,,,,,,,,,,,,,0.003,0.000
,,,,NR SA,,,,,,,,,,,,,,,,,0.174
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,,NR SA,,,,,,,,,,,,,,,,,
,,,N41(40),NR SA,266,-96.990000,14.320000,,,,,,,,,,,,,0.016,0.062
,,,N41(40),NR SA,266,-100.310000,17.700000,,,,,,,,,,,,,0.019,0.022
,,,N41(40),NR SA,266,-97.550000,14.850000,,,,,,,,,,,,,0.114,0.196
