[General] Serving Network,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.787,
NR SA,,,,1.058,
NR SA,,,,0.982,
NR SA,,,,1.440,
NR SA,,,,1.026,
NR SA,,,,0.960,
NR SA,,,,1.975,
NR SA,,,,3.219,
NR SA,,,,1.528,
NR SA,,,,2.979,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
,,100 Trying,,,
NR SA,,,,,
,,180 Ringing,,,
,,200 OK,INVITE,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.547,
NR SA,,,,1.364,
NR SA,,,,0.000,
NR SA,,,,1.048,
NR SA,,,,1.593,
NR SA,,,,1.124,
NR SA,,,,1.495,
NR SA,,,,1.757,
NR SA,,,,0.709,
NR SA,,,,1.102,
NR SA,,,,0.873,
NR SA,,,,0.491,
NR SA,,,,0.786,
NR SA,,,,1.146,
NR SA,,,,1.408,
NR SA,,,,1.735,
NR SA,,,,1.299,
NR SA,,,,2.041,
NR SA,,,,2.267,
NR SA,,,,3.605,
NR SA,,,,1.560,
NR SA,,,,2.488,
NR SA,,,,2.442,
NR SA,,,,1.846,
NR SA,,,,2.324,
NR SA,,,,2.793,
,BYE,,,,
,,200 OK,BYE,,
NR SA,,,,1.953,
NR SA,,,,1.713,
NR SA,,,,0.240,
NR SA,,,,3.219,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.656,
NR SA,,,,1.811,
NR SA,,,,0.971,
NR SA,,,,1.735,
NR SA,,,,0.295,
NR SA,,,,2.616,
NR SA,,,,3.539,
NR SA,,,,3.121,
NR SA,,,,1.210,
NR SA,,,,2.250,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,1.034,
NR SA,,,,1.713,
NR SA,,,,0.959,
NR SA,,,,1.223,
NR SA,,,,1.320,
NR SA,,,,1.975,
NR SA,,,,0.644,
NR SA,,,,1.613,
NR SA,,,,2.239,
NR SA,,,,1.353,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
,INVITE,,,,
NR SA,,,,,
,,100 Trying,,,
,,180 Ringing,,,
,,200 OK,INVITE,,
,ACK,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,,
NR SA,,,,2.442,
NR SA,,,,2.422,
NR SA,,,,2.019,
NR SA,,,,2.510,
NR SA,,,,1.188,
NR SA,,,,1.988,
NR SA,,,,2.466,
NR SA,,,,1.626,
NR SA,,,,3.426,
NR SA,,,,2.750,
NR SA,,,,2.270,
