[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(x),,1,902,-71.870000,16.830000,,,,,,,,,,,,,
,,,N41(x),,1,902,-70.630000,18.690000,,,,,,,,,,,,,
,,,N41(x),,0,902,-66.750000,21.860000,,,,,,,,,,,,,
,,,N41(x),,1,902,-66.010000,21.300000,,,,,,,,,,,,,
,,,N41(x),,1,902,-67.450000,18.740000,,,,,,,,,,,,,
,,,N41(x),,1,902,-67.090000,21.310000,,,,,,,,,,,,,
,,,N41(x),,0,902,-68.530000,16.800000,,,,,,,,,,,,,
,,,N41(x),,0,902,-67.810000,17.300000,,,,,,,,,,,,,
,,,N41(x),,1,902,-66.960000,19.590000,,,,,,,,,,,,,
,,,N41(x),,0,902,-67.270000,18.940000,,,,,,,,,,,,,
,,,N41(x),,0,902,-67.660000,16.750000,,,,,,,,,,,,,
,,,N41(x),,1,902,-65.540000,21.000000,,,,,,,,,,,,,
,,,N41(x),,0,902,-64.010000,24.690000,,,,,,,,,,,,,
,,,N41(x),,0,902,-63.800000,23.170000,,,,,,,,,,,,,
,,,N41(x),,1,902,-63.540000,23.540000,,,,,,,,,,,,,
,,,N41(x),,0,902,-62.820000,24.880000,,,,,,,,,,,,,
,,,N41(x),,0,902,-62.680000,24.750000,,,,,,,,,,,,,
