[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,,,,,,,,,,,,,,,,,,,
,,,N25(x),,1,872,-109.590000,-2.560000,,,,,,,,,,,,,0.001000
,,,N25(x),,1,872,-110.090000,-2.820000,,,,,,,,,,,,,
,,,N25(x),,1,872,-111.170000,-3.300000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.900000,-3.650000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.010000,-3.490000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.330000,-2.790000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.140000,-2.850000,,,,,,,,,,,,,
,,,N25(x),,1,872,-106.780000,-0.840000,,,,,,,,,,,,,
,,,N25(x),,1,872,-106.780000,-0.570000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.510000,-2.320000,,,,,,,,,,,,,
,,,N25(10),,1,872,-107.950000,-1.340000,,,,,,,,,,,,,
,,,N25(10),,1,872,-106.470000,-0.510000,,,,,,,,,,,,,
,,,N25(10),,1,872,-103.200000,0.470000,,,,,,,,,,,,,
,,,N25(10),,1,872,-103.860000,-0.320000,,,,,,,,,,,,,
,,,N25(10),,1,872,-105.170000,-0.890000,,,,,,,,,,,,,
,,,N25(10),,0,872,-105.110000,-0.340000,,,,,,,,,,,,,
,,,N25(10),,1,872,-103.740000,0.380000,,,,,,,,,,,,,
,,,N25(10),,1,872,-104.000000,-0.740000,,,,,,,,,,,,,
,,,N25(10),,1,872,-104.440000,-1.030000,,,,,,,,,,,,,
,,,N25(10),,0,872,-104.410000,0.350000,,,,,,,,,,,,,
,,,N25(10),,1,872,-109.070000,-3.620000,,,,,,,,,,,,,
,,,N25(10),,1,872,-110.170000,-3.970000,,,,,,,,,,,,,
