[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N25(x),,75,-113.660000,-6.240000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-114.210000,-7.940000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-113.280000,-7.480000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-114.550000,-9.130000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-113.180000,-7.460000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-113.730000,-8.680000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-112.720000,-7.790000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-112.840000,-7.750000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-112.900000,-7.530000,,,,,,,,,,,,,,,,
,,,N25(x),,75,-113.820000,-8.050000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,
,,,N25(x),NR SA,75,-113.300000,-7.730000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Upload Started,,,,,,,,,
,,,N25(20),NR SA,75,-113.170000,-7.750000,,,,,,,,,,,,,,,,
,,,N25(20),NR SA,75,-113.280000,-6.750000,,,,,,,,,,,,,,,,
