[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,N41(100),,1,902,-65.530000,25.120000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.670000,23.730000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.560000,22.330000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.380000,24.220000,,,,,,,,,,,,,
,,,N41(100),,1,902,-65.080000,25.750000,,,,,,,,,,,,,
,,,N41(100),,1,902,-66.010000,23.200000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.700000,20.930000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.960000,21.500000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.180000,22.480000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.130000,22.340000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.630000,21.630000,,,,,,,,,,,,,
,,,N41(100),,1,902,-70.030000,20.540000,,,,,,,,,,,,,
,,,N41(100),,1,902,-69.170000,21.220000,,,,,,,,,,,,,
,,,N41(100),,1,902,-68.690000,22.080000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,N41(100),NR SA,1,902,-68.950000,20.570000,,,,,,,,,,,,,
