[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,,,1,872,-105.700000,-0.270000,,,,,,,,,,,,,
,,,,,1,872,-107.750000,-3.450000,,,,,,,,,,,,,
,,,,,1,872,-110.620000,-6.400000,,,,,,,,,,,,,
,,,,,1,872,-107.550000,-4.270000,,,,,,,,,,,,,
,,,,,1,872,-107.370000,-6.000000,,,,,,,,,,,,,
,,,,,1,872,-108.060000,-4.210000,,,,,,,,,,,,,
,,,,,1,872,-106.140000,-2.270000,,,,,,,,,,,,,
,,,,,1,872,-106.590000,-2.410000,,,,,,,,,,,,,
,,,,,1,872,-107.640000,-3.240000,,,,,,,,,,,,,
,,,,,1,872,-107.460000,-3.410000,,,,,,,,,,,,,
,,,,,1,872,-107.990000,-3.390000,,,,,,,,,,,,,
,,,,,1,872,-107.280000,-2.610000,,,,,,,,,,,,,
,,,,,1,872,-108.430000,-4.940000,,,,,,,,,,,,,
,,,,,1,872,-108.140000,-4.720000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download Start Request,,,,,
,,,,NR SA,1,872,-108.590000,-4.940000,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,
,,,,,,,,,,,,,,,,Download Started,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-108.960000,-2.940000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-108.100000,-2.880000,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-108.800000,-4.380000,,,,,,,,,8.138,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-109.770000,-5.370000,,,,,,,,,7.988,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,1,872,-110.470000,-6.530000,,,,,,,,,10.411,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.130000,-6.520000,,,,,,,,,8.334,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.600000,-5.950000,,,,,,,,,0.687,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.990000,-6.120000,,,,,,,,,4.681,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.570000,-4.710000,,,,,,,,,11.261,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-107.850000,-4.610000,,,,,,,,,12.418,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.670000,-3.480000,,,,,,,,,6.373,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.250000,-1.180000,,,,,,,,,5.461,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.460000,-1.340000,,,,,,,,,2.763,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.020000,-3.690000,,,,,,,,,2.870,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-105.770000,-3.790000,,,,,,,,,1.537,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-109.140000,-3.740000,,,,,,,,,3.121,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-107.870000,-3.230000,,,,,,,,,2.239,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.670000,-6.680000,,,,,,,,,5.663,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.890000,-1.760000,,,,,,,,,4.747,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.510000,-2.250000,,,,,,,,,5.974,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.610000,-2.500000,,,,,,,,,5.341,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-106.180000,-3.120000,,,,,,,,,11.610,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-108.480000,-5.390000,,,,,,,,,11.054,,,,
,,,N25(20)+N71(20)+N41(100),NR SA,3,872,-110.130000,-5.390000,,,,,,,,,7.835,,,,
