[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [System] Num of CC (Data),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[LTE] [Data Throughput] [Downlink (All)] [PDSCH] PDSCH TP (Total),[LTE] [Data Throughput] [Uplink (All)] [PUSCH] PUSCH TP (Total)
,,,,,,,,,,,,,,,,,,,,,
,,,N25(x),,1,872,-109.020000,-3.200000,,,,,,,,,,,,,
,,,N25(x),,0,872,-108.510000,-2.980000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.320000,-4.050000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.230000,-4.660000,,,,,,,,,,,,,
,,,N25(x),,1,872,-107.900000,-2.870000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.140000,-2.890000,,,,,,,,,,,,,
,,,N25(x),,0,872,-109.850000,-4.560000,,,,,,,,,,,,,
,,,N25(x),,1,872,-109.960000,-4.100000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.970000,-2.560000,,,,,,,,,,,,,
,,,N25(x),,1,872,-107.040000,-1.520000,,,,,,,,,,,,,
,,,N25(x),,0,872,-108.760000,-3.040000,,,,,,,,,,,,,
,,,N25(x),,1,872,-108.350000,-2.560000,,,,,,,,,,,,,
,,,N25(x),,1,872,-105.650000,-1.980000,,,,,,,,,,,,,
,,,N25(x),,1,872,-104.750000,-1.850000,,,,,,,,,,,,,
,,,N25(x),,0,872,-110.110000,-5.690000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.560000,-5.470000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.730000,-5.540000,,,,,,,,,,,,,
,,,N25(x),,0,872,-109.970000,-4.580000,,,,,,,,,,,,,
,,,N25(x),,1,872,-109.330000,-4.660000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.060000,-4.860000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.010000,-4.480000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.420000,-4.960000,,,,,,,,,,,,,
,,,N25(x),,1,872,-110.570000,-6.470000,,,,,,,,,,,,,
,,,N25(x),,1,872,-109.370000,-4.790000,,,,,,,,,,,,,
,,,N25(x),,0,872,-109.010000,-4.200000,,,,,,,,,,,,,
,,,N25(x),,1,872,-106.550000,-2.840000,,,,,,,,,,,,,
,,,N25(x),,1,872,-103.020000,0.500000,,,,,,,,,,,,,
,,,N25(x),,1,872,-104.800000,-2.460000,,,,,,,,,,,,,
,,,N25(x),,0,872,-106.400000,-2.450000,,,,,,,,,,,,,
,,,N25(x),,1,872,-107.050000,-3.240000,,,,,,,,,,,,,
,,,N25(x),,1,872,-103.700000,-1.860000,,,,,,,,,,,,,
