[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,,,266,-95.100000,14.300000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-94.230000,16.200000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-94.120000,13.910000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-92.840000,14.130000,,,,,,,,,,,,,,,,
,,,,,266,-92.630000,15.820000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-91.660000,13.210000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-92.380000,12.970000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,266,-92.450000,13.880000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download Start Request,,,,,,,,,
,,,,NR SA,266,-92.590000,17.740000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,,,
,,,,,,,,,,,,,,Download Started,,,,,,,,,
,,,N41(100),NR SA,266,-93.010000,14.360000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.170000,16.380000,,,,,,,,,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-90.730000,17.800000,,,,,,,,15.908,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-90.720000,18.310000,,,,,,,,34.382,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.250000,15.790000,,,,,,,,64.161,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.120000,15.750000,,,,,,,,125.914,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.620000,14.830000,,,,,,,,172.126,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.390000,15.300000,,,,,,,,177.582,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.430000,13.710000,,,,,,,,180.495,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.750000,15.940000,,,,,,,,193.066,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.760000,14.600000,,,,,,,,187.108,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.410000,12.750000,,,,,,,,204.818,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.290000,14.810000,,,,,,,,164.237,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.750000,17.360000,,,,,,,,174.156,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.300000,16.910000,,,,,,,,156.293,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-91.780000,16.750000,,,,,,,,197.082,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.510000,17.590000,,,,,,,,197.453,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-93.140000,13.720000,,,,,,,,189.978,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.980000,13.490000,,,,,,,,179.513,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.740000,13.250000,,,,,,,,171.166,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.630000,11.080000,,,,,,,,184.654,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.680000,11.330000,,,,,,,,197.976,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.490000,12.570000,,,,,,,,183.551,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-95.210000,11.740000,,,,,,,,194.144,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-94.790000,14.570000,,,,,,,,215.556,,,,,,,,
,,,N41(100)+N41(40),NR SA,266,-92.570000,14.390000,,,,,,,,199.504,,,,,,,,
