[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,266,-92.640000,15.980000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-91.430000,14.190000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-91.850000,14.550000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-93.970000,12.780000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-94.130000,12.610000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-94.860000,11.560000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.750000,9.780000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.440000,10.500000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.720000,9.270000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.880000,9.860000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.200000,10.940000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.520000,10.770000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.380000,8.660000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.460000,9.550000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.540000,8.580000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.690000,8.440000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.890000,6.690000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.690000,7.400000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.500000,7.400000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-99.070000,6.240000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.090000,7.280000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.700000,8.070000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.380000,7.510000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.150000,8.960000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.280000,8.780000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.000000,8.980000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.440000,10.650000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-94.260000,11.080000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-95.690000,9.300000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.470000,8.950000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-96.500000,9.360000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-99.370000,8.520000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.480000,11.130000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.760000,12.560000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.460000,12.000000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.620000,8.610000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.890000,9.360000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-99.510000,8.120000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.520000,6.860000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-99.870000,8.140000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.270000,12.250000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-97.580000,11.080000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.950000,7.350000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-98.960000,7.750000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-99.620000,7.280000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-100.730000,6.710000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-100.100000,8.760000,,,,,,,,,,,,,,,,
,,,N41(x),,266,-100.500000,8.410000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N41(x),,266,-100.830000,7.750000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
