IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9879383,40.7623133,2026-01-23 16:57:33.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9879467,40.7623250,2026-01-23 16:57:34.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9879517,40.7623250,2026-01-23 16:57:35.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9879550,40.7623250,2026-01-23 16:57:36.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9879567,40.7623217,2026-01-23 16:57:37.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9879583,40.7623217,2026-01-23 16:57:38.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9879617,40.7623217,2026-01-23 16:57:39.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(x),,371,-73.040000,18.580000,,,,,,,,,,,,,,,,,
8,1,,,-73.9879633,40.7623217,2026-01-23 16:57:40.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-76.260000,13.380000,,,,,,,,,,,,,0.056,,,,
9,1,,,-73.9879650,40.7623233,2026-01-23 16:57:41.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-75.200000,14.800000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9879683,40.7623250,2026-01-23 16:57:42.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-76.960000,15.690000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9879683,40.7623267,2026-01-23 16:57:42.800,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
12,1,,,-73.9879683,40.7623267,2026-01-23 16:57:42.800,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
13,1,,,-73.9879683,40.7623267,2026-01-23 16:57:43.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-74.980000,16.050000,,,,,,,,,,,,,0.000,,,,
14,1,,,-73.9879683,40.7623283,2026-01-23 16:57:44.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-74.400000,15.820000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9879700,40.7623283,2026-01-23 16:57:45.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-74.520000,15.700000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9879700,40.7623283,2026-01-23 16:57:45.816,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
17,1,,,-73.9879700,40.7623283,2026-01-23 16:57:45.816,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
18,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.019,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,26
19,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.030000,16.450000,,,,,,,,,,,,,0.000,,,,
20,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.239,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
21,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.441,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,34
22,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.629,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,32
23,1,,,-73.9879700,40.7623283,2026-01-23 16:57:46.831,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,31
24,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.270000,15.750000,,,,,,,,,,,,,0.024,,,,
25,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.066,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,57
26,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.269,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,58
27,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.456,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,51
28,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.660,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
29,1,,,-73.9879700,40.7623283,2026-01-23 16:57:47.848,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,44
30,1,,,-73.9879700,40.7623283,2026-01-23 16:57:48.000,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.000000,15.820000,,,,,,,,,,,,,0.016,,,,
31,1,,,-73.9879700,40.7623283,2026-01-23 16:57:48.050,_20260123_115728_CH01_REF_TMO_PING_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
