[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,872,-98.540000,4.500000,,,,,,,,,,,,,,,,
,,,,,872,-100.080000,3.950000,,,,,,,,,,,,,,,,
,,,,,872,-100.000000,3.970000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,872,-103.080000,0.010000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,872,-102.170000,1.350000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,,,872,-99.420000,2.010000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.460000,-1.080000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(20),NR SA,872,-101.400000,-1.020000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,78
,,,N25(20),NR SA,872,-100.790000,-0.160000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,130
,,,,,,,,,,,,,,,,,,,,,,,60
,,,N25(20),NR SA,872,-100.680000,1.040000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,,,,,,,,235
,,,N25(20),NR SA,872,-100.380000,2.040000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,84
,,,N25(20),NR SA,872,-100.230000,3.240000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,71
,,,N25(20),NR SA,872,-101.150000,0.960000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),NR SA,872,-100.960000,0.350000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.440000,-0.580000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.370000,0.480000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.350000,0.430000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-101.290000,0.570000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.220000,2.590000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(20),NR SA,872,-99.940000,2.780000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,,,,,,,,129
,,,,,,,,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,,,,,,,,85
,,,N25(20),NR SA,872,-98.930000,3.150000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,89
,,,,,,,,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,,,,,,,,81
,,,N25(20),NR SA,872,-98.620000,2.180000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,87
,,,,,,,,,,,,,,,,,,,,,,,80
,,,,,,,,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,,,,,,78
,,,,,,,,,,,,,,,,,,,,,,,78
,,,N25(20),NR SA,872,-99.780000,2.790000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,72
,,,N25(20),NR SA,872,-99.240000,4.060000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,48
,,,N25(20),NR SA,872,-98.780000,3.790000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),NR SA,872,-99.800000,3.170000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.960000,2.570000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.660000,3.390000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.290000,3.270000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-99.900000,2.630000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-99.980000,1.810000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(20),NR SA,872,-100.090000,1.580000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,308
,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,61
,,,N25(20),NR SA,872,-99.500000,2.860000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,84
,,,,,,,,,,,,,,,,,,,,,,,90
,,,N25(20),NR SA,872,-99.480000,3.040000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,,,,,,,,74
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,78
,,,N25(20),NR SA,872,-99.230000,4.400000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,65
,,,N25(20),NR SA,872,-99.370000,4.170000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,56
,,,N25(20),NR SA,872,-100.590000,2.730000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,44
,,,N25(20),NR SA,872,-101.600000,1.660000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),,872,-101.020000,2.220000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.480000,0.890000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.060000,0.400000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-101.110000,0.430000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-99.990000,0.500000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.880000,-0.410000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,,,,,,,,,,,,,,,,,,,,,257
,,,,,,,,,,,,,,,,,,,,,,,118
,,,,,,,,,,,,,,,,,,,,,,,103
,,,N25(20),NR SA,872,-100.970000,0.680000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,,,,,,,,96
,,,N25(20),NR SA,872,-101.400000,0.100000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,102
,,,,,,,,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,,,,,,,,39
,,,N25(20),NR SA,872,-102.080000,-0.480000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,50
,,,N25(20),NR SA,872,-102.840000,-0.020000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,88
,,,,,,,,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,,,,,,,,45
,,,N25(20),NR SA,872,-103.520000,0.050000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,79
,,,,,,,,,,,,,,,,,,,,,,,91
,,,N25(20),NR SA,872,-103.130000,-0.180000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),,872,-102.140000,0.960000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-102.590000,1.090000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-102.230000,0.670000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-100.800000,1.290000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-101.240000,0.770000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,,NR SA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,211
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,70
,,,N25(20),NR SA,872,-99.880000,1.530000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,51
,,,N25(20),NR SA,872,-101.210000,-0.470000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,80
,,,N25(20),NR SA,872,-100.540000,1.470000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,,,101
,,,,,,,,,,,,,,,,,,,,,,,65
,,,N25(20),NR SA,872,-100.070000,1.820000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,77
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,85
,,,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,65
,,,N25(20),NR SA,872,-100.880000,1.250000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,,,,,,,,74
,,,N25(20),NR SA,872,-100.930000,1.600000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),,872,-99.420000,4.030000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-99.860000,3.170000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.680000,0.810000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-100.700000,1.640000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-100.590000,2.810000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-99.820000,2.580000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,54
,,,N25(20),NR SA,872,-99.100000,3.100000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,209
,,,N25(20),NR SA,872,-99.530000,2.700000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,93
,,,,,,,,,,,,,,,,,,,,,,,83
,,,,,,,,,,,,,,,,,,,,,,,90
,,,,,,,,,,,,,,,,,,,,,,,58
,,,N25(20)+N71(20)+N41(100),NR SA,872,-100.360000,2.650000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,63
,,,N25(20)+N71(20)+N41(100),NR SA,872,-99.760000,4.210000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,60
,,,N25(20)+N71(20)+N41(100),NR SA,872,-100.060000,4.550000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,51
