[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
,,,N25(x),,872,-108.860000,-3.910000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-108.340000,-3.870000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-109.510000,-3.090000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-111.170000,-3.350000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-110.340000,-4.100000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-110.290000,-3.680000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-108.360000,-2.210000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-110.320000,-5.100000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(x),,872,-111.670000,-4.350000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-110.800000,-3.960000,,,,,,,,,,,,,,,,
,,,N25(x),,872,-111.150000,-3.450000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(x),NR SA,872,-111.920000,-4.790000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,113
,,,,,,,,,,,,,,,,,,,,,,,58
,,,N25(x),NR SA,872,-111.360000,-4.310000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,35
,,,N25(20),NR SA,872,-110.480000,-3.070000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,92
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,200
,,,,,,,,,,,,,,,,,,,,,,,127
,,,,,,,,,,,,,,,,,,,,,,,96
,,,,,,,,,,,,,,,,,,,,,,,37
,,,N25(20),NR SA,872,-110.210000,-2.270000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,82
,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,138
,,,N25(20),NR SA,872,-109.790000,-2.180000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,103
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,44
,,,N25(20),NR SA,872,-110.420000,-2.910000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,158
,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),NR SA,872,-111.060000,-3.670000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-111.280000,-4.210000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-109.390000,-3.770000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-108.800000,-4.720000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-109.290000,-3.980000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-109.320000,-3.680000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-110.620000,-4.470000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,,34
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-109.980000,-3.940000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,30
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-110.030000,-3.270000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,42
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-111.540000,-5.280000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,44
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,39
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-110.270000,-4.160000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,,43
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,43
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-109.420000,-3.380000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),NR SA,872,-109.040000,-2.900000,,,,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,872,-108.970000,-3.240000,,,,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,872,-109.610000,-4.520000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,872,-109.680000,-4.120000,,,,,,,,,,,,,,,,
,,,N25(20)+N71(20)+N41(100)+N41(90),,872,-109.390000,-4.280000,,,,,,,,,,,,,,,,
,,,N25(x)+N71(x)+N41(x)+N41(x),,872,-108.240000,-2.710000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,N25(10),NR SA,872,-109.440000,-4.380000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,195
,,,,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,39
,,,,,,,,,,,,,,,,,,,,,,,35
,,,N25(20),NR SA,872,-109.680000,-3.600000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,45
,,,,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,45
,,,N25(20),NR SA,872,-110.860000,-3.700000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,35
,,,N25(20),NR SA,872,-110.580000,-3.180000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,40
,,,N25(20),NR SA,872,-111.240000,-4.260000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,38
,,,N25(20),NR SA,872,-112.130000,-4.850000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
,,,N25(20),NR SA,872,-111.340000,-4.180000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-110.890000,-3.440000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-109.980000,-3.700000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-111.130000,-6.070000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,,,,,,,,,,,,,PING START,,,
,,,N25(20),,872,-110.050000,-3.670000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-108.970000,-3.960000,,,,,,,,,,,,,,,,
,,,N25(20),,872,-110.460000,-4.940000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
,,,,,,,,,,,,,,,,,,,,,,,76
,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,37
,,,,,,,,,,,,,,,,,,,,,,,99
,,,N25(20),NR SA,872,-112.010000,-4.960000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,38
,,,,,,,,,,,,,,,,,,,,,,,54
,,,N25(20),NR SA,872,-112.470000,-4.560000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,102
