[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
145,-112.500000,0.150000,B2(15),,55,-105.830000,9.970000,,,,,,,,,,,,,0.000,
145,-112.110000,1.980000,B2(15),,55,-106.320000,9.950000,,,,,,,,,,,,,0.005,0.053
145,-108.560000,2.300000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.120000,0.300000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.620000,0.600000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
145,-109.620000,-0.600000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.810000,-1.100000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.310000,2.800000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.380000,2.100000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
145,-109.620000,0.700000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.750000,-0.900000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download Start Request,,,,,,,
145,-109.630000,1.760000,B2(15),LTE (15 MHz),,,,,,,,,,,,,,,,0.377,0.236
145,-110.700000,0.830000,B2(15)+B71(5)+B66(20)+N71(20),NR NSA,80,-92.430000,-5.800000,,,,,,,,,,,,,30.864,1.219
,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,
,,,,,,,,,,,,,,Download Started,,,,,,,
145,-110.580000,0.380000,B2(15)+B66(20)+N71(20),NR NSA,80,-92.060000,-5.520000,,,,,,,,,,,,,63.322,0.808
145,-109.840000,1.340000,B2(15)+B66(20)+N71(20),NR NSA,80,-92.120000,-5.680000,,,,,,,,,,,,,74.985,0.516
145,-109.690000,2.070000,B2(15)+B66(20)+N71(20),NR NSA,80,-92.690000,-5.200000,,,,,,,,,,,,,71.579,0.400
145,-108.990000,2.390000,B2(15)+B66(20)+N71(20),NR NSA,80,-95.180000,-4.340000,,,,,,,,,,,,,89.519,0.421
145,-109.320000,1.610000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.060000,-4.020000,,,,,,,,,,,,,72.466,0.357
145,-109.150000,1.550000,B2(15)+B66(20)+N71(20),NR NSA,80,-93.130000,-4.160000,,,,,,,,,,,,,91.745,0.459
145,-108.950000,1.580000,B2(15)+B66(20)+N71(20),NR NSA,80,-93.640000,-5.520000,,,,,,,,,,,,,89.111,0.432
145,-108.660000,2.470000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.680000,-6.140000,,,,,,,,,,,,,83.825,0.422
145,-109.150000,2.410000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.880000,-5.900000,,,,,,,,,,,,,108.027,0.450
145,-109.430000,2.110000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.000000,-6.280000,,,,,,,,,,,,,78.042,0.435
145,-109.660000,1.290000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.640000,-5.850000,,,,,,,,,,,,,65.845,0.406
145,-109.810000,1.320000,B2(15)+B66(20)+N71(20),NR NSA,474,-97.590000,-6.270000,,,,,,,,,,,,,63.421,0.317
145,-110.460000,1.630000,B2(15)+B66(20)+N71(20),NR NSA,474,-93.740000,-7.970000,,,,,,,,,,,,,53.343,0.380
145,-110.260000,1.910000,B2(15)+B66(20)+N71(20),NR NSA,474,-95.200000,-7.240000,,,,,,,,,,,,,54.437,0.466
145,-109.730000,2.200000,B2(15)+B66(20)+N71(20),NR NSA,474,-98.330000,-8.320000,,,,,,,,,,,,,41.667,0.166
145,-109.250000,1.860000,B2(15)+B66(20)+N71(20),NR NSA,80,-97.480000,-6.250000,,,,,,,,,,,,,66.606,1.543
145,-108.630000,1.850000,B2(15)+B66(20)+N71(20),NR NSA,80,-97.850000,-6.600000,,,,,,,,,,,,,74.027,0.417
145,-108.330000,2.780000,B2(15)+B66(20)+N71(20),NR NSA,80,-97.090000,-6.390000,,,,,,,,,,,,,98.607,0.412
145,-108.450000,2.480000,B2(15)+B66(20)+N71(20),NR NSA,80,-98.200000,-7.120000,,,,,,,,,,,,,115.055,0.366
145,-108.610000,2.130000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.940000,-6.440000,,,,,,,,,,,,,111.567,0.352
145,-109.300000,1.880000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.530000,-7.040000,,,,,,,,,,,,,104.310,0.373
145,-109.490000,1.690000,B2(15)+B66(20)+N71(20),NR NSA,80,-95.780000,-6.400000,,,,,,,,,,,,,106.750,0.350
145,-109.030000,2.350000,B2(15)+B66(20)+N71(20),NR NSA,80,-96.310000,-5.850000,,,,,,,,,,,,,120.858,0.370
145,-108.670000,2.210000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.480000,-6.120000,,,,,,,,,,,,,114.233,0.420
145,-108.940000,1.600000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.690000,-5.650000,,,,,,,,,,,,,103.289,0.388
145,-109.160000,1.570000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.140000,-5.960000,,,,,,,,,,,,,102.835,0.353
145,-109.410000,2.080000,B2(15)+B66(20)+N71(20),NR NSA,80,-93.360000,-5.220000,,,,,,,,,,,,,101.110,0.347
145,-109.930000,1.690000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.410000,-6.370000,,,,,,,,,,,,,84.291,0.468
145,-109.340000,2.010000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.170000,-5.840000,,,,,,,,,,,,,91.217,0.537
145,-109.240000,2.070000,B2(15)+B66(20)+N71(20),NR NSA,80,-93.590000,-5.550000,,,,,,,,,,,,,102.000,0.380
145,-109.290000,1.350000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.270000,-6.190000,,,,,,,,,,,,,91.648,0.360
,,,,,,,,,,,,,,Download End Request,,,,,,,
,,,,,,,,,,,,,,Download Ended,,,,,,,
145,-109.500000,1.210000,B2(15)+B66(20)+N71(20),,80,-95.070000,-5.930000,,,,,,,,,,,,,94.827,0.292
