[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
145,-111.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-110.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-110.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-110.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-110.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-110.000000,3.000000,B2(15)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.000000,0.750000,B2(15),,,,,,,,,,,,,,,,,0.002,0.003
145,-105.000000,1.000000,B2(15),,,,,,,,,,,,,,,,,0.002,0.003
145,-105.000000,2.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.000000,1.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.000000,-0.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.000000,1.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.000000,1.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.000000,1.500000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-106.500000,0.750000,B2(15),,,,,,,,,,,,,,,,,0.000,0.000
145,-107.000000,0.500000,B2(15)+N41(100),,55,-108.310000,5.830000,,,,,,,,,,,,,0.061,0.029
145,-107.000000,0.500000,B2(15)+N41(100),,55,-110.520000,3.920000,,,,,,,,,,,,,0.096,0.066
145,-111.500000,1.000000,B2(15)+N41(100),,55,-110.370000,4.190000,,,,,,,,,,,,,0.000,0.001
