IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-122.1276979,47.6306639,2025-09-14 23:01:31.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-122.1276979,47.6306639,2025-09-14 23:01:32.000,DUTMergedFile.dml,442,-109.440000,4.400000,B66(20),,,,,,,,,,,,,,,,,,,,
3,1,,,-122.1276978,47.6306639,2025-09-14 23:01:33.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-122.1276978,47.6306639,2025-09-14 23:01:34.000,DUTMergedFile.dml,442,-107.940000,8.400000,B66(20),,,,,,,,,,,,,,,,,,,,
5,1,,,-122.1276978,47.6306639,2025-09-14 23:01:35.000,DUTMergedFile.dml,442,-107.880000,7.900000,B66(20),,,,,,,,,,,,,,,,,,,,
6,1,,,-122.1276978,47.6306639,2025-09-14 23:01:36.000,DUTMergedFile.dml,442,-105.690000,9.600000,B66(20),,,,,,,,,,,,,,,,,,,,
7,1,,,-122.1276978,47.6306639,2025-09-14 23:01:37.000,DUTMergedFile.dml,442,-108.310000,5.700000,B66(20),,,,,,,,,,,,,,,,,,,,
8,1,,,-122.1276978,47.6306639,2025-09-14 23:01:38.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-122.1276978,47.6306639,2025-09-14 23:01:39.000,DUTMergedFile.dml,442,-107.120000,5.200000,B66(20),,,,,,,,,,,,,,,,,,,,
10,1,,,-122.1276978,47.6306639,2025-09-14 23:01:40.000,DUTMergedFile.dml,442,-109.380000,4.800000,B66(20),,,,,,,,,,,,,,,,,,,,
11,1,,,-122.1276978,47.6306639,2025-09-14 23:01:41.000,DUTMergedFile.dml,442,-109.440000,1.600000,B66(20),,,,,,,,,,,,,,,,,,,,
12,1,,,-122.1276978,47.6306639,2025-09-14 23:01:42.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,-122.1276978,47.6306639,2025-09-14 23:01:43.000,DUTMergedFile.dml,442,-109.120000,5.200000,B66(20),,,,,,,,,,,,,,,,,,,,
14,1,,,-122.1276978,47.6306639,2025-09-14 23:01:44.021,DUTMergedFile.dml,,,,,,,,,,,,,,,Download Start Request,,,,,,,,,
15,1,,,-122.1276978,47.6306639,2025-09-14 23:01:44.000,DUTMergedFile.dml,442,-108.250000,2.000000,B66(20),LTE (20 MHz),,,,,,,,,,,,,,,,,,,
16,1,,,-122.1276978,47.6306639,2025-09-14 23:01:45.000,DUTMergedFile.dml,442,-110.580000,3.800000,B66(20)+B12(15)+B2(5),LTE 3CA,,,,,,,,,,,,,,,,,,,
17,1,,,-122.1276979,47.6306638,2025-09-14 23:01:45.741,DUTMergedFile.dml,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,,,
18,1,,,-122.1276979,47.6306638,2025-09-14 23:01:45.741,DUTMergedFile.dml,,,,,,,,,,,,,,,Download Started,,,,,,,,,
19,1,,,-122.1276979,47.6306638,2025-09-14 23:01:46.000,DUTMergedFile.dml,442,-109.690000,4.480000,B66(20)+B12(15)+B2(5)+N71(20),NR NSA,967,-94.680000,-3.210000,,,,,,,,,,,,,,,,
20,1,,,-122.1276980,47.6306637,2025-09-14 23:01:47.000,DUTMergedFile.dml,442,-109.610000,5.410000,B66(20)+B2(5)+N71(20),NR NSA,967,-92.020000,-3.920000,,,,,,,,,,,,,,,,
21,1,,,-122.1276980,47.6306637,2025-09-14 23:01:48.000,DUTMergedFile.dml,442,-106.830000,7.500000,B66(20)+B2(5)+N71(20),NR NSA,967,-93.710000,-5.030000,,,,,,,,37.024,,,,,,,,
22,1,,,-122.1276980,47.6306637,2025-09-14 23:01:49.000,DUTMergedFile.dml,442,-107.440000,6.870000,B66(20)+B2(5)+N71(20),NR NSA,967,-95.170000,-4.990000,,,,,,,,21.529,,,,,,,,
23,1,,,-122.1276981,47.6306637,2025-09-14 23:01:50.000,DUTMergedFile.dml,442,-106.510000,7.200000,B66(20)+B2(5)+N71(20),NR NSA,967,-94.250000,-8.030000,,,,,,,,32.136,,,,,,,,
24,1,,,-122.1276981,47.6306637,2025-09-14 23:01:51.000,DUTMergedFile.dml,442,-109.130000,5.000000,B66(20)+B2(5)+N71(20),NR NSA,271,-96.780000,-6.680000,,,,,,,,43.561,,,,,,,,
25,1,,,-122.1276981,47.6306637,2025-09-14 23:01:52.000,DUTMergedFile.dml,442,-109.850000,4.560000,B66(20)+B2(5)+N71(20),NR NSA,271,-93.670000,-1.150000,,,,,,,,25.905,,,,,,,,
26,1,,,-122.1276981,47.6306637,2025-09-14 23:01:53.000,DUTMergedFile.dml,442,-110.680000,5.800000,B66(20)+B2(5)+N71(20),NR NSA,271,-92.780000,-2.450000,,,,,,,,41.509,,,,,,,,
27,1,,,-122.1276980,47.6306637,2025-09-14 23:01:54.000,DUTMergedFile.dml,442,-110.060000,5.650000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.120000,-2.340000,,,,,,,,55.913,,,,,,,,
28,1,,,-122.1276980,47.6306637,2025-09-14 23:01:55.000,DUTMergedFile.dml,442,-109.540000,5.430000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.800000,-1.070000,,,,,,,,66.322,,,,,,,,
29,1,,,-122.1276981,47.6306637,2025-09-14 23:01:56.000,DUTMergedFile.dml,442,-110.990000,3.710000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.010000,-1.150000,,,,,,,,65.286,,,,,,,,
30,1,,,-122.1276981,47.6306637,2025-09-14 23:01:57.000,DUTMergedFile.dml,442,-111.290000,4.590000,B66(20)+B2(5)+N71(20),NR NSA,271,-93.840000,-0.720000,,,,,,,,85.812,,,,,,,,
31,1,,,-122.1276981,47.6306637,2025-09-14 23:01:58.000,DUTMergedFile.dml,442,-110.000000,4.730000,B66(20)+B2(5)+N71(20),NR NSA,271,-94.190000,-0.170000,,,,,,,,94.880,,,,,,,,
32,1,,,-122.1276981,47.6306637,2025-09-14 23:01:59.000,DUTMergedFile.dml,442,-109.920000,5.000000,B66(20)+B2(5)+N71(20),NR NSA,271,-94.230000,-2.840000,,,,,,,,97.226,,,,,,,,
33,1,,,-122.1276981,47.6306637,2025-09-14 23:02:00.000,DUTMergedFile.dml,442,-111.100000,3.510000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.450000,-0.400000,,,,,,,,93.760,,,,,,,,
34,1,,,-122.1276980,47.6306637,2025-09-14 23:02:01.000,DUTMergedFile.dml,442,-109.940000,5.100000,B66(20)+B2(5)+N71(20),NR NSA,271,-94.390000,-1.740000,,,,,,,,78.558,,,,,,,,
35,1,,,-122.1276980,47.6306637,2025-09-14 23:02:02.000,DUTMergedFile.dml,442,-110.470000,3.550000,B66(20)+B2(5)+N71(20),NR NSA,271,-91.370000,-0.130000,,,,,,,,83.368,,,,,,,,
36,1,,,-122.1276980,47.6306637,2025-09-14 23:02:03.000,DUTMergedFile.dml,442,-109.920000,4.930000,B66(20)+B2(5)+N71(20),NR NSA,271,-92.080000,-0.230000,,,,,,,,98.143,,,,,,,,
37,1,,,-122.1276980,47.6306637,2025-09-14 23:02:04.000,DUTMergedFile.dml,442,-109.010000,6.240000,B66(20)+B2(5)+N71(20),NR NSA,271,-93.480000,-1.450000,,,,,,,,93.527,,,,,,,,
38,1,,,-122.1276980,47.6306637,2025-09-14 23:02:05.000,DUTMergedFile.dml,442,-109.060000,5.720000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.740000,-3.970000,,,,,,,,91.428,,,,,,,,
39,1,,,-122.1276980,47.6306637,2025-09-14 23:02:06.000,DUTMergedFile.dml,442,-109.250000,5.580000,B66(20)+B2(5)+N71(20),NR NSA,271,-95.870000,-4.180000,,,,,,,,90.398,,,,,,,,
40,1,,,-122.1276980,47.6306636,2025-09-14 23:02:07.000,DUTMergedFile.dml,442,-109.610000,5.700000,B66(20)+B2(5)+N71(20),NR NSA,271,-96.850000,-7.290000,,,,,,,,96.135,,,,,,,,
41,1,,,-122.1276979,47.6306636,2025-09-14 23:02:08.000,DUTMergedFile.dml,442,-110.220000,4.940000,B66(20)+B2(5)+N71(20),NR NSA,967,-99.380000,-6.240000,,,,,,,,103.620,,,,,,,,
42,1,,,-122.1276979,47.6306636,2025-09-14 23:02:09.000,DUTMergedFile.dml,442,-109.600000,5.210000,B66(20)+B2(5)+N71(20),NR NSA,967,-96.360000,-6.500000,,,,,,,,85.857,,,,,,,,
43,1,,,-122.1276979,47.6306636,2025-09-14 23:02:10.000,DUTMergedFile.dml,442,-109.770000,4.470000,B66(20)+B2(5)+N71(20),NR NSA,967,-94.130000,-5.240000,,,,,,,,63.976,,,,,,,,
44,1,,,-122.1276979,47.6306636,2025-09-14 23:02:11.000,DUTMergedFile.dml,442,-109.470000,5.120000,B66(20)+B2(5)+N71(20),NR NSA,967,-94.700000,-5.500000,,,,,,,,105.006,,,,,,,,
45,1,,,-122.1276979,47.6306636,2025-09-14 23:02:12.000,DUTMergedFile.dml,442,-110.870000,3.590000,B66(20)+B2(5)+N71(20),NR NSA,967,-96.850000,-5.860000,,,,,,,,60.365,,,,,,,,
46,1,,,-122.1276979,47.6306636,2025-09-14 23:02:13.000,DUTMergedFile.dml,442,-110.990000,2.550000,B66(20)+B2(5)+N71(20),NR NSA,967,-96.040000,-5.870000,,,,,,,,74.671,,,,,,,,
47,1,,,-122.1276979,47.6306635,2025-09-14 23:02:14.000,DUTMergedFile.dml,442,-110.970000,2.440000,B66(20)+B2(5)+N71(20),NR NSA,967,-94.500000,-3.360000,,,,,,,,54.495,,,,,,,,
48,1,,,-122.1276978,47.6306635,2025-09-14 23:02:15.000,DUTMergedFile.dml,442,-110.850000,3.740000,B66(20)+B2(5)+N71(20),NR NSA,967,-94.120000,-6.560000,,,,,,,,12.972,,,,,,,,
49,1,,,-122.1276979,47.6306635,2025-09-14 23:02:16.000,DUTMergedFile.dml,442,-109.580000,4.360000,B66(20)+B2(5)+N71(20),NR NSA,967,-95.260000,-7.500000,,,,,,,,143.429,,,,,,,,
50,1,,,-122.1276979,47.6306635,2025-09-14 23:02:16.731,DUTMergedFile.dml,,,,,,,,,,,,,,,Download End Request,,,,,,,,,
51,1,,,-122.1276979,47.6306635,2025-09-14 23:02:16.816,DUTMergedFile.dml,,,,,,,,,,,,,,,Download Ended,,,,,,,,,
