IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2025-09-14 23:01:31.000,REFMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-122.1276994,47.6306580,2025-09-14 23:01:32.000,REFMergedFile.dml,442,-106.000000,6.000000,B66(20)+N41(x),,,,,,,,,,,,,,,,,,,,
3,1,,,-122.1276994,47.6306580,2025-09-14 23:01:33.000,REFMergedFile.dml,442,-109.500000,6.500000,B66(20)+N41(x),,,,,,,,,,,,,,,,,,,,
4,1,,,-122.1276994,47.6306580,2025-09-14 23:01:34.000,REFMergedFile.dml,442,-110.500000,10.000000,B66(20)+N41(x),,,,,,,,,,,,,,,,,,,,
5,1,,,-122.1276994,47.6306580,2025-09-14 23:01:35.000,REFMergedFile.dml,442,-110.500000,10.000000,B66(20)+N41(x),,,,,,,,,,,,,,,,,,,,
6,1,,,-122.1276994,47.6306580,2025-09-14 23:01:36.000,REFMergedFile.dml,442,-110.500000,10.000000,B66(20)+N41(x),,,,,,,,,,,,,,,,,,,,
7,1,,,-122.1276994,47.6306580,2025-09-14 23:01:37.000,REFMergedFile.dml,442,-107.000000,7.000000,B66(20)+N41(90),,462,-101.330000,12.000000,,,,,,,,,,,,,,,,
8,1,,,-122.1276994,47.6306580,2025-09-14 23:01:38.000,REFMergedFile.dml,442,-107.500000,8.000000,B66(20)+N41(90),,462,-102.010000,11.830000,,,,,,,,,,,,,,,,
9,1,,,-122.1276994,47.6306580,2025-09-14 23:01:39.000,REFMergedFile.dml,442,-107.500000,8.000000,B66(20)+N41(90),,462,-106.480000,8.340000,,,,,,,,,,,,,,,,
10,1,,,-122.1276994,47.6306580,2025-09-14 23:01:40.000,REFMergedFile.dml,442,-110.500000,2.500000,B66(20)+N41(90),,462,-103.100000,11.730000,,,,,,,,,,,,,,,,
11,1,,,-122.1276994,47.6306580,2025-09-14 23:01:41.000,REFMergedFile.dml,442,-110.500000,2.500000,B66(20)+N41(90),,462,-105.110000,9.940000,,,,,,,,,,,,,,,,
12,1,,,-122.1276994,47.6306580,2025-09-14 23:01:42.000,REFMergedFile.dml,442,-111.000000,5.500000,B66(20)+N41(90),,462,-102.880000,12.590000,,,,,,,,,,,,,,,,
13,1,,,-122.1276994,47.6306580,2025-09-14 23:01:43.000,REFMergedFile.dml,442,-108.500000,4.000000,B66(20)+N41(90),,462,-103.560000,10.060000,,,,,,,,,,,,,,,,
14,1,,,-122.1276994,47.6306580,2025-09-14 23:01:44.000,REFMergedFile.dml,442,-108.500000,4.000000,B66(20)+N41(90),,462,-102.770000,11.460000,,,,,,,,,,,,,,,,
15,1,,,-122.1276994,47.6306580,2025-09-14 23:01:45.000,REFMergedFile.dml,442,-112.000000,10.000000,B66(20)+N41(90),,462,-106.520000,8.140000,,,,,,,,,,,,,,,,
16,1,,,-122.1276994,47.6306580,2025-09-14 23:01:46.000,REFMergedFile.dml,442,-109.500000,13.000000,B66(20)+N41(90),,67,-102.890000,11.770000,,,,,,,,,,,,,,,,
17,1,,,-122.1276994,47.6306580,2025-09-14 23:01:47.000,REFMergedFile.dml,442,-109.000000,3.000000,B66(20)+N41(90),,67,-101.400000,13.580000,,,,,,,,,,,,,,,,
18,1,,,-122.1276994,47.6306580,2025-09-14 23:01:48.000,REFMergedFile.dml,442,-110.000000,6.500000,B66(20)+N41(90),,67,-101.630000,14.490000,,,,,,,,,,,,,,,,
19,1,,,-122.1276994,47.6306580,2025-09-14 23:01:49.000,REFMergedFile.dml,442,-110.000000,6.500000,B66(20)+N41(90),,67,-102.970000,11.910000,,,,,,,,,,,,,,,,
20,1,,,-122.1276994,47.6306580,2025-09-14 23:01:50.000,REFMergedFile.dml,442,-107.000000,8.500000,B66(20)+N41(90),,67,-102.410000,13.180000,,,,,,,,,,,,,,,,
21,1,,,-122.1276994,47.6306580,2025-09-14 23:01:51.000,REFMergedFile.dml,442,-108.000000,5.000000,B66(20)+N41(90),,67,-103.240000,11.400000,,,,,,,,,,,,,,,,
22,1,,,-122.1276994,47.6306580,2025-09-14 23:01:52.000,REFMergedFile.dml,442,-110.000000,7.000000,B66(20)+N41(90),,67,-100.190000,15.450000,,,,,,,,,,,,,,,,
23,1,,,-122.1276994,47.6306580,2025-09-14 23:01:53.000,REFMergedFile.dml,442,-106.500000,7.000000,B66(20)+N41(90),,67,-102.440000,12.980000,,,,,,,,,,,,,,,,
24,1,,,-122.1276994,47.6306580,2025-09-14 23:01:54.000,REFMergedFile.dml,442,-106.500000,7.000000,B66(20)+N41(90),,67,-103.820000,11.740000,,,,,,,,,,,,,,,,
25,1,,,-122.1276994,47.6306580,2025-09-14 23:01:55.000,REFMergedFile.dml,442,-110.000000,8.000000,B66(20)+N41(90),,67,-101.480000,12.710000,,,,,,,,,,,,,,,,
26,1,,,-122.1276994,47.6306580,2025-09-14 23:01:56.000,REFMergedFile.dml,442,-109.000000,7.000000,B66(20)+N41(90),,67,-102.280000,12.910000,,,,,,,,,,,,,,,,
27,1,,,-122.1276994,47.6306580,2025-09-14 23:01:57.000,REFMergedFile.dml,442,-110.000000,6.000000,B66(20),,,,,,,,,,,,,,,,,,,,
28,1,,,-122.1276994,47.6306580,2025-09-14 23:01:58.000,REFMergedFile.dml,442,-107.500000,5.000000,B66(20),,,,,,,,,,,,,,,,,,,,
29,1,,,-122.1276994,47.6306580,2025-09-14 23:01:59.000,REFMergedFile.dml,442,-106.000000,7.670000,B66(20),,,,,,,,,,,,,,,,,,,,
30,1,,,-122.1276994,47.6306580,2025-09-14 23:02:00.000,REFMergedFile.dml,442,-106.000000,7.000000,B66(20),,,,,,,,,,,,,,,,,,,,
31,1,,,-122.1276994,47.6306580,2025-09-14 23:02:01.000,REFMergedFile.dml,442,-106.500000,9.000000,B66(20),,,,,,,,,,,,,,,,,,,,
32,1,,,-122.1276994,47.6306580,2025-09-14 23:02:02.000,REFMergedFile.dml,442,-107.000000,6.000000,B66(20),,,,,,,,,,,,,,,,,,,,
33,1,,,-122.1276994,47.6306580,2025-09-14 23:02:03.000,REFMergedFile.dml,442,-107.000000,6.000000,B66(20),,,,,,,,,,,,,,,,,,,,
34,1,,,-122.1276994,47.6306580,2025-09-14 23:02:04.000,REFMergedFile.dml,442,-107.500000,7.000000,B66(20),,,,,,,,,,,,,,,,,,,,
35,1,,,-122.1276994,47.6306580,2025-09-14 23:02:05.000,REFMergedFile.dml,442,-107.500000,6.000000,B66(20),,,,,,,,,,,,,,,,,,,,
36,1,,,-122.1276994,47.6306580,2025-09-14 23:02:06.000,REFMergedFile.dml,442,-108.000000,7.000000,B66(20),,,,,,,,,,,,,,,,,,,,
37,1,,,-122.1276994,47.6306580,2025-09-14 23:02:07.000,REFMergedFile.dml,442,-108.000000,9.000000,B66(20),,,,,,,,,,,,,,,,,,,,
38,1,,,-122.1276994,47.6306580,2025-09-14 23:02:08.000,REFMergedFile.dml,442,-108.000000,9.000000,B66(20),,,,,,,,,,,,,,,,,,,,
39,1,,,-122.1276994,47.6306580,2025-09-14 23:02:09.000,REFMergedFile.dml,442,-107.500000,8.000000,B66(20),,,,,,,,,,,,,,,,,,,,
40,1,,,-122.1276994,47.6306580,2025-09-14 23:02:10.000,REFMergedFile.dml,442,-108.000000,7.000000,B66(20),,,,,,,,,,,,,,,,,,,,
41,1,,,-122.1276994,47.6306580,2025-09-14 23:02:11.000,REFMergedFile.dml,442,-108.000000,9.000000,B66(20),,,,,,,,,,,,,,,,,,,,
42,1,,,-122.1276994,47.6306580,2025-09-14 23:02:12.000,REFMergedFile.dml,442,-108.000000,9.000000,B66(20),,,,,,,,,,,,,,,,,,,,
43,1,,,-122.1276994,47.6306580,2025-09-14 23:02:13.000,REFMergedFile.dml,442,-108.000000,1.000000,B66(20),,,,,,,,,,,,,,,,,,,,
