[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
145,-112.650000,2.630000,B2(15),,55,-107.890000,7.460000,,,,,,,,,,,,,0.000,
145,-112.090000,0.810000,B2(15),,55,-106.990000,6.260000,,,,,,,,,,,,,0.008,0.002
145,-112.600000,0.030000,B2(15),,55,-105.660000,6.020000,,,,,,,,,,,,,0.000,0.000
145,-112.980000,-1.100000,B2(15),,55,-102.330000,6.900000,,,,,,,,,,,,,0.000,
145,-112.770000,-0.470000,B2(15),,55,-102.690000,8.090000,,,,,,,,,,,,,0.000,0.000
145,-112.760000,-0.170000,B2(15),,55,-102.440000,4.320000,,,,,,,,,,,,,0.088,0.142
145,-112.170000,0.000000,B2(15),,55,-105.170000,5.330000,,,,,,,,,,,,,0.000,
145,-112.540000,-0.870000,B2(15),,55,-107.950000,5.770000,,,,,,,,,,,,,0.000,0.000
145,-113.520000,-1.700000,B2(15),,55,-107.040000,5.400000,,,,,,,,,,,,,0.000,0.000
,,,,,,,,,,,,,,Upload Start Request,,,,,,,
145,-114.290000,-0.870000,B2(15),NR NSA,55,-103.990000,6.930000,,,,,,,,,,,,,0.000,
145,-114.280000,-1.820000,B2(15),NR NSA,55,-104.080000,5.860000,,,,,,,,,,,,,0.002,0.009
,,,,,,,,,,,,,,Upload Started,,,,,,,
145,-114.010000,-0.480000,B2(15),NR NSA,55,-104.410000,5.490000,,,,,,,,,,,,,0.059,1.165
145,-112.620000,-0.690000,B2(15),NR NSA,55,-104.230000,4.830000,,,,,,,,,,,,,0.226,4.328
145,-112.680000,0.250000,B2(15),NR NSA,55,-104.060000,4.370000,,,,,,,,,,,,,0.072,4.191
145,-112.420000,-0.440000,B2(15),NR NSA,55,-103.110000,5.360000,,,,,,,,,,,,,0.004,1.899
145,-111.960000,0.160000,B2(15),NR NSA,55,-106.460000,2.880000,,,,,,,,,,,,,0.009,0.205
145,-112.960000,-0.700000,B2(15),NR NSA,55,-106.510000,2.630000,,,,,,,,,,,,,0.250,1.911
145,-113.430000,-1.190000,B2(15),NR NSA,55,-107.560000,2.630000,,,,,,,,,,,,,0.153,3.126
145,-112.110000,-0.580000,B2(15),NR NSA,55,-104.960000,5.620000,,,,,,,,,,,,,0.095,2.384
145,-111.920000,0.420000,B2(15),NR NSA,55,-104.690000,2.890000,,,,,,,,,,,,,0.103,2.832
145,-111.960000,1.750000,B2(15),NR NSA,55,-106.440000,3.410000,,,,,,,,,,,,,0.107,2.575
145,-111.960000,0.840000,B2(15),NR NSA,55,-110.380000,0.920000,,,,,,,,,,,,,0.123,1.923
145,-113.300000,0.140000,B2(15),NR NSA,55,-109.680000,3.310000,,,,,,,,,,,,,0.163,3.155
145,-113.200000,1.150000,B2(15),NR NSA,55,-104.400000,4.410000,,,,,,,,,,,,,0.172,3.960
145,-113.140000,0.780000,B2(15),NR NSA,55,-104.070000,3.570000,,,,,,,,,,,,,0.130,3.649
145,-113.880000,1.510000,B2(15),NR NSA,55,-103.790000,3.010000,,,,,,,,,,,,,0.121,2.702
145,-113.900000,-0.620000,B2(15),NR NSA,55,-102.790000,4.880000,,,,,,,,,,,,,0.137,2.329
145,-114.490000,-1.070000,B2(15),NR NSA,55,-101.920000,5.510000,,,,,,,,,,,,,0.179,2.398
145,-114.670000,-0.340000,B2(15),NR NSA,55,-101.830000,4.620000,,,,,,,,,,,,,0.088,2.343
145,-114.340000,1.190000,B2(15),NR NSA,55,-104.560000,2.390000,,,,,,,,,,,,,0.082,2.265
145,-114.670000,1.010000,B2(15),NR NSA,55,-110.880000,-0.310000,,,,,,,,,,,,,0.133,2.560
145,-113.960000,1.900000,B2(15),NR NSA,55,-109.890000,0.480000,,,,,,,,,,,,,0.108,2.815
145,-114.890000,0.960000,B2(15),NR NSA,55,-107.620000,1.800000,,,,,,,,,,,,,0.120,2.236
145,-114.740000,1.910000,B2(15),NR NSA,55,-107.740000,2.750000,,,,,,,,,,,,,0.250,2.430
145,-114.990000,1.280000,B2(15),NR NSA,55,-106.150000,3.540000,,,,,,,,,,,,,0.192,3.527
145,-114.880000,0.740000,B2(15),NR NSA,55,-102.080000,7.220000,,,,,,,,,,,,,0.173,3.736
145,-114.840000,0.440000,B2(15),NR NSA,55,-103.310000,5.140000,,,,,,,,,,,,,0.176,3.804
145,-114.370000,1.030000,B2(15),NR NSA,55,-103.160000,6.890000,,,,,,,,,,,,,0.132,4.250
145,-113.580000,0.050000,B2(15),NR NSA,55,-103.180000,6.730000,,,,,,,,,,,,,0.142,4.829
145,-113.730000,-1.000000,B2(15),NR NSA,55,-104.980000,6.930000,,,,,,,,,,,,,0.138,4.447
145,-113.290000,-1.060000,B2(15),NR NSA,55,-104.850000,6.160000,,,,,,,,,,,,,0.159,4.897
145,-112.600000,-1.650000,B2(15),NR NSA,55,-102.600000,7.670000,,,,,,,,,,,,,0.172,5.835
,,,,,,,,,,,,,,Upload End Request,,,,,,,
,,,,,,,,,,,,,,Upload Ended,,,,,,,
145,-113.450000,-1.980000,B2(15),NR NSA,55,-102.100000,6.050000,,,,,,,,,,,,,0.198,5.263
145,-112.780000,-0.670000,B2(15),,55,-104.780000,4.140000,,,,,,,,,,,,,0.311,4.977
