[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
145,-105.000000,-1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.000
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-105.500000,1.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.001
145,-103.500000,3.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.000
145,-105.500000,-2.000000,B2(15)+N41(x)+N41(x),,,,,,,,,,,,,,,,,0.000,0.000
,,,,,,,,,,,,,,Upload Start Request,,,,,,,
145,-105.500000,-2.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.000,0.000
,,,,,,,,,,,,,,Upload Started,,,,,,,
145,-106.500000,-1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.004,0.007
145,-107.000000,-1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.266,0.680
145,-107.500000,-0.500000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.255,5.187
145,-106.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.030,4.897
145,-105.500000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.003,3.041
145,-106.000000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.053,0.227
145,-106.000000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.331,0.361
145,-106.500000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.239,0.858
145,-106.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.196,4.180
145,-105.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.156,5.043
145,-105.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.123,4.692
145,-104.500000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.042,4.021
145,-104.000000,2.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.149,3.086
145,-105.000000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.041,2.579
145,-104.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.109,1.709
145,-105.500000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.070,1.932
145,-105.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.184,2.228
145,-104.500000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.060,2.450
145,-105.500000,-1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.123,1.990
145,-106.000000,-1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.116,2.190
145,-106.000000,-2.500000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.119,2.167
145,-105.000000,-2.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.063,2.042
145,-105.000000,0.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.082,1.660
145,-107.500000,1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.120,1.660
145,-107.000000,-1.000000,B2(15)+N41(x)+N41(x),LTE (15 MHz),,,,,,,,,,,,,,,,0.109,2.820
