[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Event] [Data call test detail events] IPERF Call Event,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP
,,,,,,,,,,,,,,,,,,,,,
145,-107.310000,0.100000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
145,-107.190000,2.700000,B2(15),,,,,,,,,,,,,,,,,,
145,-107.690000,0.800000,B2(15),,,,,,,,,,,,,,,,,,
145,-107.310000,-1.100000,B2(15),,,,,,,,,,,,,,,,,,
145,-106.620000,3.000000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
145,-108.250000,0.700000,B2(15),,,,,,,,,,,,,,,,,,
145,-107.620000,-1.000000,B2(15),,,,,,,,,,,,,,,,,,
145,-107.250000,-1.600000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
145,-108.060000,-3.800000,B2(15),,,,,,,,,,,,,,,,,,
145,-109.000000,-1.000000,B2(15),,,,,,,,,,,,,,,,,,
145,-107.190000,-2.800000,B2(15),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download Start Request,,,,,,,
145,-108.120000,-1.000000,B2(15),LTE (15 MHz),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,
,,,,,,,,,,,,,,Download Started,,,,,,,
145,-108.560000,1.540000,B2(15)+B71(5)+B66(20)+N71(20),NR NSA,865,-88.530000,0.040000,,,,,,,,,,,,,6.849,0.366
145,-108.400000,2.180000,B2(15)+B66(20)+N71(20),NR NSA,865,-88.580000,0.010000,,,,,,,,,,,,,10.528,0.165
145,-107.870000,2.800000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.360000,-0.800000,,,,,,,,,,,,,19.184,0.135
145,-107.450000,1.720000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.770000,-0.420000,,,,,,,,,,,,,16.135,0.135
145,-106.250000,3.240000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.450000,0.330000,,,,,,,,,,,,,19.329,0.139
145,-106.210000,3.310000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.930000,-1.260000,,,,,,,,,,,,,25.011,0.171
145,-107.080000,0.940000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.660000,-2.010000,,,,,,,,,,,,,22.363,0.127
145,-108.000000,0.410000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.070000,-3.270000,,,,,,,,,,,,,19.863,0.111
145,-108.980000,-0.560000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.250000,-3.750000,,,,,,,,,,,,,19.777,0.129
145,-108.600000,-0.040000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.570000,-3.840000,,,,,,,,,,,,,19.759,0.111
145,-109.180000,0.760000,B2(15)+B66(20)+N71(20),NR NSA,865,-92.010000,-3.600000,,,,,,,,,,,,,23.990,0.126
145,-111.230000,-0.840000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.030000,-2.070000,,,,,,,,,,,,,25.483,0.141
145,-111.600000,-0.650000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.370000,-1.000000,,,,,,,,,,,,,22.274,0.169
145,-111.470000,-0.820000,B2(15)+B66(20)+N71(20),NR NSA,865,-88.920000,-0.550000,,,,,,,,,,,,,30.252,0.153
145,-110.680000,-0.920000,B2(15)+B66(20)+N71(20),NR NSA,865,-88.020000,-0.760000,,,,,,,,,,,,,33.141,0.169
145,-110.140000,-0.030000,B2(15)+B66(20)+N71(20),NR NSA,865,-88.220000,-1.400000,,,,,,,,,,,,,33.138,0.218
145,-109.690000,0.050000,B2(15)+B66(20)+N71(20),NR NSA,865,-88.690000,-1.730000,,,,,,,,,,,,,48.438,0.226
145,-108.660000,-0.140000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.580000,-1.040000,,,,,,,,,,,,,51.858,0.176
145,-109.230000,-0.570000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.670000,0.250000,,,,,,,,,,,,,53.255,0.193
145,-110.920000,-1.520000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.340000,0.480000,,,,,,,,,,,,,61.567,0.182
145,-110.760000,0.530000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.250000,0.360000,,,,,,,,,,,,,60.829,0.348
145,-108.580000,2.370000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.430000,-0.990000,,,,,,,,,,,,,64.685,0.256
145,-106.610000,2.700000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.980000,-1.490000,,,,,,,,,,,,,59.789,0.238
145,-107.950000,1.340000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.450000,-2.350000,,,,,,,,,,,,,66.442,0.223
145,-109.040000,0.230000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.800000,-1.710000,,,,,,,,,,,,,56.949,0.221
145,-108.310000,0.170000,B2(15)+B66(20)+N71(20),NR NSA,865,-90.600000,-1.760000,,,,,,,,,,,,,58.747,0.236
145,-108.100000,0.980000,B2(15)+B66(20)+N71(20),NR NSA,865,-89.730000,-2.370000,,,,,,,,,,,,,63.432,0.232
145,-107.490000,2.400000,B2(15)+B66(20)+N71(20),NR NSA,865,-91.290000,-2.580000,,,,,,,,,,,,,53.292,0.298
145,-108.070000,1.630000,B2(15)+B66(20)+N71(20),NR NSA,865,-92.230000,-3.170000,,,,,,,,,,,,,88.970,0.242
145,-107.810000,2.900000,B2(15)+B66(20)+N71(20),NR NSA,865,-93.160000,-6.190000,,,,,,,,,,,,,51.168,0.208
145,-108.120000,4.480000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.070000,-5.370000,,,,,,,,,,,,,41.788,0.199
145,-106.790000,4.870000,B2(15)+B66(20)+N71(20),NR NSA,80,-94.580000,-2.640000,,,,,,,,,,,,,69.482,0.354
145,-107.140000,2.870000,B2(15)+B66(20)+N71(20),NR NSA,80,-96.260000,-3.820000,,,,,,,,,,,,,68.420,0.225
145,-107.880000,2.110000,B2(15)+B66(20)+N71(20),NR NSA,80,-98.190000,-6.890000,,,,,,,,,,,,,76.815,0.261
145,-108.500000,2.440000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.570000,-2.910000,,,,,,,,,,,,,66.355,0.225
145,-109.020000,2.630000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.470000,-2.610000,,,,,,,,,,,,,75.487,0.191
145,-109.380000,1.570000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.120000,-2.800000,,,,,,,,,,,,,59.882,0.203
145,-108.390000,1.060000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.800000,-1.790000,,,,,,,,,,,,,67.130,0.196
145,-110.560000,1.150000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.390000,-2.250000,,,,,,,,,,,,,67.252,0.209
145,-109.730000,2.390000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.910000,-2.660000,,,,,,,,,,,,,72.719,0.189
145,-108.510000,2.100000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.650000,-4.370000,,,,,,,,,,,,,65.738,0.164
145,-108.290000,0.580000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.330000,-3.690000,,,,,,,,,,,,,66.031,0.200
145,-110.220000,1.160000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.130000,-3.290000,,,,,,,,,,,,,51.367,0.221
145,-111.640000,0.860000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.070000,-2.300000,,,,,,,,,,,,,66.801,0.250
145,-109.120000,1.540000,B2(15)+B66(20)+N71(20),NR NSA,865,-94.940000,-1.860000,,,,,,,,,,,,,75.918,0.230
145,-109.240000,3.200000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.770000,-2.190000,,,,,,,,,,,,,64.147,0.187
145,-108.800000,1.680000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.240000,-2.980000,,,,,,,,,,,,,83.020,0.215
145,-108.690000,2.640000,B2(15)+B66(20)+N71(20),NR NSA,865,-96.790000,-3.390000,,,,,,,,,,,,,74.598,0.209
145,-108.750000,1.510000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.640000,-2.500000,,,,,,,,,,,,,78.738,0.220
145,-108.620000,2.030000,B2(15)+B66(20)+N71(20),NR NSA,865,-95.740000,-2.890000,,,,,,,,,,,,,83.114,0.207
