IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9878517,40.7623267,2026-01-27 23:23:57.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-75.000000,9.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9878517,40.7623267,2026-01-27 23:23:58.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9878600,40.7623233,2026-01-27 23:23:59.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-74.000000,20.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9878750,40.7623317,2026-01-27 23:24:00.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-75.000000,8.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9878783,40.7623283,2026-01-27 23:24:01.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-75.000000,15.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9878767,40.7623250,2026-01-27 23:24:02.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-76.000000,13.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9878767,40.7623250,2026-01-27 23:24:03.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9878767,40.7623250,2026-01-27 23:24:04.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-76.000000,17.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878767,40.7623250,2026-01-27 23:24:05.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-76.000000,15.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878767,40.7623250,2026-01-27 23:24:06.000,_20260127_182355_CH02_DUT_TMO-NSA_HTTP SS DL_NJ NY_L2.dml,245,-76.000000,13.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
