IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[Call Test] [iPerf] [Call Average] [Throughput] [Excluding SlowStart] UL Avg TP,[Call Test] [iPerf] [Throughput] DL TP (excl. slow start),[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-122.1277084,47.6306373,2025-09-14 21:59:50.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-122.1277083,47.6306373,2025-09-14 21:59:51.000,DUTMergedFile.dml,427,-104.120000,6.200000,B2(15),,,,,,,,,,,,,,,,,,,,
3,1,,,-122.1277083,47.6306373,2025-09-14 21:59:52.000,DUTMergedFile.dml,427,-104.190000,8.000000,B2(15),,,,,,,,,,,,,,,,,,,,
4,1,,,-122.1277083,47.6306373,2025-09-14 21:59:53.000,DUTMergedFile.dml,427,-103.880000,8.000000,B2(15),,,,,,,,,,,,,,,,,,,,
5,1,,,-122.1277083,47.6306374,2025-09-14 21:59:54.000,DUTMergedFile.dml,427,-103.120000,4.800000,B2(15),,,,,,,,,,,,,,,,,,,,
6,1,,,-122.1277083,47.6306374,2025-09-14 21:59:55.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-122.1277083,47.6306374,2025-09-14 21:59:56.000,DUTMergedFile.dml,427,-103.500000,6.700000,B2(15),,,,,,,,,,,,,,,,,,,,
8,1,,,-122.1277083,47.6306374,2025-09-14 21:59:57.000,DUTMergedFile.dml,427,-104.440000,6.700000,B2(15),,,,,,,,,,,,,,,,,,,,
9,1,,,-122.1277083,47.6306374,2025-09-14 21:59:58.000,DUTMergedFile.dml,427,-103.690000,7.800000,B2(15),,,,,,,,,,,,,,,,,,,,
10,1,,,-122.1277083,47.6306374,2025-09-14 21:59:59.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-122.1277083,47.6306374,2025-09-14 22:00:00.000,DUTMergedFile.dml,427,-105.060000,7.800000,B2(15),,,,,,,,,,,,,,,,,,,,
12,1,,,-122.1277083,47.6306374,2025-09-14 22:00:01.000,DUTMergedFile.dml,427,-104.250000,8.400000,B2(15),,,,,,,,,,,,,,,,,,,,
13,1,,,-122.1277083,47.6306374,2025-09-14 22:00:02.000,DUTMergedFile.dml,427,-103.500000,5.700000,B2(15),,,,,,,,,,,,,,,,,,,,
14,1,,,-122.1277082,47.6306374,2025-09-14 22:00:03.000,DUTMergedFile.dml,427,-103.500000,8.900000,B2(15),,,,,,,,,,,,,,,,,,,,
15,1,,,-122.1277083,47.6306373,2025-09-14 22:00:04.000,DUTMergedFile.dml,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,-122.1277083,47.6306373,2025-09-14 22:00:04.552,DUTMergedFile.dml,,,,,,,,,,,,,,,Download Start Request,,,,,,,,,
17,1,,,-122.1277083,47.6306373,2025-09-14 22:00:05.000,DUTMergedFile.dml,427,-103.810000,11.200000,B2(15),LTE (15 MHz),,,,,,,,,,,,,,,,,,,
18,1,,,-122.1277083,47.6306373,2025-09-14 22:00:05.282,DUTMergedFile.dml,,,,,,,,,,,,,,,Download File Size Retrieved,,,,,,,,,
19,1,,,-122.1277083,47.6306373,2025-09-14 22:00:05.282,DUTMergedFile.dml,,,,,,,,,,,,,,,Download Started,,,,,,,,,
20,1,,,-122.1277082,47.6306373,2025-09-14 22:00:06.000,DUTMergedFile.dml,427,-103.530000,9.460000,B2(15)+B71(20)+B66(5)+N41(100),NR NSA,264,-101.700000,7.800000,,,,,,,,,,,,,,,,
21,1,,,-122.1277082,47.6306373,2025-09-14 22:00:07.000,DUTMergedFile.dml,427,-104.190000,7.290000,B2(15)+B66(5)+N41(100),NR NSA,266,-101.030000,11.870000,,,,,,,,,,,,,,,,
22,1,,,-122.1277082,47.6306373,2025-09-14 22:00:08.000,DUTMergedFile.dml,427,-103.710000,8.860000,B2(15)+B66(5)+N41(100),NR NSA,266,-95.210000,12.730000,,,,,,,,21.276,,,,,,,,
23,1,,,-122.1277082,47.6306373,2025-09-14 22:00:09.000,DUTMergedFile.dml,427,-105.450000,7.150000,B2(15)+B66(5)+N41(100),NR NSA,266,-95.830000,11.160000,,,,,,,,57.089,,,,,,,,
