IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599900,40.8174383,2026-01-24 21:25:43.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599900,40.8174383,2026-01-24 21:25:44.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-92.000000,-2.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9599900,40.8174383,2026-01-24 21:25:45.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-92.000000,-1.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9599900,40.8174383,2026-01-24 21:25:46.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-92.000000,-2.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9599900,40.8174383,2026-01-24 21:25:47.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9599900,40.8174383,2026-01-24 21:25:48.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9599900,40.8174383,2026-01-24 21:25:49.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,1.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599900,40.8174383,2026-01-24 21:25:50.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,2.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9599900,40.8174383,2026-01-24 21:25:51.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-92.000000,-2.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9599900,40.8174383,2026-01-24 21:25:52.244,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
11,1,,,-73.9599900,40.8174383,2026-01-24 21:25:52.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-92.000000,1.000000,B2(x),LTE,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9599900,40.8174383,2026-01-24 21:25:52.729,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
13,1,,,-73.9599900,40.8174383,2026-01-24 21:25:53.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-96.330000,18.940000,B2(10)+B4(20)+B4(20),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9599900,40.8174383,2026-01-24 21:25:54.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-94.370000,-2.170000,B2(10)+N41(100),NR NSA,378,-90.830000,5.830000,,,,,,,,,,,,,,,,,
15,1,,,-73.9599900,40.8174383,2026-01-24 21:25:55.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.200000,-1.800000,B2(10)+N41(100),NR NSA,378,-90.510000,6.260000,,,,,,,,,,,68.157,,20.960,,,,
16,1,,,-73.9599900,40.8174383,2026-01-24 21:25:55.073,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
17,1,,,-73.9599900,40.8174383,2026-01-24 21:25:56.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-94.120000,-1.920000,B2(10)+N41(100),NR NSA,378,-91.540000,6.000000,,,,,,,,,,,22.144,,21.728,,,,
18,1,,,-73.9599900,40.8174383,2026-01-24 21:25:57.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-94.700000,-2.350000,B2(10)+N41(100),,378,-92.680000,5.740000,,,,,,,,,,,,,19.856,,,,
19,1,,,-73.9599900,40.8174383,2026-01-24 21:25:58.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-2.670000,B2(10)+N41(100),,378,-90.500000,6.000000,,,,,,,,,,,,,11.400,,,,
20,1,,,-73.9599900,40.8174383,2026-01-24 21:25:59.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-0.750000,B2(10)+N41(100),,378,-91.000000,6.670000,,,,,,,,,,,,,0.000,,,,
21,1,,,-73.9599900,40.8174383,2026-01-24 21:26:00.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-2.000000,B2(10)+N41(100),,378,-91.000000,5.670000,,,,,,,,,,,,,,,,,
22,1,,,-73.9599900,40.8174383,2026-01-24 21:26:00.291,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
23,1,,,-73.9599900,40.8174383,2026-01-24 21:26:00.572,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
24,1,,,-73.9599900,40.8174383,2026-01-24 21:26:01.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.330000,B2(10)+N41(100),NR NSA,378,-91.850000,6.080000,,,,,,,,,,,,,0.172,,,,
25,1,,,-73.9599900,40.8174383,2026-01-24 21:26:02.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.780000,B2(10)+N41(100),NR NSA,378,-91.810000,5.980000,,,,,,,,,,,,,20.312,,,,
26,1,,,-73.9599900,40.8174383,2026-01-24 21:26:03.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.360000,-1.320000,B2(10)+N41(100),NR NSA,378,-90.980000,5.640000,,,,,,,,,,,71.303,,22.072,,,,
27,1,,,-73.9599900,40.8174383,2026-01-24 21:26:02.994,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
28,1,,,-73.9599900,40.8174383,2026-01-24 21:26:04.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.080000,B2(10)+N41(100),NR NSA,378,-91.000000,5.400000,,,,,,,,,,,8.953,,21.136,,,,
29,1,,,-73.9599900,40.8174383,2026-01-24 21:26:05.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.860000,B2(10)+N41(100),,378,-91.000000,5.610000,,,,,,,,,,,,,,,,,
30,1,,,-73.9599900,40.8174383,2026-01-24 21:26:06.000,_20260124_162539_CH04_DUT_TMO-NSA_HTTP SS UL_NJ DUT REF_L3.dml,211,-93.000000,-0.330000,B2(10)+N41(100),,378,-91.000000,5.000000,,,,,,,,,,,,,11.936,,,,
