IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-27 21:54:56.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-72.000000,14.000000,B2(10)+N41(x),,371,-75.000000,19.000000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9875583,40.7623500,2026-01-27 21:54:57.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-71.000000,14.000000,B2(10)+N41(100),,371,-75.670000,17.670000,,,,,,,,,,,,,,,,,
3,1,,,-73.9876650,40.7624267,2026-01-27 21:54:58.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-70.500000,15.250000,B2(10)+N41(100),,371,-76.000000,19.500000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9877017,40.7624350,2026-01-27 21:54:59.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-71.000000,14.330000,B2(10)+N41(100),,371,-76.250000,21.250000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9877283,40.7624300,2026-01-27 21:55:00.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-71.000000,16.500000,B2(10)+N41(100),,371,-75.500000,19.500000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9877300,40.7624100,2026-01-27 21:55:01.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-70.330000,17.330000,B2(10)+N41(100),,371,-76.670000,17.830000,,,,,,,,,,,,,,,,,
7,1,,,-73.9877617,40.7623867,2026-01-27 21:55:02.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-71.670000,16.000000,B2(10)+N41(100),,371,-75.500000,18.000000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9877850,40.7623617,2026-01-27 21:55:03.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-73.000000,17.000000,B2(10)+N41(x),,371,-78.000000,18.000000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9877850,40.7623617,2026-01-27 21:55:04.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-74.830000,17.170000,B2(10),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878017,40.7623400,2026-01-27 21:55:05.417,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
11,1,,,-73.9878017,40.7623400,2026-01-27 21:55:05.417,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
12,1,,,-73.9878017,40.7623400,2026-01-27 21:55:05.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-74.000000,20.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9878250,40.7623150,2026-01-27 21:55:06.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-73.000000,13.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9878350,40.7623050,2026-01-27 21:55:07.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-71.000000,18.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9878350,40.7623050,2026-01-27 21:55:08.417,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
16,1,,,-73.9878350,40.7623050,2026-01-27 21:55:08.417,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
17,1,,,-73.9878350,40.7623050,2026-01-27 21:55:08.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,B2(x),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9878350,40.7623050,2026-01-27 21:55:08.856,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,40
19,1,,,-73.9878350,40.7623050,2026-01-27 21:55:09.000,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,356,-75.350000,18.060000,B2(10)+B4(20)+B4(20),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9878350,40.7623050,2026-01-27 21:55:09.059,_20260127_165441_CH02_DUT_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
