IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263433,40.7601900,2026-01-22 18:07:50.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263367,40.7602233,2026-01-22 18:07:51.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9263367,40.7602233,2026-01-22 18:07:53.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9263367,40.7602233,2026-01-22 18:07:54.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9263367,40.7602233,2026-01-22 18:07:55.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9263367,40.7602233,2026-01-22 18:07:56.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9263367,40.7602233,2026-01-22 18:07:58.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9263367,40.7602233,2026-01-22 18:07:59.614,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
9,1,,,-73.9263367,40.7602233,2026-01-22 18:07:59.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9263367,40.7602233,2026-01-22 18:08:00.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100),NR SA,429,-72.000000,19.500000,,,,,,,,,,,,,,,,,
11,1,,,-73.9263367,40.7602233,2026-01-22 18:08:00.286,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
12,1,,,-73.9263367,40.7602233,2026-01-22 18:08:01.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.480000,20.580000,,,,,,,,,,,,,19.144,,,,
13,1,,,-73.9263367,40.7602233,2026-01-22 18:08:02.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-74.400000,18.980000,,,,,,,,,,,,,24.992,,,,
14,1,,,-73.9263367,40.7602233,2026-01-22 18:08:03.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-74.240000,18.820000,,,,,,,,,,,125.829,,19.968,,,,
15,1,,,-73.9263367,40.7602233,2026-01-22 18:08:04.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-74.720000,18.800000,,,,,,,,,,,120.586,,17.048,,,,
16,1,,,-73.9263367,40.7602233,2026-01-22 18:08:05.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-74.920000,18.520000,,,,,,,,,,,56.623,,,,,,
17,1,,,-73.9263367,40.7602233,2026-01-22 18:08:06.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.200000,20.600000,,,,,,,,,,,0.000,,16.704,,,,
18,1,,,-73.9263367,40.7602233,2026-01-22 18:08:07.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-72.360000,21.140000,,,,,,,,,,,0.000,,20.920,,,,
19,1,,,-73.9263367,40.7602233,2026-01-22 18:08:08.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-72.000000,21.420000,,,,,,,,,,,39.846,,18.384,,,,
20,1,,,-73.9263367,40.7602233,2026-01-22 18:08:09.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-71.900000,21.180000,,,,,,,,,,,22.020,,20.296,,,,
21,1,,,-73.9263367,40.7602233,2026-01-22 18:08:10.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-72.360000,21.760000,,,,,,,,,,,23.069,,20.728,,,,
22,1,,,-73.9263367,40.7602233,2026-01-22 18:08:11.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.870000,19.960000,,,,,,,,,,,0.000,,22.392,,,,
23,1,,,-73.9263250,40.7602200,2026-01-22 18:08:12.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-75.000000,18.350000,,,,,,,,,,,0.000,,25.592,,,,
24,1,,,-73.9263250,40.7602200,2026-01-22 18:08:13.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.230000,21.110000,,,,,,,,,,,67.109,,19.448,,,,
25,1,,,-73.9263167,40.7602200,2026-01-22 18:08:14.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-72.830000,20.480000,,,,,,,,,,,22.020,,16.312,,,,
26,1,,,-73.9263167,40.7602200,2026-01-22 18:08:15.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.080000,21.590000,,,,,,,,,,,0.000,,22.856,,,,
27,1,,,-73.9263167,40.7602200,2026-01-22 18:08:16.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.560000,20.980000,,,,,,,,,,,19.903,,,,,,
28,1,,,-73.9263167,40.7602200,2026-01-22 18:08:17.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.380000,21.260000,,,,,,,,,,,40.935,,24.160,,,,
29,1,,,-73.9263167,40.7602200,2026-01-22 18:08:18.000,_20260122_130742_CH01_REF_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-73.180000,22.540000,,,,,,,,,,,0.000,,20.608,,,,
