IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-22 18:07:50.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263367,40.7602233,2026-01-22 18:07:51.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9263367,40.7602233,2026-01-22 18:07:52.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9263367,40.7602233,2026-01-22 18:07:53.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9263367,40.7602233,2026-01-22 18:07:54.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9263367,40.7602233,2026-01-22 18:07:55.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9263367,40.7602233,2026-01-22 18:07:56.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9263367,40.7602233,2026-01-22 18:07:57.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9263367,40.7602233,2026-01-22 18:07:58.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9263367,40.7602233,2026-01-22 18:07:59.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9263367,40.7602233,2026-01-22 18:07:59.619,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
12,1,,,-73.9263367,40.7602233,2026-01-22 18:08:00.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.520000,21.930000,,,,,,,,,,,,,,,,,
13,1,,,-73.9263367,40.7602233,2026-01-22 18:08:00.479,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
14,1,,,-73.9263367,40.7602233,2026-01-22 18:08:01.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.890000,23.000000,,,,,,,,,,,,,0.016,,,,
15,1,,,-73.9263367,40.7602233,2026-01-22 18:08:02.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.830000,23.270000,,,,,,,,,,,,,26.272,,,,
16,1,,,-73.9263367,40.7602233,2026-01-22 18:08:03.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.900000,23.290000,,,,,,,,,,,142.606,,40.680,,,,
17,1,,,-73.9263367,40.7602233,2026-01-22 18:08:04.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-69.760000,21.960000,,,,,,,,,,,29.331,,44.184,,,,
18,1,,,-73.9263367,40.7602233,2026-01-22 18:08:05.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-69.770000,20.880000,,,,,,,,,,,89.218,,45.240,,,,
19,1,,,-73.9263367,40.7602233,2026-01-22 18:08:06.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-69.170000,21.640000,,,,,,,,,,,26.188,,45.656,,,,
20,1,,,-73.9263367,40.7602233,2026-01-22 18:08:07.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.630000,22.120000,,,,,,,,,,,35.687,,44.776,,,,
21,1,,,-73.9263367,40.7602233,2026-01-22 18:08:08.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-68.260000,23.320000,,,,,,,,,,,51.380,,51.432,,,,
22,1,,,-73.9263367,40.7602233,2026-01-22 18:08:09.000,_20260122_130742_CH02_DUT_TMO_HTTP MS UL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-69.300000,22.660000,,,,,,,,,,,36.700,,50.720,,,,
