IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9264167,40.7602167,2026-01-22 19:23:19.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9264167,40.7602167,2026-01-22 19:23:20.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9264167,40.7602167,2026-01-22 19:23:21.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9264167,40.7602167,2026-01-22 19:23:22.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9264167,40.7602167,2026-01-22 19:23:23.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9264167,40.7602167,2026-01-22 19:23:24.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9264167,40.7602167,2026-01-22 19:23:25.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9264167,40.7602167,2026-01-22 19:23:26.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9264167,40.7602167,2026-01-22 19:23:27.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9264167,40.7602167,2026-01-22 19:23:28.000,_20260122_142312_CH01_REF_TMO_HTTP SS UL_NJ DUT REF_L1.dml,,,,N41(100),,429,-73.000000,21.000000,,,,,,,,,,,,,,,,,
