IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-22 20:06:25.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263817,40.7602467,2026-01-22 20:06:26.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9263817,40.7602467,2026-01-22 20:06:27.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9263817,40.7602467,2026-01-22 20:06:28.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9263817,40.7602467,2026-01-22 20:06:29.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,N41(x),,429,-72.000000,17.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9263817,40.7602467,2026-01-22 20:06:30.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9263817,40.7602467,2026-01-22 20:06:31.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9263817,40.7602467,2026-01-22 20:06:32.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9263817,40.7602467,2026-01-22 20:06:33.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9263817,40.7602467,2026-01-22 20:06:34.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9263817,40.7602467,2026-01-22 20:06:34.635,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
12,1,,,-73.9263817,40.7602467,2026-01-22 20:06:34.635,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
13,1,,,-73.9263817,40.7602467,2026-01-22 20:06:34.635,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call Start,,,,,
14,1,,,-73.9263817,40.7602467,2026-01-22 20:06:35.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9263817,40.7602467,2026-01-22 20:06:36.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9263817,40.7602467,2026-01-22 20:06:37.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9263817,40.7602467,2026-01-22 20:06:38.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9263817,40.7602467,2026-01-22 20:06:39.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9263817,40.7602467,2026-01-22 20:06:40.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9263817,40.7602467,2026-01-22 20:06:41.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9263817,40.7602467,2026-01-22 20:06:42.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,N41(x),,429,-71.000000,20.000000,,,,,,,,,,,,,,,,,
22,1,,,-73.9263817,40.7602467,2026-01-22 20:06:43.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9263817,40.7602467,2026-01-22 20:06:44.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,,-73.9263817,40.7602467,2026-01-22 20:06:45.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,-73.9263817,40.7602467,2026-01-22 20:06:46.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,,,-73.9263817,40.7602467,2026-01-22 20:06:47.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,,,-73.9263817,40.7602467,2026-01-22 20:06:48.000,_20260122_150621_CH02_DUT_TMO_UDP DL 200MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
