IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263149,40.7602855,2026-01-22 21:21:26.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-84.030000,14.350000,,,,,,,,,,,,,,,,,
2,1,,,-73.9263149,40.7602855,2026-01-22 21:21:27.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-84.070000,14.560000,,,,,,,,,,,,,0.000,,,,
3,1,,,-73.9263149,40.7602855,2026-01-22 21:21:28.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-84.540000,14.040000,,,,,,,,,,,,,0.008,,,,
4,1,,,-73.9263149,40.7602855,2026-01-22 21:21:29.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(x)+N25(x),,429,-85.600000,12.000000,,,,,,,,,,,,,,,,,
5,1,,,-73.9263149,40.7602855,2026-01-22 21:21:30.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(x),,429,-84.570000,12.290000,,,,,,,,,,,,,,,,,
6,1,,,-73.9263149,40.7602855,2026-01-22 21:21:31.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9263149,40.7602855,2026-01-22 21:21:32.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9263149,40.7602855,2026-01-22 21:21:34.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9263149,40.7602855,2026-01-22 21:21:35.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9263149,40.7602855,2026-01-22 21:21:36.000,_20260122_162123_CH01_REF_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
