IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9881317,40.7626667,2026-01-23 17:34:54.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9881317,40.7626667,2026-01-23 17:34:55.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9881317,40.7626667,2026-01-23 17:34:56.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9881317,40.7626667,2026-01-23 17:34:57.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9881317,40.7626667,2026-01-23 17:34:58.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9881317,40.7626667,2026-01-23 17:34:59.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9881317,40.7626667,2026-01-23 17:35:00.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9881317,40.7626667,2026-01-23 17:35:01.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9881317,40.7626667,2026-01-23 17:35:02.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(x),,371,-71.040000,23.130000,,,,,,,,,,,,,,,,,
10,1,,,-73.9881317,40.7626667,2026-01-23 17:35:03.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.720000,23.100000,,,,,,,,,,,,,0.080,,,,
11,1,,,-73.9881317,40.7626667,2026-01-23 17:35:03.441,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
12,1,,,-73.9881317,40.7626667,2026-01-23 17:35:03.441,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
13,1,,,-73.9881317,40.7626667,2026-01-23 17:35:03.441,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
14,1,,,-73.9881317,40.7626667,2026-01-23 17:35:04.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.120000,23.160000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9881317,40.7626667,2026-01-23 17:35:05.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.100000,21.840000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9881367,40.7626767,2026-01-23 17:35:06.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.840000,22.520000,,,,,,,,,,,,,0.000,,,,
17,1,,,-73.9881350,40.7626733,2026-01-23 17:35:07.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.200000,23.680000,,,,,,,,,,,,,0.000,,,,
18,1,,,-73.9881300,40.7626717,2026-01-23 17:35:08.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.120000,23.100000,,,,,,,,,,,,,0.000,,,,
19,1,,,-73.9881283,40.7626700,2026-01-23 17:35:08.441,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
20,1,,,-73.9881283,40.7626700,2026-01-23 17:35:08.441,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
21,1,,,-73.9881283,40.7626700,2026-01-23 17:35:08.972,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Start,,,,,
22,1,,,-73.9881283,40.7626700,2026-01-23 17:35:09.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.460000,22.110000,,,,,,,,,,,,,0.000,,,,
23,1,,,-73.9881250,40.7626700,2026-01-23 17:35:10.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.680000,21.720000,,,,,,,,,,,,,10.320,,,,
24,1,,,-73.9881233,40.7626683,2026-01-23 17:35:11.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.440000,22.460000,,,,,,,,,,,,,22.992,,,,
25,1,,,-73.9881233,40.7626683,2026-01-23 17:35:12.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.040000,22.900000,,,,,,,,,,,,,23.616,,,,
26,1,,,-73.9881233,40.7626683,2026-01-23 17:35:13.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-70.960000,22.860000,,,,,,,,,,,,,23.048,,,,
27,1,,,-73.9881233,40.7626683,2026-01-23 17:35:14.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.160000,22.340000,,,,,,,,,,,,,22.992,,,,
28,1,,,-73.9881233,40.7626683,2026-01-23 17:35:15.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.400000,22.180000,,,,,,,,,,,,,23.120,,,,
29,1,,,-73.9881233,40.7626683,2026-01-23 17:35:16.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.970000,21.430000,,,,,,,,,,,,,22.912,,,,
30,1,,,-73.9881233,40.7626683,2026-01-23 17:35:17.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.960000,22.000000,,,,,,,,,,,,,23.344,,,,
31,1,,,-73.9881233,40.7626683,2026-01-23 17:35:18.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-72.340000,21.780000,,,,,,,,,,,,,22.856,,,,
32,1,,,-73.9881133,40.7626633,2026-01-23 17:35:18.989,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_End,,,,,
33,1,,,-73.9881133,40.7626633,2026-01-23 17:35:19.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.920000,22.340000,,,,,,,,,,,,,23.600,,,,
34,1,,,-73.9881083,40.7626600,2026-01-23 17:35:20.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.440000,21.200000,,,,,,,,,,,,,14.016,,,,
35,1,,,-73.9881000,40.7626583,2026-01-23 17:35:21.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.380000,21.740000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9880933,40.7626567,2026-01-23 17:35:22.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.480000,20.540000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9880817,40.7626533,2026-01-23 17:35:23.000,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-73.000000,19.500000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9880783,40.7626483,2026-01-23 17:35:24.004,_20260123_123451_CH01_REF_TMO_UDP UL 20MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,,,
