IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9881967,40.7622233,2026-01-23 17:43:29.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9882600,40.7622650,2026-01-23 17:43:30.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9882617,40.7622650,2026-01-23 17:43:31.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9882617,40.7622650,2026-01-23 17:43:32.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9882633,40.7622700,2026-01-23 17:43:33.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9882633,40.7622700,2026-01-23 17:43:34.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(x),,371,-71.590000,21.260000,,,,,,,,,,,,,,,,,
7,1,,,-73.9882650,40.7622750,2026-01-23 17:43:35.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.320000,21.580000,,,,,,,,,,,,,0.056,,,,
8,1,,,-73.9882650,40.7622767,2026-01-23 17:43:36.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.380000,21.040000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9882600,40.7622767,2026-01-23 17:43:37.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.840000,20.540000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9882600,40.7622767,2026-01-23 17:43:38.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.820000,21.180000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9882533,40.7622783,2026-01-23 17:43:38.144,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
12,1,,,-73.9882533,40.7622783,2026-01-23 17:43:38.144,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
13,1,,,-73.9882533,40.7622783,2026-01-23 17:43:38.144,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call Start,,,,,
14,1,,,-73.9882533,40.7622783,2026-01-23 17:43:39.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.950000,20.750000,,,,,,,,,,,,,0.008,,,,
15,1,,,-73.9882517,40.7622783,2026-01-23 17:43:40.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.340000,19.390000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9882533,40.7622800,2026-01-23 17:43:41.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.890000,19.970000,,,,,,,,,,,,,0.000,,,,
17,1,,,-73.9882583,40.7622817,2026-01-23 17:43:42.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.160000,19.080000,,,,,,,,,,,,,0.000,,,,
18,1,,,-73.9882583,40.7622817,2026-01-23 17:43:43.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-70.880000,20.600000,,,,,,,,,,,,,0.000,,,,
19,1,,,-73.9882617,40.7622833,2026-01-23 17:43:43.160,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
20,1,,,-73.9882617,40.7622833,2026-01-23 17:43:43.160,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
21,1,,,-73.9882617,40.7622833,2026-01-23 17:43:43.644,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Start,,,,,
22,1,,,-73.9882617,40.7622833,2026-01-23 17:43:44.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-71.760000,19.440000,,,,,,,,,,,,,0.008,,,,
23,1,,,-73.9882650,40.7622850,2026-01-23 17:43:45.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-72.520000,17.620000,0.062000,4.926764,,,,,,193.636,,,,,0.136,,,,
24,1,,,-73.9882717,40.7622850,2026-01-23 17:43:46.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-73.020000,18.460000,0.056000,5.466056,,,,,,187.030,,,,,0.136,,,,
25,1,,,-73.9882733,40.7622867,2026-01-23 17:43:47.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-72.380000,18.530000,0.051000,4.509045,,,,,,194.819,,,,,0.160,,,,
26,1,,,-73.9882733,40.7622867,2026-01-23 17:43:48.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-73.110000,17.680000,0.070000,4.158964,,,,,,194.971,,,,,0.144,,,,
27,1,,,-73.9882783,40.7622867,2026-01-23 17:43:49.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-78.410000,11.340000,0.048000,4.894305,,,,,,176.865,,,,,,,,,
28,1,,,-73.9882817,40.7622883,2026-01-23 17:43:50.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-78.480000,9.840000,0.086000,5.544024,,,,,,188.039,,,,,0.104,,,,
29,1,,,-73.9882817,40.7622883,2026-01-23 17:43:51.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-77.220000,12.880000,0.055000,5.350221,,,,,,191.695,,,,,0.072,,,,
30,1,,,-73.9882817,40.7622900,2026-01-23 17:43:52.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-74.340000,14.220000,0.047000,6.227407,,,,,,172.819,,,,,0.080,,,,
31,1,,,-73.9882767,40.7622917,2026-01-23 17:43:53.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-76.180000,13.820000,0.078000,6.132705,,,,,,179.946,,,,,0.104,,,,
32,1,,,-73.9882767,40.7622917,2026-01-23 17:43:53.660,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_End,,,,,
33,1,,,-73.9882767,40.7622917,2026-01-23 17:43:54.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),NR SA,371,-73.800000,12.120000,0.290000,6.227674,,,,,,191.098,,,,,0.152,,,,
34,1,,,-73.9882717,40.7622900,2026-01-23 17:43:55.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(50)+N25(15),,371,-74.700000,11.890000,,,,,,,,,,,,,,,,,
35,1,,,-73.9882667,40.7622900,2026-01-23 17:43:56.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-75.860000,13.630000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9882583,40.7622867,2026-01-23 17:43:57.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-72.540000,18.040000,,,,,,,,,,,,,,,,,
37,1,,,-73.9882517,40.7622850,2026-01-23 17:43:58.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-74.040000,17.380000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9882367,40.7622767,2026-01-23 17:43:59.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-73.460000,17.420000,,,,,,,,,,,,,0.000,,,,
39,1,,,-73.9882367,40.7622767,2026-01-23 17:44:00.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-72.060000,18.740000,,,,,,,,,,,,,0.000,,,,
40,1,,,-73.9882300,40.7622717,2026-01-23 17:44:01.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-72.980000,19.420000,,,,,,,,,,,,,0.000,,,,
41,1,,,-73.9882267,40.7622667,2026-01-23 17:44:02.000,_20260123_124324_CH01_REF_TMO_UDP DL 200MB_NJ DUT REF_L2.dml,,,,N41(100)+N25(15),,371,-73.660000,17.680000,,,,,,,,,,,,,0.000,,,,
