IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-23 18:07:44.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9878750,40.7620400,2026-01-23 18:07:45.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.670000,15.250000,,,,,,,,,,,,,0.088,,,,
3,1,,,-73.9878667,40.7620367,2026-01-23 18:07:46.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.330000,14.670000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9878617,40.7620350,2026-01-23 18:07:47.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.500000,13.670000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9878583,40.7620333,2026-01-23 18:07:48.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.570000,13.290000,,,,,,,,,,,,,,,,,
6,1,,,-73.9878567,40.7620317,2026-01-23 18:07:49.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.110000,14.000000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9878533,40.7620300,2026-01-23 18:07:50.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.830000,14.300000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9878517,40.7620300,2026-01-23 18:07:51.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.930000,15.500000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9878500,40.7620283,2026-01-23 18:07:52.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.290000,12.430000,,,,,,,,,,,,,,,,,
10,1,,,-73.9878483,40.7620283,2026-01-23 18:07:53.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.370000,13.870000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9878450,40.7620283,2026-01-23 18:07:54.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(x)+N41(x),,371,-76.420000,14.330000,,,,,,,,,,,,,0.000,,,,
12,1,,,-73.9878433,40.7620283,2026-01-23 18:07:55.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(x),,371,-74.000000,13.000000,,,,,,,,,,,,,,,,,
13,1,,,-73.9878433,40.7620283,2026-01-23 18:07:56.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9878433,40.7620283,2026-01-23 18:07:57.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9878433,40.7620283,2026-01-23 18:07:58.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9878433,40.7620283,2026-01-23 18:07:59.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9878433,40.7620283,2026-01-23 18:08:00.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.160000,14.370000,,,,,,,,,,,,,,,,,
18,1,,,-73.9878433,40.7620283,2026-01-23 18:08:01.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-72.860000,15.620000,,,,,,,,,,,,,0.016,,,,
19,1,,,-73.9878433,40.7620283,2026-01-23 18:08:02.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.000000,16.330000,,,,,,,,,,,,,,,,,
20,1,,,-73.9878433,40.7620283,2026-01-23 18:08:03.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.330000,16.080000,,,,,,,,,,,,,0.240,,,,
21,1,,,-73.9878433,40.7620283,2026-01-23 18:08:04.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(40),,,,,,,,,,,,,,,,,0.000,,,,
22,1,,,-73.9878433,40.7620283,2026-01-23 18:08:05.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.000000,15.000000,,,,,,,,,,,,,0.000,,,,
23,1,,,-73.9878433,40.7620283,2026-01-23 18:08:06.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.000000,16.330000,,,,,,,,,,,,,0.000,,,,
24,1,,,-73.9878317,40.7620317,2026-01-23 18:08:07.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.680000,16.250000,,,,,,,,,,,,,0.000,,,,
25,1,,,-73.9878267,40.7620283,2026-01-23 18:08:08.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.030000,16.720000,,,,,,,,,,,,,,,,,
26,1,,,-73.9878183,40.7620250,2026-01-23 18:08:09.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.380000,16.060000,,,,,,,,,,,,,0.008,,,,
27,1,,,-73.9878133,40.7620233,2026-01-23 18:08:10.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.000000,15.000000,,,,,,,,,,,,,0.000,,,,
28,1,,,-73.9878067,40.7620200,2026-01-23 18:08:11.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.000000,15.830000,,,,,,,,,,,,,0.000,,,,
29,1,,,-73.9878017,40.7620183,2026-01-23 18:08:12.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.750000,15.000000,,,,,,,,,,,,,0.000,,,,
30,1,,,-73.9877967,40.7620150,2026-01-23 18:08:13.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(x)+N41(x),,371,-74.400000,14.200000,,,,,,,,,,,,,,,,,
31,1,,,-73.9877917,40.7620133,2026-01-23 18:08:14.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(x),,371,-74.000000,15.000000,,,,,,,,,,,,,,,,,
32,1,,,-73.9877883,40.7620117,2026-01-23 18:08:15.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,,-73.9877833,40.7620100,2026-01-23 18:08:16.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,,,-73.9877800,40.7620067,2026-01-23 18:08:17.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,,-73.9877750,40.7620050,2026-01-23 18:08:18.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,,,-73.9877717,40.7620033,2026-01-23 18:08:19.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.940000,14.380000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9877667,40.7620017,2026-01-23 18:08:20.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.810000,14.240000,,,,,,,,,,,,,,,,,
38,1,,,-73.9877633,40.7620000,2026-01-23 18:08:21.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-72.000000,16.330000,,,,,,,,,,,,,0.016,,,,
39,1,,,-73.9877633,40.7620000,2026-01-23 18:08:22.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.090000,15.730000,,,,,,,,,,,,,0.000,,,,
40,1,,,-73.9877600,40.7619983,2026-01-23 18:08:23.000,_20260123_130742_CH02_DUT_TMO_HTTP SS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.920000,15.080000,,,,,,,,,,,,,0.720,,,,
