IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-23 18:56:41.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9875767,40.7623333,2026-01-23 18:56:42.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9875767,40.7623333,2026-01-23 18:56:43.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9875767,40.7623333,2026-01-23 18:56:44.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9875767,40.7623333,2026-01-23 18:56:45.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9875767,40.7623333,2026-01-23 18:56:46.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(x),,371,-75.000000,11.000000,,,,,,,,,,,,,,,,,
7,1,,,-73.9875767,40.7623333,2026-01-23 18:56:47.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(x),,371,-74.000000,10.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9875767,40.7623333,2026-01-23 18:56:48.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.380000,12.050000,,,,,,,,,,,,,0.008,,,,
9,1,,,-73.9875767,40.7623333,2026-01-23 18:56:49.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.430000,13.130000,,,,,,,,,,,,,0.016,,,,
10,1,,,-73.9875767,40.7623333,2026-01-23 18:56:50.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.440000,11.330000,,,,,,,,,,,,,,,,,
11,1,,,-73.9875767,40.7623333,2026-01-23 18:56:51.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.560000,11.560000,,,,,,,,,,,,,0.000,,,,
12,1,,,-73.9875767,40.7623333,2026-01-23 18:56:52.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.130000,9.500000,,,,,,,,,,,,,0.000,,,,
13,1,,,-73.9875767,40.7623333,2026-01-23 18:56:53.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.680000,10.000000,,,,,,,,,,,,,0.000,,,,
14,1,,,-73.9875767,40.7623333,2026-01-23 18:56:54.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.390000,12.330000,,,,,,,,,,,,,,,,,
15,1,,,-73.9875767,40.7623333,2026-01-23 18:56:55.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.560000,12.440000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9875767,40.7623333,2026-01-23 18:56:56.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.510000,10.890000,,,,,,,,,,,,,0.000,,,,
17,1,,,-73.9875767,40.7623333,2026-01-23 18:56:57.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.140000,10.500000,,,,,,,,,,,,,0.008,,,,
18,1,,,-73.9875767,40.7623333,2026-01-23 18:56:58.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.450000,10.360000,,,,,,,,,,,,,0.000,,,,
19,1,,,-73.9875767,40.7623333,2026-01-23 18:56:59.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.000000,11.290000,,,,,,,,,,,,,0.000,,,,
20,1,,,-73.9875767,40.7623333,2026-01-23 18:57:00.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-73.500000,12.330000,,,,,,,,,,,,,0.000,,,,
21,1,,,-73.9875767,40.7623333,2026-01-23 18:57:01.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(x)+N41(x),,371,-74.500000,12.500000,,,,,,,,,,,,,0.000,,,,
22,1,,,-73.9875467,40.7623233,2026-01-23 18:57:02.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,N41(x),,371,-75.000000,12.000000,,,,,,,,,,,,,,,,,
23,1,,,-73.9875417,40.7623200,2026-01-23 18:57:03.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,,-73.9875400,40.7623167,2026-01-23 18:57:04.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,-73.9875350,40.7623100,2026-01-23 18:57:05.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,,,-73.9875350,40.7623100,2026-01-23 18:57:06.000,_20260123_135627_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
