IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9875283,40.7623250,2026-01-23 19:24:51.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9880033,40.7622483,2026-01-23 19:24:52.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9880033,40.7622483,2026-01-23 19:24:53.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9880033,40.7622483,2026-01-23 19:24:54.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9880033,40.7622483,2026-01-23 19:24:55.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9875293,40.7622040,2026-01-23 19:24:56.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9875293,40.7622040,2026-01-23 19:24:57.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9879000,40.7620817,2026-01-23 19:24:58.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878067,40.7621300,2026-01-23 19:24:59.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100),,371,-75.000000,17.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9877433,40.7621533,2026-01-23 19:25:00.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9876783,40.7621783,2026-01-23 19:25:01.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9876617,40.7621633,2026-01-23 19:25:02.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9876717,40.7621733,2026-01-23 19:25:03.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(x),NR SA,371,-79.000000,16.880000,,,,,,,,,,,,,,,,,
14,1,,,-73.9876717,40.7621733,2026-01-23 19:25:04.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-74.880000,22.320000,,,,,,,,,,,,,0.024,,,,
15,1,,,-73.9876717,40.7621733,2026-01-23 19:25:05.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.980000,19.820000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9876717,40.7621733,2026-01-23 19:25:06.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.460000,21.360000,,,,,,,,,,,,,,,,,
17,1,,,-73.9876817,40.7622000,2026-01-23 19:25:07.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.660000,19.480000,,,,,,,,,,,,,0.000,,,,
18,1,,,-73.9876633,40.7622000,2026-01-23 19:25:08.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-76.940000,17.720000,,,,,,,,,,,,,0.328,,,,
19,1,,,-73.9876633,40.7621783,2026-01-23 19:25:09.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-83.820000,18.380000,,,,,,,,,,,,,0.696,,,,
20,1,,,-73.9876600,40.7621450,2026-01-23 19:25:10.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-83.560000,16.910000,,,,,,,,,,,,,1.656,,,,
21,1,,,-73.9875200,40.7621550,2026-01-23 19:25:11.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.430000,18.880000,,,,,,,,,,,,,3.120,,,,
22,1,,,-73.9875200,40.7621550,2026-01-23 19:25:12.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.680000,18.520000,,,,,,,,,,,,,2.800,,,,
23,1,,,-73.9874467,40.7621667,2026-01-23 19:25:13.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.540000,18.520000,,,,,,,,,,,,,0.000,,,,
24,1,,,-73.9873750,40.7621750,2026-01-23 19:25:14.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.460000,18.300000,,,,,,,,,,,,,0.000,,,,
25,1,,,-73.9872967,40.7621767,2026-01-23 19:25:15.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.960000,16.780000,,,,,,,,,,,,,0.000,,,,
26,1,,,-73.9872050,40.7621783,2026-01-23 19:25:16.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.880000,16.620000,,,,,,,,,,,,,0.016,,,,
27,1,,,-73.9871083,40.7621817,2026-01-23 19:25:17.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-80.510000,19.060000,,,,,,,,,,,,,0.112,,,,
28,1,,,-73.9870050,40.7621933,2026-01-23 19:25:18.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-76.080000,18.740000,,,,,,,,,,,,,0.000,,,,
29,1,,,-73.9869033,40.7622100,2026-01-23 19:25:19.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-75.180000,20.300000,,,,,,,,,,,,,0.008,,,,
30,1,,,-73.9866717,40.7622483,2026-01-23 19:25:20.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.340000,18.420000,,,,,,,,,,,,,0.104,,,,
31,1,,,-73.9865533,40.7622733,2026-01-23 19:25:21.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-80.260000,17.220000,,,,,,,,,,,,,0.880,,,,
32,1,,,-73.9864233,40.7623000,2026-01-23 19:25:22.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-80.260000,18.420000,,,,,,,,,,,,,0.960,,,,
33,1,,,-73.9864233,40.7623000,2026-01-23 19:25:23.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-81.300000,17.540000,,,,,,,,,,,,,0.176,,,,
34,1,,,-73.9864233,40.7623000,2026-01-23 19:25:24.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.350000,19.650000,,,,,,,,,,,,,0.392,,,,
35,1,,,-73.9861283,40.7623383,2026-01-23 19:25:25.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.400000,19.200000,,,,,,,,,,,,,0.456,,,,
36,1,,,-73.9860583,40.7623150,2026-01-23 19:25:26.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.580000,18.920000,,,,,,,,,,,,,0.752,,,,
37,1,,,-73.9859483,40.7622800,2026-01-23 19:25:27.000,_20260123_142447_CH01_REF_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),NR SA,371,-80.860000,16.640000,,,,,,,,,,,,,0.616,,,,
