IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9880033,40.7622483,2026-01-23 19:24:51.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9880033,40.7622483,2026-01-23 19:24:52.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9880033,40.7622483,2026-01-23 19:24:53.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(x),,371,-77.000000,17.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9880033,40.7622483,2026-01-23 19:24:54.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(x),,371,-78.000000,16.000000,,,,,,,,,,,,,,,,,
5,1,,,-73.9880033,40.7622483,2026-01-23 19:24:55.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9880033,40.7622483,2026-01-23 19:24:56.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9875293,40.7622040,2026-01-23 19:24:57.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-75.620000,14.350000,,,,,,,,,,,,,,,,,
8,1,,,-73.9879000,40.7620817,2026-01-23 19:24:58.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-74.070000,16.040000,,,,,,,,,,,,,0.024,,,,
9,1,,,-73.9878067,40.7621300,2026-01-23 19:24:59.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-72.460000,18.080000,,,,,,,,,,,,,0.136,,,,
10,1,,,-73.9877433,40.7621533,2026-01-23 19:25:00.000,_20260123_142447_CH02_DUT_TMO_Play Store 100 MB_NJ DUT REF_L2.dml,,,,N41(100)+N41(40),,371,-76.330000,16.580000,,,,,,,,,,,,,,,,,
