IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9875472,40.7621895,2026-01-23 19:44:50.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9875472,40.7621895,2026-01-23 19:44:51.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-80.000000,12.710000,,,,,,,,,,,,,,,,,
3,1,,,-73.9875472,40.7621895,2026-01-23 19:44:52.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-77.500000,16.500000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9875472,40.7621895,2026-01-23 19:44:53.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-73.580000,18.330000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9875472,40.7621895,2026-01-23 19:44:54.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.290000,18.180000,,,,,,,,,,,,,0.008,,,,
6,1,,,-73.9875472,40.7621895,2026-01-23 19:44:55.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-71.230000,17.130000,,,,,,,,,,,,,0.096,,,,
7,1,,,-73.9875472,40.7621895,2026-01-23 19:44:56.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-72.650000,16.220000,,,,,,,,,,,,,0.192,,,,
8,1,,,-73.9875472,40.7621895,2026-01-23 19:44:57.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-75.400000,14.560000,,,,,,,,,,,,,,,,,
9,1,,,-73.9875472,40.7621895,2026-01-23 19:44:58.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-74.670000,16.330000,,,,,,,,,,,,,0.232,,,,
10,1,,,-73.9875472,40.7621895,2026-01-23 19:44:59.000,_20260123_144448_CH02_DUT_TMO_Play Store 30 MB_NJ DUT REF_L2.dml,,,,N41(100)+N71(15),,371,-73.900000,16.600000,,,,,,,,,,,,,0.000,,,,
