IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-24 21:55:31.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599883,40.8174283,2026-01-24 21:55:32.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9599883,40.8174283,2026-01-24 21:55:33.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9599883,40.8174283,2026-01-24 21:55:34.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(x),,378,-93.000000,1.000000,,,,,,,,,,,,,,,,,
5,1,,,-73.9599883,40.8174283,2026-01-24 21:55:35.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9599883,40.8174283,2026-01-24 21:55:36.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9599883,40.8174283,2026-01-24 21:55:37.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599883,40.8174283,2026-01-24 21:55:38.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(x),,378,-93.000000,1.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9599883,40.8174283,2026-01-24 21:55:39.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9599883,40.8174283,2026-01-24 21:55:40.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9599883,40.8174283,2026-01-24 21:55:40.465,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
12,1,,,-73.9599883,40.8174283,2026-01-24 21:55:41.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(x),NR SA,378,-93.000000,0.000000,,,,,,,,,,,,,,,,,
13,1,,,-73.9599883,40.8174283,2026-01-24 21:55:41.278,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
14,1,,,-73.9599883,40.8174283,2026-01-24 21:55:42.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(50),NR SA,378,-93.390000,0.420000,,,,,,,,,,,,,,,,,
15,1,,,-73.9599883,40.8174283,2026-01-24 21:55:43.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-92.350000,1.880000,,,,,,,,,,,,,23.216,,,,
16,1,,,-73.9599883,40.8174283,2026-01-24 21:55:43.809,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
17,1,,,-73.9599883,40.8174283,2026-01-24 21:55:44.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.340000,1.110000,,,,,,,,,,,66.975,,39.416,,,,
18,1,,,-73.9599883,40.8174283,2026-01-24 21:55:45.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-94.070000,0.200000,,,,,,,,,,,45.179,,37.104,,,,
19,1,,,-73.9599883,40.8174283,2026-01-24 21:55:46.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-92.060000,1.840000,,,,,,,,,,,15.512,,38.200,,,,
20,1,,,-73.9599883,40.8174283,2026-01-24 21:55:47.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.000000,0.600000,,,,,,,,,,,,,9.376,,,,
21,1,,,-73.9599883,40.8174283,2026-01-24 21:55:48.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.500000,0.500000,,,,,,,,,,,,,0.000,,,,
22,1,,,-73.9599883,40.8174283,2026-01-24 21:55:49.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.330000,1.000000,,,,,,,,,,,,,,,,,
23,1,,,-73.9599883,40.8174283,2026-01-24 21:55:49.497,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
24,1,,,-73.9599883,40.8174283,2026-01-24 21:55:49.809,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
25,1,,,-73.9599883,40.8174283,2026-01-24 21:55:50.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-92.360000,0.640000,,,,,,,,,,,,,0.008,,,,
26,1,,,-73.9599883,40.8174283,2026-01-24 21:55:51.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.210000,0.570000,,,,,,,,,,,,,4.152,,,,
27,1,,,-73.9599883,40.8174283,2026-01-24 21:55:52.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.160000,0.650000,,,,,,,,,,,65.994,,33.992,,,,
28,1,,,-73.9599883,40.8174283,2026-01-24 21:55:52.919,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
29,1,,,-73.9599883,40.8174283,2026-01-24 21:55:53.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-92.570000,0.420000,,,,,,,,,,,22.042,,28.656,,,,
30,1,,,-73.9599883,40.8174283,2026-01-24 21:55:54.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.450000,0.320000,,,,,,,,,,,86.774,,28.272,,,,
31,1,,,-73.9599883,40.8174283,2026-01-24 21:55:55.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.390000,0.430000,,,,,,,,,,,,,33.808,,,,
32,1,,,-73.9599883,40.8174283,2026-01-24 21:55:56.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.000000,1.000000,,,,,,,,,,,,,20.280,,,,
33,1,,,-73.9599883,40.8174283,2026-01-24 21:55:57.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.380000,0.690000,,,,,,,,,,,,,,,,,
34,1,,,-73.9599883,40.8174283,2026-01-24 21:55:58.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-94.170000,0.170000,,,,,,,,,,,,,0.072,,,,
35,1,,,-73.9599883,40.8174283,2026-01-24 21:55:58.544,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
36,1,,,-73.9599883,40.8174283,2026-01-24 21:55:58.840,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
37,1,,,-73.9599883,40.8174283,2026-01-24 21:55:59.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-96.330000,-1.330000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9599883,40.8174283,2026-01-24 21:56:00.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-92.890000,2.380000,,,,,,,,,,,,,21.712,,,,
39,1,,,-73.9599883,40.8174283,2026-01-24 21:56:01.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.120000,0.810000,,,,,,,,,,,65.012,,27.872,,,,
40,1,,,-73.9599883,40.8174283,2026-01-24 21:56:02.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-93.440000,0.770000,,,,,,,,,,,23.069,,32.152,,,,
41,1,,,-73.9599883,40.8174283,2026-01-24 21:56:01.950,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
42,1,,,-73.9599883,40.8174283,2026-01-24 21:56:03.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),NR SA,378,-94.350000,-0.080000,,,,,,,,,,,96.112,,31.400,,,,
43,1,,,-73.9599883,40.8174283,2026-01-24 21:56:04.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.750000,0.240000,,,,,,,,,,,,,34.424,,,,
44,1,,,-73.9599883,40.8174283,2026-01-24 21:56:05.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-93.890000,-0.560000,,,,,,,,,,,,,,,,,
45,1,,,-73.9599883,40.8174283,2026-01-24 21:56:06.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-94.330000,-0.330000,,,,,,,,,,,,,0.000,,,,
46,1,,,-73.9599883,40.8174283,2026-01-24 21:56:07.000,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,N41(100)+N41(40),,378,-92.820000,1.590000,,,,,,,,,,,,,0.000,,,,
47,1,,,-73.9599883,40.8174283,2026-01-24 21:56:07.575,_20260124_165528_CH02_DUT_TMO-AUTO_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
