IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-24 22:20:26.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599150,40.8175383,2026-01-24 22:20:27.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,2.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599150,40.8175383,2026-01-24 22:20:28.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9599150,40.8175383,2026-01-24 22:20:29.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,2.000000,,,,,,,,,,,,,,,,,
5,1,,,-73.9599150,40.8175383,2026-01-24 22:20:30.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,2.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9599150,40.8175383,2026-01-24 22:20:31.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9599150,40.8175383,2026-01-24 22:20:32.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599150,40.8175383,2026-01-24 22:20:33.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9599150,40.8175383,2026-01-24 22:20:34.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,3.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9599150,40.8175383,2026-01-24 22:20:35.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9599150,40.8175383,2026-01-24 22:20:36.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9599150,40.8175383,2026-01-24 22:20:37.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9599150,40.8175383,2026-01-24 22:20:38.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9599150,40.8175383,2026-01-24 22:20:39.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-96.500000,1.500000,,,,,,,,,,,,,,,,,
15,1,,,-73.9599150,40.8175383,2026-01-24 22:20:40.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-96.000000,2.000000,,,,,,,,,,,,,,,,,
16,1,,,-73.9599150,40.8175383,2026-01-24 22:20:41.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9599150,40.8175383,2026-01-24 22:20:42.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9599150,40.8175383,2026-01-24 22:20:43.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9599150,40.8175383,2026-01-24 22:20:44.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-96.000000,2.000000,,,,,,,,,,,,,,,,,
20,1,,,-73.9599150,40.8175383,2026-01-24 22:20:45.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9599150,40.8175383,2026-01-24 22:20:46.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,,,-73.9599150,40.8175383,2026-01-24 22:20:47.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9599150,40.8175383,2026-01-24 22:20:48.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-98.000000,1.000000,,,,,,,,,,,,,,,,,
24,1,,,-73.9599150,40.8175383,2026-01-24 22:20:49.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,-73.9599150,40.8175383,2026-01-24 22:20:50.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,,,-73.9599150,40.8175383,2026-01-24 22:20:51.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,,,-73.9599150,40.8175383,2026-01-24 22:20:52.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,1.000000,,,,,,,,,,,,,,,,,
28,1,,,-73.9599150,40.8175383,2026-01-24 22:20:53.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,2.000000,,,,,,,,,,,,,,,,,
29,1,,,-73.9599150,40.8175383,2026-01-24 22:20:54.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,N41(x),,378,-97.000000,1.000000,,,,,,,,,,,,,,,,,
30,1,,,-73.9599150,40.8175383,2026-01-24 22:20:55.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,-73.9599150,40.8175383,2026-01-24 22:20:56.000,_20260124_172024_CH02_DUT_TMO-AUTO_HTTP MS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
