IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-24 23:36:17.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599667,40.8175350,2026-01-24 23:36:18.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100),,378,-93.000000,4.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599667,40.8175350,2026-01-24 23:36:19.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100),,378,-93.000000,2.940000,,,,,,,,,,,,,,,,,
4,1,,,-73.9599667,40.8175350,2026-01-24 23:36:20.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-93.200000,2.620000,,,,,,,,,,,,,0.064,,,,
5,1,,,-73.9599667,40.8175350,2026-01-24 23:36:21.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-92.980000,2.440000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9599667,40.8175350,2026-01-24 23:36:22.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-94.050000,2.950000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9599667,40.8175350,2026-01-24 23:36:23.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-93.510000,3.710000,,,,,,,,,,,,,,,,,
8,1,,,-73.9599667,40.8175350,2026-01-24 23:36:24.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-93.440000,2.910000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9599667,40.8175350,2026-01-24 23:36:25.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-93.000000,3.200000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9599667,40.8175350,2026-01-24 23:36:26.000,_20260124_183610_CH01_REF_TMO-AUTO_HTTP SS DL_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-93.200000,2.680000,,,,,,,,,,,,,0.000,,,,
