IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9600917,40.8175317,2026-01-25 01:12:41.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(x)+N71(x),,378,-89.670000,3.330000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9600917,40.8175317,2026-01-25 01:12:42.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),,378,-90.000000,3.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9600917,40.8175317,2026-01-25 01:12:43.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),,378,-90.000000,2.500000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9600917,40.8175317,2026-01-25 01:12:44.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),,378,-90.160000,2.910000,,,,,,,,,,,,,,,,,
5,1,,,-73.9600917,40.8175317,2026-01-25 01:12:45.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(x)+N71(x),,378,-90.000000,3.380000,,,,,,,,,,,,,0.008,,,,
6,1,,,-73.9600917,40.8175317,2026-01-25 01:12:46.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(x)+N71(x),,378,-90.250000,2.250000,,,,,,,,,,,,,,,,,
7,1,,,-73.9600917,40.8175317,2026-01-25 01:12:47.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9600917,40.8175317,2026-01-25 01:12:48.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9600917,40.8175317,2026-01-25 01:12:49.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),,378,-90.000000,2.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9600917,40.8175317,2026-01-25 01:12:50.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9600917,40.8175317,2026-01-25 01:12:51.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9600917,40.8175317,2026-01-25 01:12:52.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),NR SA,378,-90.000000,3.000000,,,,,,,,,,,,,,,,,
13,1,,,-73.9600917,40.8175317,2026-01-25 01:12:53.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9600917,40.8175317,2026-01-25 01:12:54.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9600917,40.8175317,2026-01-25 01:12:55.000,_20260124_201137_CH02_DUT_TMO-AUTO_Playstore 30MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
