IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599317,40.8175350,2026-01-24 20:40:38.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599317,40.8175350,2026-01-24 20:40:39.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,0.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599317,40.8175350,2026-01-24 20:40:40.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,0.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9599317,40.8175350,2026-01-24 20:40:41.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9599317,40.8175350,2026-01-24 20:40:42.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.670000,-0.330000,,,,,,,,,,,,,,,,,
6,1,,,-73.9599317,40.8175350,2026-01-24 20:40:43.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-100.000000,0.000000,,,,,,,,,,,,,,,,,
7,1,,,-73.9599317,40.8175350,2026-01-24 20:40:44.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,1.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9599317,40.8175350,2026-01-24 20:40:45.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,2.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-98.000000,2.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.442,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
11,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.442,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
12,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.442,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
13,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.442,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call Start,,,,,
14,1,,,-73.9598233,40.8174850,2026-01-24 20:40:47.989,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Start,,,,,
15,1,,,-73.9598233,40.8174850,2026-01-24 20:40:48.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(x),NR SA,378,-101.500000,-0.870000,,,,,,,,,,,,,,,,,
16,1,,,-73.9598217,40.8174800,2026-01-24 20:40:49.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.380000,-0.960000,0.661000,24.127483,,,,,,73.343,,,,,0.072,,,,
17,1,,,-73.9598217,40.8174800,2026-01-24 20:40:50.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.960000,-1.760000,0.283000,45.561718,,,,,,53.393,,,,,0.048,,,,
18,1,,,-73.9598217,40.8174800,2026-01-24 20:40:51.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.320000,-1.300000,0.456000,51.473606,,,,,,50.269,,,,,0.048,,,,
19,1,,,-73.9598217,40.8174800,2026-01-24 20:40:52.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.160000,-0.800000,0.334000,54.049721,,,,,,52.981,,,,,0.048,,,,
20,1,,,-73.9598217,40.8174800,2026-01-24 20:40:53.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.560000,-1.180000,0.231000,55.145683,,,,,,56.246,,,,,0.040,,,,
21,1,,,-73.9598217,40.8174800,2026-01-24 20:40:54.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.420000,-0.920000,0.533000,56.220924,,,,,,50.660,,,,,0.040,,,,
22,1,,,-73.9598217,40.8174800,2026-01-24 20:40:55.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.640000,-1.380000,0.426000,56.870827,,,,,,52.536,,,,,0.040,,,,
23,1,,,-73.9598217,40.8174800,2026-01-24 20:40:56.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.270000,-0.570000,0.488000,57.509663,,,,,,50.562,,,,,0.040,,,,
24,1,,,-73.9598217,40.8174800,2026-01-24 20:40:57.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.080000,-0.120000,0.387000,57.391552,,,,,,63.146,,,,,0.040,,,,
25,1,,,-73.9598217,40.8174800,2026-01-24 20:40:57.989,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_End,,,,,
26,1,,,-73.9598217,40.8174800,2026-01-24 20:40:58.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-102.480000,-0.640000,0.264000,57.126438,,,,,,67.485,,,,,0.040,,,,
27,1,,,-73.9598217,40.8174800,2026-01-24 20:40:59.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.320000,-0.600000,,,,,,,,,,,,,0.032,,,,
28,1,,,-73.9598217,40.8174800,2026-01-24 20:41:00.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.720000,-0.720000,,,,,,,,,,,,,0.032,,,,
29,1,,,-73.9598217,40.8174800,2026-01-24 20:41:01.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.340000,-0.460000,,,,,,,,,,,,,0.032,,,,
30,1,,,-73.9598217,40.8174800,2026-01-24 20:41:02.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.720000,-0.940000,,,,,,,,,,,,,0.000,,,,
31,1,,,-73.9598217,40.8174800,2026-01-24 20:41:03.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-101.950000,-0.080000,,,,,,,,,,,,,0.000,,,,
32,1,,,-73.9598217,40.8174800,2026-01-24 20:41:04.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-101.740000,0.020000,,,,,,,,,,,,,0.000,,,,
33,1,,,-73.9598217,40.8174800,2026-01-24 20:41:05.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.660000,-0.080000,,,,,,,,,,,,,,,,,
34,1,,,-73.9598217,40.8174800,2026-01-24 20:41:06.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.880000,-0.600000,,,,,,,,,,,,,0.000,,,,
35,1,,,-73.9598217,40.8174800,2026-01-24 20:41:07.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-101.820000,0.080000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9598217,40.8174800,2026-01-24 20:41:08.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.440000,-0.400000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9598217,40.8174800,2026-01-24 20:41:09.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.080000,-0.360000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9598217,40.8174800,2026-01-24 20:41:10.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-102.570000,-1.610000,,,,,,,,,,,,,0.000,,,,
39,1,,,-73.9598217,40.8174800,2026-01-24 20:41:11.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(x)+N71(x),,378,-103.030000,-1.000000,,,,,,,,,,,,,0.000,,,,
40,1,,,-73.9598217,40.8174800,2026-01-24 20:41:12.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.800000,0.000000,,,,,,,,,,,,,,,,,
41,1,,,-73.9598217,40.8174800,2026-01-24 20:41:13.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,,,-73.9598217,40.8174800,2026-01-24 20:41:14.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,0.000000,,,,,,,,,,,,,,,,,
43,1,,,-73.9598217,40.8174800,2026-01-24 20:41:15.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,0.000000,,,,,,,,,,,,,,,,,
44,1,,,-73.9598217,40.8174800,2026-01-24 20:41:16.000,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(100),,378,-99.000000,0.000000,,,,,,,,,,,,,,,,,
45,1,,,-73.9598217,40.8174800,2026-01-24 20:41:18.004,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,,,
46,1,,,-73.9598217,40.8174800,2026-01-24 20:41:18.004,_20260124_154036_CH03_REF_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call End,,,,,
