IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-24 20:40:38.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,N41(x),,378,-92.170000,1.000000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9599317,40.8175350,2026-01-24 20:40:39.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-96.500000,-2.000000,B66(20)+N41(100),,378,-92.310000,2.310000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599317,40.8175350,2026-01-24 20:40:40.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.000000,-2.000000,B66(20)+N41(100),,378,-93.090000,2.730000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9599317,40.8175350,2026-01-24 20:40:41.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-96.670000,-1.670000,B66(20)+N41(100),,378,-92.500000,1.250000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9599317,40.8175350,2026-01-24 20:40:42.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.000000,-2.750000,B66(20)+N41(100),,378,-93.550000,1.820000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9599317,40.8175350,2026-01-24 20:40:43.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-98.330000,-3.000000,B66(20)+N41(100),,378,-93.560000,2.780000,,,,,,,,,,,,,,,,,
7,1,,,-73.9599317,40.8175350,2026-01-24 20:40:44.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-98.670000,-2.670000,B66(20)+N41(100),,378,-93.500000,2.000000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9599317,40.8175350,2026-01-24 20:40:45.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-96.820000,-3.550000,B66(20)+N41(x),,378,-92.850000,5.310000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9599317,40.8175350,2026-01-24 20:40:46.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,B66(x),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9598233,40.8174833,2026-01-24 20:40:47.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.000000,-3.000000,B66(20),,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9598233,40.8174850,2026-01-24 20:40:47.448,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
12,1,,,-73.9598233,40.8174850,2026-01-24 20:40:47.448,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
13,1,,,-73.9598233,40.8174850,2026-01-24 20:40:47.448,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
14,1,,,-73.9598233,40.8174850,2026-01-24 20:40:47.448,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call Start,,,,,
15,1,,,-73.9598233,40.8174850,2026-01-24 20:40:48.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.600000,-4.400000,B66(20),,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9598217,40.8174800,2026-01-24 20:40:49.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.170000,-1.870000,B66(20)+N41(100),,378,-99.020000,5.070000,,,,,,,,,,,,,,,,,
17,1,,,-73.9598217,40.8174800,2026-01-24 20:40:49.681,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Start,,,,,
18,1,,,-73.9598217,40.8174800,2026-01-24 20:40:50.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-96.840000,-3.600000,B66(20)+N41(100),NR NSA,378,-92.360000,3.300000,,,,,,,,,,,,,0.080,,,,
19,1,,,-73.9598217,40.8174800,2026-01-24 20:40:51.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-96.560000,-3.480000,B66(20)+N41(100),NR NSA,378,-92.000000,2.890000,1.331000,92.443886,,,,,,22.824,,,,,0.080,,,,
20,1,,,-73.9598217,40.8174800,2026-01-24 20:40:52.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.670000,-3.860000,B66(20)+N41(100),NR NSA,378,-92.200000,2.120000,1.081000,91.723145,,,,,,17.584,,,,,0.080,,,,
21,1,,,-73.9598217,40.8174800,2026-01-24 20:40:53.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.580000,-4.080000,B66(20)+N41(100),NR NSA,378,-92.000000,2.610000,0.956000,90.541542,,,,,,23.214,,,,,0.064,,,,
22,1,,,-73.9598217,40.8174800,2026-01-24 20:40:54.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-97.280000,-3.760000,B66(20)+N41(100),NR NSA,378,-92.200000,2.610000,0.479000,88.574776,,,,,,31.643,,,,,0.064,,,,
23,1,,,-73.9598217,40.8174800,2026-01-24 20:40:55.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-98.400000,-5.000000,B66(20)+N41(100),NR NSA,378,-93.090000,1.490000,0.858000,87.612625,,,,,,28.671,,,,,0.064,,,,
24,1,,,-73.9598217,40.8174800,2026-01-24 20:40:56.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-98.920000,-4.640000,B66(20)+N41(100),NR NSA,378,-92.760000,2.240000,0.287000,87.003777,,,,,,26.924,,,,,0.064,,,,
25,1,,,-73.9598217,40.8174800,2026-01-24 20:40:57.000,_20260124_154036_CH04_DUT_TMO-NSA_UDP DOWNLINK 400MB_NJ DUT REF_L3.dml,238,-98.920000,-4.840000,B66(20)+N41(100),NR NSA,378,-92.370000,3.080000,1.289000,86.118263,,,,,,32.218,,,,,0.064,,,,
