IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599667,40.8174800,2026-01-24 21:06:43.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599667,40.8174800,2026-01-24 21:06:44.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-93.000000,3.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9599667,40.8174800,2026-01-24 21:06:46.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9599667,40.8174800,2026-01-24 21:06:47.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9599667,40.8174800,2026-01-24 21:06:48.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-92.000000,3.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9599667,40.8174800,2026-01-24 21:06:49.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9599667,40.8174800,2026-01-24 21:06:50.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599667,40.8174800,2026-01-24 21:06:51.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-91.000000,3.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9599667,40.8174800,2026-01-24 21:06:52.270,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
10,1,,,-73.9599667,40.8174800,2026-01-24 21:06:52.270,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
11,1,,,-73.9599667,40.8174800,2026-01-24 21:06:52.270,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
12,1,,,-73.9599667,40.8174800,2026-01-24 21:06:52.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-91.000000,3.000000,,,,,,,,,,,,,,,,,
13,1,,,-73.9599667,40.8174800,2026-01-24 21:06:53.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9599667,40.8174800,2026-01-24 21:06:54.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9599667,40.8174800,2026-01-24 21:06:55.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-91.000000,3.000000,,,,,,,,,,,,,,,,,
16,1,,,-73.9599667,40.8174800,2026-01-24 21:06:56.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),,378,-91.000000,4.000000,,,,,,,,,,,,,,,,,
17,1,,,-73.9599667,40.8174800,2026-01-24 21:06:57.270,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
18,1,,,-73.9599667,40.8174800,2026-01-24 21:06:57.270,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
19,1,,,-73.9599667,40.8174800,2026-01-24 21:06:57.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40),NR SA,378,-91.000000,4.000000,,,,,,,,,,,,,,,,,
20,1,,,-73.9599667,40.8174800,2026-01-24 21:06:57.770,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Start,,,,,
21,1,,,-73.9599667,40.8174800,2026-01-24 21:06:58.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(40)+N71(x),NR SA,378,-94.260000,2.170000,,,,,,,,,,,,,,,,,
22,1,,,-73.9599667,40.8174800,2026-01-24 21:06:59.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.300000,2.160000,,,,,,,,,,,,,6.328,,,,
23,1,,,-73.9599667,40.8174800,2026-01-24 21:07:00.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.540000,2.320000,,,,,,,,,,,,,9.664,,,,
24,1,,,-73.9599667,40.8174800,2026-01-24 21:07:01.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.000000,2.120000,,,,,,,,,,,,,9.512,,,,
25,1,,,-73.9599667,40.8174800,2026-01-24 21:07:02.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.400000,2.300000,,,,,,,,,,,,,9.896,,,,
26,1,,,-73.9599667,40.8174800,2026-01-24 21:07:03.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.980000,3.240000,,,,,,,,,,,,,9.640,,,,
27,1,,,-73.9599667,40.8174800,2026-01-24 21:07:04.000,_20260124_160640_CH03_REF_TMO-NSA_UDP UPLINK 10MB_NJ DUT REF_L3.dml,,,,N41(50)+N71(15),NR SA,378,-95.880000,1.980000,,,,,,,,,,,,,10.152,,,,
