IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-24 21:55:31.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9599883,40.8174283,2026-01-24 21:55:32.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.860000,-2.140000,B2(10),,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9599883,40.8174283,2026-01-24 21:55:33.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,-2.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9599883,40.8174283,2026-01-24 21:55:34.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.000000,-2.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9599883,40.8174283,2026-01-24 21:55:35.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9599883,40.8174283,2026-01-24 21:55:36.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.000000,-2.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9599883,40.8174283,2026-01-24 21:55:37.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-92.000000,-1.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9599883,40.8174283,2026-01-24 21:55:38.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.000000,-1.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9599883,40.8174283,2026-01-24 21:55:39.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.000000,-2.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9599883,40.8174283,2026-01-24 21:55:40.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9599883,40.8174283,2026-01-24 21:55:40.479,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
12,1,,,-73.9599883,40.8174283,2026-01-24 21:55:41.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-93.670000,-1.000000,B2(10)+B4(20),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9599883,40.8174283,2026-01-24 21:55:40.947,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
14,1,,,-73.9599883,40.8174283,2026-01-24 21:55:42.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-96.330000,20.230000,B2(10)+B4(20)+N41(100),NR NSA,378,-92.530000,2.750000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9599883,40.8174283,2026-01-24 21:55:43.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.240000,-0.080000,B2(10)+N41(100),NR NSA,378,-92.260000,3.830000,,,,,,,,,,,,,23.072,,,,
16,1,,,-73.9599883,40.8174283,2026-01-24 21:55:43.369,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
17,1,,,-73.9599883,40.8174283,2026-01-24 21:55:44.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.680000,-0.120000,B2(10)+N41(100),NR NSA,378,-93.090000,2.570000,,,,,,,,,,,67.109,,25.272,,,,
18,1,,,-73.9599883,40.8174283,2026-01-24 21:55:45.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.760000,-0.480000,B2(10)+N41(100),,378,-92.750000,4.290000,,,,,,,,,,,19.361,,25.640,,,,
19,1,,,-73.9599883,40.8174283,2026-01-24 21:55:46.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.750000,-1.880000,B2(10)+N41(100),,378,-93.000000,4.750000,,,,,,,,,,,,,,,,,
20,1,,,-73.9599883,40.8174283,2026-01-24 21:55:47.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.330000,-0.330000,B2(10)+N41(100),,378,-92.000000,5.000000,,,,,,,,,,,,,17.072,,,,
21,1,,,-73.9599883,40.8174283,2026-01-24 21:55:48.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,1.000000,B2(10)+N41(100),,378,-92.000000,4.000000,,,,,,,,,,,,,0.000,,,,
22,1,,,-73.9599883,40.8174283,2026-01-24 21:55:48.479,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
23,1,,,-73.9599883,40.8174283,2026-01-24 21:55:48.759,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
24,1,,,-73.9599883,40.8174283,2026-01-24 21:55:49.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,4.500000,B2(10)+N41(100),NR NSA,378,-93.670000,3.670000,,,,,,,,,,,,,0.000,,,,
25,1,,,-73.9599883,40.8174283,2026-01-24 21:55:50.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.290000,-0.470000,B2(10)+N41(100),NR NSA,378,-93.000000,3.850000,,,,,,,,,,,,,1.648,,,,
26,1,,,-73.9599883,40.8174283,2026-01-24 21:55:51.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-95.120000,-1.280000,B2(10)+N41(100),NR NSA,378,-92.650000,4.370000,,,,,,,,,,,67.109,,24.664,,,,
27,1,,,-73.9599883,40.8174283,2026-01-24 21:55:51.073,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
28,1,,,-73.9599883,40.8174283,2026-01-24 21:55:52.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.800000,-0.200000,B2(10)+N41(100),NR NSA,378,-92.850000,4.060000,,,,,,,,,,,22.216,,23.664,,,,
29,1,,,-73.9599883,40.8174283,2026-01-24 21:55:53.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.950000,0.790000,B2(10)+N41(100),,378,-93.000000,3.930000,,,,,,,,,,,,,20.944,,,,
30,1,,,-73.9599883,40.8174283,2026-01-24 21:55:54.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,0.500000,B2(10)+N41(100),,378,-92.670000,4.000000,,,,,,,,,,,,,9.128,,,,
31,1,,,-73.9599883,40.8174283,2026-01-24 21:55:55.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.250000,-0.500000,B2(10)+N41(100),,378,-92.330000,3.000000,,,,,,,,,,,,,0.000,,,,
32,1,,,-73.9599883,40.8174283,2026-01-24 21:55:56.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.330000,-1.670000,B2(10)+N41(100),,378,-93.000000,3.330000,,,,,,,,,,,,,0.000,,,,
33,1,,,-73.9599883,40.8174283,2026-01-24 21:55:56.525,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
34,1,,,-73.9599883,40.8174283,2026-01-24 21:55:56.806,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
35,1,,,-73.9599883,40.8174283,2026-01-24 21:55:57.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,-0.330000,B2(10)+N41(100),NR NSA,378,-93.000000,2.500000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9599883,40.8174283,2026-01-24 21:55:58.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-95.120000,-2.190000,B2(10)+N41(100),NR NSA,378,-94.940000,1.880000,,,,,,,,,,,,,13.712,,,,
37,1,,,-73.9599883,40.8174283,2026-01-24 21:55:59.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-95.200000,-1.640000,B2(10)+N41(100),NR NSA,378,-96.120000,0.870000,,,,,,,,,,,67.109,,19.432,,,,
38,1,,,-73.9599883,40.8174283,2026-01-24 21:55:59.323,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
39,1,,,-73.9599883,40.8174283,2026-01-24 21:56:00.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.800000,-0.640000,B2(10)+N41(100),NR NSA,378,-93.550000,2.600000,,,,,,,,,,,15.450,,19.640,,,,
40,1,,,-73.9599883,40.8174283,2026-01-24 21:56:01.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.480000,-1.040000,B2(10)+N41(100),,378,-93.460000,3.120000,,,,,,,,,,,,,17.480,,,,
41,1,,,-73.9599883,40.8174283,2026-01-24 21:56:02.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,-1.000000,B2(10)+N41(100),,378,-93.570000,4.140000,,,,,,,,,,,,,,,,,
42,1,,,-73.9599883,40.8174283,2026-01-24 21:56:03.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,-2.000000,B2(10)+N41(100),,378,-93.000000,4.000000,,,,,,,,,,,,,,,,,
43,1,,,-73.9599883,40.8174283,2026-01-24 21:56:04.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.000000,-1.860000,B2(10)+N41(100),,378,-93.000000,5.000000,,,,,,,,,,,,,1.496,,,,
44,1,,,-73.9599883,40.8174283,2026-01-24 21:56:04.572,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
45,1,,,-73.9599883,40.8174283,2026-01-24 21:56:04.854,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
46,1,,,-73.9599883,40.8174283,2026-01-24 21:56:05.000,_20260124_165528_CH04_DUT_TMO-NSA_HTTP MS UL_NJ DUT REF_L3.dml,211,-94.630000,-1.250000,B2(10)+N41(100),NR NSA,378,-93.670000,4.670000,,,,,,,,,,,,,0.000,,,,
