IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9599150,40.8175383,2026-01-24 22:20:27.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,-0.330000,B66(20)+N41(100),,378,-95.130000,1.120000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9599150,40.8175383,2026-01-24 22:20:28.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,-0.670000,B66(20)+N41(100),,378,-93.220000,2.890000,,,,,,,,,,,,,0.000,,,,
3,1,,,-73.9599150,40.8175383,2026-01-24 22:20:29.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,0.330000,B66(20)+N41(100),,378,-93.670000,1.330000,,,,,,,,,,,,,,,,,
4,1,,,-73.9599150,40.8175383,2026-01-24 22:20:30.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,0.500000,B66(20)+N41(100),,378,-93.000000,2.250000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9599150,40.8175383,2026-01-24 22:20:31.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,-0.330000,B66(20)+N41(100),,378,-92.620000,2.880000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9599150,40.8175383,2026-01-24 22:20:32.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-98.000000,0.330000,B66(20)+N41(100),,378,-94.000000,0.500000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9599150,40.8175383,2026-01-24 22:20:33.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-100.090000,-1.730000,B66(20)+N41(x),,378,-93.000000,3.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9599150,40.8175383,2026-01-24 22:20:34.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-99.000000,0.000000,B3(20),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9599150,40.8175383,2026-01-24 22:20:35.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-97.260000,1.580000,B66(20)+N41(50),,378,-97.000000,3.000000,,,,,,,,,,,,,,,,,
10,1,,,-73.9599150,40.8175383,2026-01-24 22:20:36.000,_20260124_172024_CH04_DUT_TMO-NSA_HTTP MS DL_NJ DUT REF_L3.dml,238,-97.000000,0.440000,B66(20)+N41(50),,378,-96.340000,2.690000,,,,,,,,,,,,,,,,,
