IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9601817,40.8176183,2026-01-25 00:27:17.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-95.000000,-3.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9601500,40.8176367,2026-01-25 00:27:18.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-95.000000,-4.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9601533,40.8176400,2026-01-25 00:27:19.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-3.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9601567,40.8176433,2026-01-25 00:27:20.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-4.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9601567,40.8176433,2026-01-25 00:27:21.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-3.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9601567,40.8176433,2026-01-25 00:27:23.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-2.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9601567,40.8176433,2026-01-25 00:27:24.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-4.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9601333,40.8176450,2026-01-25 00:27:25.895,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
9,1,,,-73.9601333,40.8176450,2026-01-25 00:27:25.895,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
10,1,,,-73.9601333,40.8176450,2026-01-25 00:27:25.000,_20260124_192714_CH04_DUT_TMO-NSA_PING_NJ DUT REF_L3.dml,184,-96.000000,-3.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
