IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9875783,40.7623883,2026-01-27 21:54:56.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9876450,40.7624183,2026-01-27 21:54:57.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9876650,40.7624267,2026-01-27 21:54:58.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,N41(100),,371,-72.000000,22.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9877283,40.7624300,2026-01-27 21:55:00.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9877300,40.7624100,2026-01-27 21:55:01.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9877617,40.7623867,2026-01-27 21:55:02.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9877850,40.7623617,2026-01-27 21:55:03.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9878083,40.7623367,2026-01-27 21:55:04.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878017,40.7623400,2026-01-27 21:55:05.000,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878250,40.7623150,2026-01-27 21:55:05.411,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
11,1,,,-73.9878250,40.7623150,2026-01-27 21:55:05.411,_20260127_165441_CH01_REF_TMO-NSA_PING_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
