IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9887000,40.7625000,2026-01-27 22:08:56.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9886517,40.7625150,2026-01-27 22:08:57.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9886183,40.7625267,2026-01-27 22:08:58.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,15.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9886133,40.7625417,2026-01-27 22:08:59.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,15.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9886100,40.7625600,2026-01-27 22:09:01.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,18.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9886017,40.7625883,2026-01-27 22:09:02.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,18.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9885733,40.7626083,2026-01-27 22:09:03.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,16.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9885500,40.7626333,2026-01-27 22:09:04.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,17.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9885600,40.7626633,2026-01-27 22:09:05.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9885317,40.7627017,2026-01-27 22:09:05.575,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
11,1,,,-73.9885317,40.7627017,2026-01-27 22:09:05.575,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
12,1,,,-73.9885317,40.7627017,2026-01-27 22:09:05.575,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
13,1,,,-73.9885317,40.7627017,2026-01-27 22:09:06.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,12.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9885017,40.7627283,2026-01-27 22:09:07.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,16.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9884667,40.7627583,2026-01-27 22:09:08.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9884517,40.7627800,2026-01-27 22:09:10.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,16.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9884417,40.7628067,2026-01-27 22:09:10.575,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
18,1,,,-73.9884417,40.7628067,2026-01-27 22:09:10.575,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
19,1,,,-73.9884417,40.7628067,2026-01-27 22:09:11.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.670000,15.000000,B2(10)+B4(20)+B4(20),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9884417,40.7628067,2026-01-27 22:09:11.386,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Start,,,,,
21,1,,,-73.9884417,40.7628067,2026-01-27 22:09:12.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-74.570000,16.690000,B2(10)+B4(20)+N41(100),NR NSA,371,-76.060000,17.260000,,,,,,,,,,,,,0.000,,,,
22,1,,,-73.9884500,40.7628167,2026-01-27 22:09:13.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.080000,14.380000,B2(10)+N41(100),NR NSA,371,-76.680000,16.600000,,,,,,,,,,,,,19.944,,,,
23,1,,,-73.9884517,40.7628350,2026-01-27 22:09:14.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.900000,14.850000,B2(10)+N41(100),NR NSA,371,-75.750000,16.920000,,,,,,,,,,,,,23.112,,,,
24,1,,,-73.9884800,40.7628517,2026-01-27 22:09:15.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.200000,14.650000,B2(10)+N41(100),NR NSA,371,-76.250000,17.380000,,,,,,,,,,,,,23.440,,,,
25,1,,,-73.9884983,40.7628567,2026-01-27 22:09:16.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.730000,13.820000,B2(10)+N41(100),NR NSA,371,-76.940000,15.470000,,,,,,,,,,,,,23.608,,,,
26,1,,,-73.9885217,40.7628583,2026-01-27 22:09:17.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.810000,13.760000,B2(10)+N41(100),NR NSA,371,-77.000000,15.600000,,,,,,,,,,,,,23.560,,,,
27,1,,,-73.9885400,40.7628617,2026-01-27 22:09:18.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,14.500000,B2(10)+N41(100),NR NSA,371,-76.780000,15.330000,,,,,,,,,,,,,23.744,,,,
28,1,,,-73.9885400,40.7628617,2026-01-27 22:09:19.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.380000,16.380000,B2(10)+N41(100),NR NSA,371,-76.790000,16.960000,,,,,,,,,,,,,23.392,,,,
29,1,,,-73.9885500,40.7628417,2026-01-27 22:09:20.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.920000,16.540000,B2(10)+N41(100),NR NSA,371,-75.260000,20.940000,,,,,,,,,,,,,24.032,,,,
30,1,,,-73.9885500,40.7628417,2026-01-27 22:09:21.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,16.610000,B2(10)+N41(100),NR NSA,371,-75.690000,19.020000,,,,,,,,,,,,,23.136,,,,
31,1,,,-73.9885500,40.7628417,2026-01-27 22:09:21.403,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_End,,,,,
32,1,,,-73.9885267,40.7628050,2026-01-27 22:09:22.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.140000,15.860000,B2(10)+N41(100),,371,-75.200000,20.020000,,,,,,,,,,,,,23.752,,,,
33,1,,,-73.9885233,40.7627950,2026-01-27 22:09:23.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,16.600000,B2(10)+N41(100),,371,-75.000000,21.000000,,,,,,,,,,,,,2.856,,,,
34,1,,,-73.9885150,40.7628033,2026-01-27 22:09:24.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.000000,B2(10)+N41(100),,371,-74.200000,20.800000,,,,,,,,,,,,,,,,,
35,1,,,-73.9885017,40.7627700,2026-01-27 22:09:25.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.400000,18.600000,B2(10)+N41(100),,371,-74.600000,20.000000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,13.000000,B2(10)+N41(100),,371,-74.400000,20.400000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.402,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,,,
38,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.402,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call End,,,,,
39,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.402,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,0.903000,0.000000,,,,,19.866814,,,,,,,,
40,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.402,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
41,1,,,-73.9884817,40.7627483,2026-01-27 22:09:26.402,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
42,1,,,-73.9884817,40.7627483,2026-01-27 22:09:27.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.000000,B2(10)+N41(100),,371,-75.200000,20.200000,,,,,,,,,,,,,0.000,,,,
43,1,,,-73.9884817,40.7627483,2026-01-27 22:09:28.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,13.000000,B2(10)+N41(100),,371,-74.800000,20.600000,,,,,,,,,,,,,0.000,,,,
44,1,,,-73.9884817,40.7627483,2026-01-27 22:09:29.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,13.000000,B2(10)+N41(100),,371,-74.670000,19.830000,,,,,,,,,,,,,0.000,,,,
45,1,,,-73.9884817,40.7627483,2026-01-27 22:09:30.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-69.500000,15.500000,B2(10)+N41(100),,371,-77.170000,16.500000,,,,,,,,,,,,,,,,,
46,1,,,-73.9884817,40.7627483,2026-01-27 22:09:31.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-70.000000,14.500000,B2(10)+N41(100),,371,-78.000000,15.170000,,,,,,,,,,,,,0.000,,,,
47,1,,,-73.9884817,40.7627483,2026-01-27 22:09:31.417,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
48,1,,,-73.9884817,40.7627483,2026-01-27 22:09:31.417,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
49,1,,,-73.9883933,40.7627850,2026-01-27 22:09:31.886,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Start,,,,,
50,1,,,-73.9883933,40.7627850,2026-01-27 22:09:32.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,15.500000,B2(10)+N41(100),NR NSA,371,-75.250000,18.250000,,,,,,,,,,,,,0.048,,,,
51,1,,,-73.9883750,40.7628167,2026-01-27 22:09:33.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.210000,15.570000,B2(10)+N41(100),NR NSA,371,-76.740000,16.380000,,,,,,,,,,,,,22.656,,,,
52,1,,,-73.9883950,40.7628200,2026-01-27 22:09:34.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.290000,15.070000,B2(10)+N41(100),NR NSA,371,-78.000000,14.960000,,,,,,,,,,,,,23.592,,,,
53,1,,,-73.9883950,40.7628200,2026-01-27 22:09:35.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.710000,15.570000,B2(10)+N41(100),NR NSA,371,-77.770000,15.270000,,,,,,,,,,,,,23.024,,,,
54,1,,,-73.9884017,40.7628250,2026-01-27 22:09:36.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.730000,15.130000,B2(10)+N41(100),NR NSA,371,-78.190000,15.150000,,,,,,,,,,,,,23.520,,,,
55,1,,,-73.9883783,40.7628583,2026-01-27 22:09:37.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.060000,13.940000,B2(10)+N41(100),NR NSA,371,-75.450000,17.790000,,,,,,,,,,,,,23.240,,,,
56,1,,,-73.9883783,40.7628783,2026-01-27 22:09:38.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,16.000000,B2(10)+N41(100),NR NSA,371,-73.920000,20.290000,,,,,,,,,,,,,22.784,,,,
57,1,,,-73.9883600,40.7629117,2026-01-27 22:09:39.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,15.000000,B2(10)+N41(100),NR NSA,371,-74.240000,20.070000,,,,,,,,,,,,,23.320,,,,
58,1,,,-73.9883567,40.7629167,2026-01-27 22:09:40.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,13.000000,B2(10)+N41(100),NR NSA,371,-75.450000,18.750000,,,,,,,,,,,,,22.256,,,,
59,1,,,-73.9883567,40.7629167,2026-01-27 22:09:41.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.110000,14.160000,B2(10)+N41(100),NR NSA,371,-76.130000,17.510000,,,,,,,,,,,,,22.672,,,,
60,1,,,-73.9883633,40.7629350,2026-01-27 22:09:41.903,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_End,,,,,
61,1,,,-73.9883633,40.7629350,2026-01-27 22:09:42.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.450000,15.360000,B2(10)+N41(100),,371,-74.710000,20.210000,,,,,,,,,,,,,,,,,
62,1,,,-73.9883717,40.7629517,2026-01-27 22:09:43.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.000000,B2(10)+N41(100),,371,-76.360000,16.820000,,,,,,,,,,,,,22.272,,,,
63,1,,,-73.9883800,40.7629633,2026-01-27 22:09:44.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.330000,B2(10)+N41(100),,371,-75.560000,18.330000,,,,,,,,,,,,,0.008,,,,
64,1,,,-73.9883650,40.7630317,2026-01-27 22:09:45.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,17.500000,B2(10)+N41(100),,371,-75.000000,19.000000,,,,,,,,,,,,,0.000,,,,
65,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.330000,15.830000,B2(10)+N41(100),,371,-76.830000,16.170000,,,,,,,,,,,,,,,,,
66,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.918,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,,,
67,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.918,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call End,,,,,
68,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.918,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,0.957000,0.000000,,,,,19.863582,,,,,,,,
69,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.918,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
70,1,,,-73.9883650,40.7630317,2026-01-27 22:09:46.918,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
71,1,,,-73.9883650,40.7630317,2026-01-27 22:09:47.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.000000,14.250000,B2(10)+N41(100),,371,-75.250000,19.120000,,,,,,,,,,,,,0.000,,,,
72,1,,,-73.9883650,40.7630317,2026-01-27 22:09:48.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.670000,14.330000,B2(10)+N41(100),,371,-76.000000,19.250000,,,,,,,,,,,,,0.000,,,,
73,1,,,-73.9883650,40.7630317,2026-01-27 22:09:49.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.000000,16.500000,B2(10)+N41(100),,371,-77.600000,16.400000,,,,,,,,,,,,,0.000,,,,
74,1,,,-73.9883650,40.7630317,2026-01-27 22:09:50.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-72.330000,15.000000,B2(10)+N41(100),,371,-76.170000,16.000000,,,,,,,,,,,,,0.000,,,,
75,1,,,-73.9883650,40.7630317,2026-01-27 22:09:51.000,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,356,-71.670000,17.670000,B2(10)+N41(100),,371,-78.000000,15.330000,,,,,,,,,,,,,0.000,,,,
76,1,,,-73.9883650,40.7630317,2026-01-27 22:09:51.934,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
77,1,,,-73.9883650,40.7630317,2026-01-27 22:09:51.934,_20260127_170853_CH02_DUT_TMO-NSA_UDP UL 2OMB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
