IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-27 22:17:16.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,N41(100),,371,-76.440000,18.000000,,,,,,,,,,,,,,,,,
2,1,,,-73.9878033,40.7624783,2026-01-27 22:17:17.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.600000,15.200000,B2(10)+N41(100),,371,-76.740000,17.030000,,,,,,,,,,,,,0.208,,,,
3,1,,,-73.9878033,40.7624783,2026-01-27 22:17:18.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,16.330000,B2(10)+N41(100),,371,-77.750000,16.920000,,,,,,,,,,,,,,,,,
4,1,,,-73.9878033,40.7624783,2026-01-27 22:17:19.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,16.330000,B2(10)+N41(100),,371,-77.330000,16.670000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9878033,40.7624783,2026-01-27 22:17:20.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.830000,16.670000,B2(10)+N41(100),,371,-77.000000,16.420000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9878033,40.7624783,2026-01-27 22:17:21.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.670000,18.000000,B2(10)+N41(100),,371,-77.200000,17.800000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9878033,40.7624783,2026-01-27 22:17:22.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,16.330000,B2(10)+N41(100),,371,-77.380000,16.750000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9878033,40.7624783,2026-01-27 22:17:23.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,16.000000,B2(10)+N41(100),,371,-78.330000,16.330000,,,,,,,,,,,,,,,,,
9,1,,,-73.9878467,40.7624833,2026-01-27 22:17:24.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,16.670000,B2(10)+N41(100),,371,-77.500000,17.000000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9878467,40.7624833,2026-01-27 22:17:25.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.330000,17.000000,B2(10)+N41(100),,371,-77.670000,16.670000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9878467,40.7624817,2026-01-27 22:17:25.731,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
12,1,,,-73.9878467,40.7624817,2026-01-27 22:17:25.731,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
13,1,,,-73.9878467,40.7624817,2026-01-27 22:17:25.731,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Call Start,,,,,
14,1,,,-73.9878467,40.7624817,2026-01-27 22:17:26.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.600000,14.800000,B2(10)+N41(100),,371,-77.750000,18.000000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9878467,40.7624833,2026-01-27 22:17:27.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.330000,15.670000,B2(10)+N41(100),,371,-77.500000,17.830000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9878467,40.7624833,2026-01-27 22:17:28.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,20.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9878467,40.7624833,2026-01-27 22:17:29.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-70.830000,17.830000,B2(10),,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9878467,40.7624833,2026-01-27 22:17:30.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,19.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9878467,40.7624833,2026-01-27 22:17:31.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,18.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9878467,40.7624833,2026-01-27 22:17:32.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,B2(x),,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9878467,40.7624833,2026-01-27 22:17:33.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,16.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
22,1,,,-73.9878633,40.7624567,2026-01-27 22:17:34.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,15.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9878600,40.7624567,2026-01-27 22:17:35.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,18.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
24,1,,,-73.9878600,40.7624567,2026-01-27 22:17:36.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,19.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
25,1,,,-73.9878533,40.7624467,2026-01-27 22:17:37.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,B2(x),,,,,,,,,,,,,,,,,,,,,
26,1,,,-73.9878350,40.7624483,2026-01-27 22:17:38.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.000000,15.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
27,1,,,-73.9878367,40.7624450,2026-01-27 22:17:39.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.000000,12.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
28,1,,,-73.9878100,40.7624517,2026-01-27 22:17:40.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-73.000000,14.000000,B2(10),,,,,,,,,,,,,,,,,,,,,
29,1,,,-73.9877950,40.7624633,2026-01-27 22:17:40.731,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
30,1,,,-73.9877950,40.7624633,2026-01-27 22:17:40.731,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
31,1,,,-73.9877950,40.7624633,2026-01-27 22:17:41.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-73.000000,40.000000,B2(10),LTE (10 MHz),,,,,,,,,,,,,,,,,,,,
32,1,,,-73.9877950,40.7624633,2026-01-27 22:17:41.465,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,Iperf Download Start,,,,,
33,1,,,-73.9877950,40.7624633,2026-01-27 22:17:42.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-74.480000,16.020000,B2(10)+B4(20)+N41(100),NR NSA,371,-75.580000,19.500000,,,,,,,,,,,,,,,,,
34,1,,,-73.9877617,40.7624617,2026-01-27 22:17:43.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-70.680000,16.040000,B2(10)+N41(100),NR NSA,371,-75.980000,17.960000,0.091000,24.843060,,,,,,149.355,,,,,0.112,,,,
35,1,,,-73.9877283,40.7624500,2026-01-27 22:17:44.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-71.720000,15.480000,B2(10)+N41(100),NR NSA,371,-76.960000,16.300000,0.118000,19.346733,,,,,,171.007,,,,,0.112,,,,
36,1,,,-73.9877267,40.7624600,2026-01-27 22:17:45.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-73.040000,15.720000,B2(10)+N41(100),NR NSA,371,-77.100000,16.140000,0.145000,17.145315,,,,,,170.682,,,,,0.120,,,,
37,1,,,-73.9877217,40.7624600,2026-01-27 22:17:46.000,_20260127_171713_CH02_DUT_TMO-NSA_UDP DL 2O0MB_NJ NY_L2.dml,356,-72.720000,15.880000,B2(10)+N41(100),NR NSA,371,-77.780000,17.320000,0.050000,16.667122,,,,,,172.060,,,,,0.120,,,,
