IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9878817,40.7621883,2026-01-27 22:41:58.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-74.000000,11.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9878817,40.7621883,2026-01-27 22:41:59.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9878817,40.7621883,2026-01-27 22:42:00.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-74.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9878817,40.7621883,2026-01-27 22:42:01.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-74.000000,8.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9878817,40.7621883,2026-01-27 22:42:02.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-74.000000,8.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9878817,40.7621883,2026-01-27 22:42:03.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,11.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9878817,40.7621883,2026-01-27 22:42:04.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9878817,40.7621883,2026-01-27 22:42:05.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-74.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878817,40.7621883,2026-01-27 22:42:06.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878817,40.7621883,2026-01-27 22:42:07.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,14.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9878817,40.7621883,2026-01-27 22:42:08.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9878817,40.7621883,2026-01-27 22:42:09.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9878817,40.7621883,2026-01-27 22:42:10.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-76.000000,11.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9878817,40.7621883,2026-01-27 22:42:11.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-76.000000,15.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9878817,40.7621883,2026-01-27 22:42:12.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,15.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9878817,40.7621883,2026-01-27 22:42:14.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,12.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9878600,40.7621917,2026-01-27 22:42:15.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,12.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9878483,40.7621983,2026-01-27 22:42:16.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,13.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9878283,40.7622117,2026-01-27 22:42:17.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-75.000000,15.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9878250,40.7622133,2026-01-27 22:42:18.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9878517,40.7622267,2026-01-27 22:42:19.000,_20260127_174154_CH02_DUT_TMO-NSA_HTTP MS DL_NJ NY_L2.dml,356,-76.000000,12.000000,B2(x),,,,,,,,,,,,,,,,,,,,,
