IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9878683,40.7620900,2026-01-27 23:08:11.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,8.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9878683,40.7620900,2026-01-27 23:08:12.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9878683,40.7620900,2026-01-27 23:08:13.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,13.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9878683,40.7620900,2026-01-27 23:08:14.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,13.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9878683,40.7620900,2026-01-27 23:08:15.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,9.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9878683,40.7620900,2026-01-27 23:08:16.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9878683,40.7620900,2026-01-27 23:08:17.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,12.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9878683,40.7620900,2026-01-27 23:08:18.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-78.000000,12.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878683,40.7620900,2026-01-27 23:08:19.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,11.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-78.000000,11.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.090,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
12,1,,,-73.9878683,40.7620900,2026-01-27 23:08:21.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-78.640000,11.360000,B66(20)+N41(100),NR NSA,371,-72.000000,20.550000,,,,,,,,,,,,,0.000,,,,
13,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.886,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
14,1,,,-73.9878683,40.7620900,2026-01-27 23:08:22.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.420000,12.540000,B66(20)+N41(100),NR NSA,371,-72.460000,20.670000,,,,,,,,,,,,,37.160,,,,
15,1,,,-73.9878683,40.7620900,2026-01-27 23:08:23.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-76.720000,11.200000,B66(20)+N41(100),NR NSA,371,-72.600000,19.730000,,,,,,,,,,,,,84.024,,,,
16,1,,,-73.9878683,40.7620900,2026-01-27 23:08:24.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-76.580000,11.270000,B66(20)+N41(100),NR NSA,371,-71.750000,20.670000,,,,,,,,,,,286.450,,81.176,,,,
17,1,,,-73.9878683,40.7620900,2026-01-27 23:08:25.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-77.000000,10.600000,B66(20)+N41(100),NR NSA,371,-72.370000,20.460000,,,,,,,,,,,161.967,,81.880,,,,
18,1,,,-73.9878683,40.7620900,2026-01-27 23:08:26.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-76.560000,13.960000,B66(20)+N41(100),NR NSA,371,-71.960000,20.640000,,,,,,,,,,,102.760,,83.896,,,,
19,1,,,-73.9878683,40.7620900,2026-01-27 23:08:27.000,_20260127_180808_CH02_DUT_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,245,-76.960000,11.800000,B66(20)+N41(100),NR NSA,371,-72.080000,20.960000,,,,,,,,,,,98.566,,85.752,,,,
